sample_id,material,SiO2,TiO2,Al2O3,FeO,Fe2O3,FeOT,MnO,MgO,CaO,Na2O,K2O,P2O5,latitude,longitude,elevation,tectonic,station,expedition,sampling technique,rock type,alteration,reference,method
ALV0976-005,GL,49.8,1.94,14.7,,,10.6,0.18,7.84,11.7,2.78,0.06,,22.95,-108.15,-3100 to -3250,SPREADING_CENTER;EAST PACIFIC RISE,ALV0976-005,ALVIN 0976,submersible,"basalt; basalt; , ",fresh,"Bender,1984(159)",EMP(261)
ALV0976-005,GL,49.4,1.64,18.3,,,9.09,0.18,6.65,12.5,2.49,0.08,,22.95,-108.15,-3100 to -3250,SPREADING_CENTER;EAST PACIFIC RISE,ALV0976-005,ALVIN 0976,submersible,"basalt; basalt; , ",fresh,"Bender,1984(159)",EMP(262)
ALV0976-003,GL,50.5,1.73,14.37,,,10.86,,7.37,12.49,2.16,0.14,0.2,22.95,-108.15,-3100 to -3250,SPREADING_CENTER;EAST PACIFIC RISE,ALV0976-003,ALVIN 0976,submersible,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
ALV0976-005,GL,50.16,2.07,14.56,,,10.99,,7.29,11.68,2.61,0.09,0.18,22.95,-108.15,-3100 to -3250,SPREADING_CENTER;EAST PACIFIC RISE,ALV0976-005,ALVIN 0976,submersible,"basalt; basalt; , ",fresh,"Melson,(1086)",EMP(3262)
GIL7904-009-A1,GL,48.8,1.88,14.8,,,10.8,0.2,8.16,12,2.18,0.07,,22.91,-108.07,-2900 to -3300,SPREADING_CENTER;EAST PACIFIC RISE,GIL7904-009,GS79-04,dredge,"basalt; basalt; , ",fresh,"Bender,1984(159)",EMP(261)
GIL7904-009-A1,GL,49.3,1.87,15.2,,,10.8,0.2,8.2,11.8,2.03,0.06,,22.91,-108.07,-2900 to -3300,SPREADING_CENTER;EAST PACIFIC RISE,GIL7904-009,GS79-04,dredge,"basalt; basalt; , ",fresh,"Bender,1984(159)",EMP(262)
GIL7904-009-001,GL,48.84,1.95,14.77,,,11.3,,7.63,11.81,2.12,0.08,0.23,22.91,-108.07,-2900 to -3300,SPREADING_CENTER;EAST PACIFIC RISE,GIL7904-009,GS79-04,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
GIL7904-009-005,GL,49.68,1.99,14.51,,,11.06,,7.31,11.54,2.49,0.08,0.2,22.91,-108.07,-2900 to -3300,SPREADING_CENTER;EAST PACIFIC RISE,GIL7904-009,GS79-04,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
GIL7904-009-008,GL,49.88,1.95,14.61,,,11.09,,7.35,11.64,2.39,0.08,0.19,22.91,-108.07,-2900 to -3300,SPREADING_CENTER;EAST PACIFIC RISE,GIL7904-009,GS79-04,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
GIL7904-009-020,GL,49.57,1.94,14.6,,,11.27,,7.61,11.9,2.1,0.08,0.2,22.91,-108.07,-2900 to -3300,SPREADING_CENTER;EAST PACIFIC RISE,GIL7904-009,GS79-04,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
GIL7904-009-A1,GL,49.36,1.89,14.61,,,11.23,,7.76,11.86,2.06,0.07,0.2,22.91,-108.07,-2900 to -3300,SPREADING_CENTER;EAST PACIFIC RISE,GIL7904-009,GS79-04,dredge,"basalt; basalt; , ",fresh,"Melson,(1086)",EMP(3262)
ALV0972-002,GL,49,1.53,15.7,,,9.73,0.19,8.74,12.3,2.57,0.03,,22.9,-108.08,-3200 to -3400,SPREADING_CENTER;EAST PACIFIC RISE,ALV0972-002,ALVIN 0972,submersible,"basalt; basalt; , ",fresh,"Bender,1984(159)",EMP(261)
ALV0972-006,GL,49.1,1.51,15.8,,,9.67,0.19,8.51,11.9,2.42,0.01,,22.9,-108.08,-3200 to -3400,SPREADING_CENTER;EAST PACIFIC RISE,ALV0972-006,ALVIN 0972,submersible,"basalt; basalt; , ",fresh,"Bender,1984(159)",EMP(261)
ALV0975-002,GL,49.4,2,14.4,,,11.2,0.21,7.45,11.7,2.84,0.08,,22.9,-108.06,-3100 to -3250,SPREADING_CENTER;EAST PACIFIC RISE,ALV0975-002,ALVIN 0975,submersible,"basalt; basalt; , ",fresh,"Bender,1984(159)",EMP(261)
ALV0975-004,GL,49.4,2.03,14.3,,,11.1,0.27,7.11,11.3,2.86,0.08,,22.9,-108.06,-3100 to -3250,SPREADING_CENTER;EAST PACIFIC RISE,ALV0975-004,ALVIN 0975,submersible,"basalt; basalt; , ",fresh,"Bender,1984(159)",EMP(261)
ALV0975-007,GL,49.3,2.13,14.1,,,11.1,0.26,7.26,11.6,2.79,0.08,,22.9,-108.06,-3100 to -3250,SPREADING_CENTER;EAST PACIFIC RISE,ALV0975-007,ALVIN 0975,submersible,"basalt; basalt; , ",fresh,"Bender,1984(159)",EMP(261)
ALV0975-008,GL,49.5,2.21,14.2,,,11.5,0.24,7.27,11.6,2.87,0.08,,22.9,-108.06,-3100 to -3250,SPREADING_CENTER;EAST PACIFIC RISE,ALV0975-008,ALVIN 0975,submersible,"basalt; basalt; , ",fresh,"Bender,1984(159)",EMP(261)
ALV0972-002,GL,48.8,1.52,16.2,,,9.52,0.17,8.73,11.8,2.35,0.07,,22.9,-108.08,-3200 to -3400,SPREADING_CENTER;EAST PACIFIC RISE,ALV0972-002,ALVIN 0972,submersible,"basalt; basalt; , ",fresh,"Bender,1984(159)",EMP(262)
ALV0972-006,GL,49.1,1.48,16,,,9.52,0.15,8.78,12,2.28,0.04,,22.9,-108.08,-3200 to -3400,SPREADING_CENTER;EAST PACIFIC RISE,ALV0972-006,ALVIN 0972,submersible,"basalt; basalt; , ",fresh,"Bender,1984(159)",EMP(262)
ALV0975-002,GL,50,1.98,15.3,,,11,0.2,7.44,11.6,2.71,0.1,,22.9,-108.06,-3100 to -3250,SPREADING_CENTER;EAST PACIFIC RISE,ALV0975-002,ALVIN 0975,submersible,"basalt; basalt; , ",fresh,"Bender,1984(159)",EMP(262)
ALV0975-004,GL,49.3,1.94,14.9,,,10.8,0.19,7.34,11.4,2.69,0.1,,22.9,-108.06,-3100 to -3250,SPREADING_CENTER;EAST PACIFIC RISE,ALV0975-004,ALVIN 0975,submersible,"basalt; basalt; , ",fresh,"Bender,1984(159)",EMP(262)
ALV0975-007,GL,49.3,1.94,14.9,,,10.7,0.19,7.54,11.6,2.66,1.11,,22.9,-108.06,-3100 to -3250,SPREADING_CENTER;EAST PACIFIC RISE,ALV0975-007,ALVIN 0975,submersible,"basalt; basalt; , ",fresh,"Bender,1984(159)",EMP(262)
ALV0975-008,GL,48.8,2,14.8,,,10.8,0.18,8.17,11.5,2.67,0.07,,22.9,-108.06,-3100 to -3250,SPREADING_CENTER;EAST PACIFIC RISE,ALV0975-008,ALVIN 0975,submersible,"basalt; basalt; , ",fresh,"Bender,1984(159)",EMP(262)
ALV0972-002-001,GL,49.84,1.69,15.37,,,10.04,,8.01,12.22,2.41,0.06,0.14,22.9,-108.08,-3200 to -3400,SPREADING_CENTER;EAST PACIFIC RISE,ALV0972-002,ALVIN 0972,submersible,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
ALV0972-006,GL,49.8,1.64,15.43,,,10.01,,8.03,12.24,2.41,0.07,0.14,22.9,-108.08,-3200 to -3400,SPREADING_CENTER;EAST PACIFIC RISE,ALV0972-006,ALVIN 0972,submersible,"basalt; basalt; , ",fresh,"Melson,(1086)",EMP(3262)
ALV0975-002,GL,50.66,2.11,14.24,,,11.29,,6.96,11.64,2.6,0.11,0.2,22.9,-108.06,-3100 to -3250,SPREADING_CENTER;EAST PACIFIC RISE,ALV0975-002,ALVIN 0975,submersible,"basalt; basalt; , ",fresh,"Melson,(1086)",EMP(3262)
ALV0975-004,GL,50.46,2.19,13.9,,,11.6,,6.77,11.6,2.73,0.12,0.19,22.9,-108.06,-3100 to -3250,SPREADING_CENTER;EAST PACIFIC RISE,ALV0975-004,ALVIN 0975,submersible,"basalt; basalt; , ",fresh,"Melson,(1086)",EMP(3262)
ALV0975-007,GL,50.24,2.18,14.14,,,11.47,,6.94,11.7,2.6,0.13,0.22,22.9,-108.06,-3100 to -3250,SPREADING_CENTER;EAST PACIFIC RISE,ALV0975-007,ALVIN 0975,submersible,"basalt; basalt; , ",fresh,"Melson,(1086)",EMP(3262)
ALV0975-008,GL,50.16,2.3,13.88,,,11.61,,6.7,11.77,2.73,0.12,0.22,22.9,-108.06,-3100 to -3250,SPREADING_CENTER;EAST PACIFIC RISE,ALV0975-008,ALVIN 0975,submersible,"basalt; basalt; , ",fresh,"Melson,(1086)",EMP(3262)
DSDP065-0483-021-003/6-9,GL,50.1,2,13.91,,,11.4,0.17,7.04,11.22,2.85,0.08,0.2,22.8833,-108.7483,-3070,SPREADING_CENTER;EAST PACIFIC RISE,DSDP065-0483,DSDP,drill,"basalt; basalt; , basaltic glass",,"Griffin,1983(919)",EMP(1961)
DSDP065-0483-021-003/6-9,GL,51.69,2.11,14.07,,,12.18,,6.9,11.19,0.67,0.08,0.14,22.8833,-108.7483,-3070,SPREADING_CENTER;EAST PACIFIC RISE,DSDP065-0483,DSDP,drill,"basalt; basalt; , basaltic glass",,"Griffin,1983(919)",EMP(1961)
DSDP065-0483-020-001/105-109G,GL,49.46,1.98,13.72,9.43,2.61,,,6.62,11.25,2.65,0.09,0.19,22.8833,-108.7483,-3070,SPREADING_CENTER;EAST PACIFIC RISE,DSDP065-0483,DSDP,drill,"basalt; basalt; , ",,"Flower,1983(923)",EMP(1964)
DSDP065-0483-021-002/33-38G,GL,49.89,2.02,13.74,9.32,2.58,,,6.51,11.44,2.65,0.1,0.17,22.8833,-108.7483,-3070,SPREADING_CENTER;EAST PACIFIC RISE,DSDP065-0483,DSDP,drill,"basalt; basalt; , ",,"Flower,1983(923)",EMP(1964)
DSDP065-0483-022-001/73-77G,GL,51.11,1.83,14.13,9,2.5,,,7.18,11.77,2.63,0.09,0.16,22.8833,-108.7483,-3070,SPREADING_CENTER;EAST PACIFIC RISE,DSDP065-0483,DSDP,drill,"basalt; basalt; , ",,"Flower,1983(923)",EMP(1964)
DSDP065-0483-022-001/125-127G,GL,50.75,1.81,14.34,9.01,2.5,,,7.08,11.85,2.61,0.08,0.19,22.8833,-108.7483,-3070,SPREADING_CENTER;EAST PACIFIC RISE,DSDP065-0483,DSDP,drill,"basalt; basalt; , ",,"Flower,1983(923)",EMP(1964)
DSDP065-0483-022-002/20-24G,GL,50.69,1.8,14.48,9.09,2.51,,,7.11,11.69,2.59,0.08,0.17,22.8833,-108.7483,-3070,SPREADING_CENTER;EAST PACIFIC RISE,DSDP065-0483,DSDP,drill,"basalt; basalt; , ",,"Flower,1983(923)",EMP(1964)
DSDP065-0483-023-002/115-119G,GL,50.46,2.15,14.02,9.79,2.71,,,6.6,11.06,2.72,0.1,0.22,22.8833,-108.7483,-3070,SPREADING_CENTER;EAST PACIFIC RISE,DSDP065-0483,DSDP,drill,"basalt; basalt; , ",,"Flower,1983(923)",EMP(1964)
DSDP065-0483-020-001/49,GL,50.3,1.6,15,,,9.4,0.2,7.6,12.6,2.5,0.1,0.2,22.8833,-108.7483,-3070,SPREADING_CENTER;EAST PACIFIC RISE,DSDP065-0483,DSDP,drill,"basalt; basalt; , basaltic glass",,"Barker,1983(927)",EMP(1972)
DSDP065-0483-022-001/2,GL,50.5,1.6,14.6,,,8.9,0.2,8.2,12.8,2.4,0.1,0.2,22.8833,-108.7483,-3070,SPREADING_CENTER;EAST PACIFIC RISE,DSDP065-0483,DSDP,drill,"basalt; basalt; , basaltic glass",,"Barker,1983(927)",EMP(1972)
DSDP065-0483-020-001/105,GL,49.46,1.98,13.72,,,11.8,,6.62,11.25,2.65,0.09,0.19,22.8833,-108.7483,-3070,SPREADING_CENTER;EAST PACIFIC RISE,DSDP065-0483,DSDP,drill,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
DSDP065-0483-021-002/33,GL,49.89,2.02,13.74,,,11.68,,6.51,11.44,2.65,0.1,0.17,22.8833,-108.7483,-3070,SPREADING_CENTER;EAST PACIFIC RISE,DSDP065-0483,DSDP,drill,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
DSDP065-0483-022-001/125,GL,50.75,1.81,14.34,,,11.29,,7.08,11.85,2.61,0.08,0.19,22.8833,-108.7483,-3070,SPREADING_CENTER;EAST PACIFIC RISE,DSDP065-0483,DSDP,drill,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
DSDP065-0483-022-001/73,GL,51.11,1.83,14.13,,,11.28,,7.18,11.77,2.63,0.09,0.16,22.8833,-108.7483,-3070,SPREADING_CENTER;EAST PACIFIC RISE,DSDP065-0483,DSDP,drill,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
DSDP065-0483-022-002/20,GL,50.69,1.8,14.48,,,11.38,,7.11,11.69,2.59,0.08,0.17,22.8833,-108.7483,-3070,SPREADING_CENTER;EAST PACIFIC RISE,DSDP065-0483,DSDP,drill,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
DSDP065-0483-023-002/115,GL,50.46,2.15,14.02,,,12.25,,6.6,11.06,2.72,0.1,0.22,22.8833,-108.7483,-3070,SPREADING_CENTER;EAST PACIFIC RISE,DSDP065-0483,DSDP,drill,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
GIL7904-016-002,GL,50.34,1.35,15.21,,,10.26,,7.94,12.35,2.22,0.05,0.16,22.86,-108.17,-2720 to -2895,SPREADING_CENTER;EAST PACIFIC RISE,GIL7904-016,GS79-04,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
GIL7904-010-001,GL,50.08,2.03,14.06,,,11.74,,6.81,11.52,2.69,0.09,0.19,22.84,-108.12,-3100 to -3200,SPREADING_CENTER;EAST PACIFIC RISE,GIL7904-010,GS79-04,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
GIL7904-010-003,GL,49.66,1.67,15.4,,,10.33,,7.66,12.04,2.47,0.07,0.17,22.84,-108.12,-3100 to -3200,SPREADING_CENTER;EAST PACIFIC RISE,GIL7904-010,GS79-04,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
GIL7904-010-020,GL,50.24,2,14.03,,,11.81,,6.76,11.7,2.66,0.08,0.18,22.84,-108.12,-3100 to -3200,SPREADING_CENTER;EAST PACIFIC RISE,GIL7904-010,GS79-04,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
GIL7904-010-022,GL,50.55,2.06,14.01,,,11.8,,6.84,11.69,2.66,0.09,0.2,22.84,-108.12,-3100 to -3200,SPREADING_CENTER;EAST PACIFIC RISE,GIL7904-010,GS79-04,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
GIL7904-010-024,GL,50.53,2.05,13.94,,,11.62,,6.83,11.7,2.68,0.08,0.16,22.84,-108.12,-3100 to -3200,SPREADING_CENTER;EAST PACIFIC RISE,GIL7904-010,GS79-04,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
GIL7904-001-004,GL,50,1.69,14.7,,,10.4,0.19,7.78,11.9,2.65,0.08,,22.83,-108.13,-3100 to -3200,SPREADING_CENTER;EAST PACIFIC RISE,GIL7904-001,GS79-04,dredge,"basalt; basalt; , ",fresh,"Bender,1984(159)",EMP(261)
GIL7904-001-009,GL,49.8,1.68,14.6,,,10.6,0.18,7.76,11.6,2.68,0.06,,22.83,-108.13,-3100 to -3200,SPREADING_CENTER;EAST PACIFIC RISE,GIL7904-001,GS79-04,dredge,"basalt; basalt; , ",fresh,"Bender,1984(159)",EMP(261)
GIL7904-001-004,GL,49.8,1.66,15.1,,,10.4,0.17,8.03,11.6,2.48,0.03,,22.83,-108.13,-3100 to -3200,SPREADING_CENTER;EAST PACIFIC RISE,GIL7904-001,GS79-04,dredge,"basalt; basalt; , ",fresh,"Bender,1984(159)",EMP(262)
GIL7904-001-002,GL,50.55,1.76,14.77,,,10.7,,7.46,11.74,2.51,0.08,0.13,22.83,-108.13,-3100 to -3200,SPREADING_CENTER;EAST PACIFIC RISE,GIL7904-001,GS79-04,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
GIL7904-001-004,GL,50.16,1.69,14.92,,,10.77,,7.39,11.68,2.54,0.09,0.14,22.83,-108.13,-3100 to -3200,SPREADING_CENTER;EAST PACIFIC RISE,GIL7904-001,GS79-04,dredge,"basalt; basalt; , ",fresh,"Melson,(1086)",EMP(3262)
GIL7904-001-006,GL,50.37,1.71,14.81,,,10.82,,7.39,11.65,2.49,0.08,0.15,22.83,-108.13,-3100 to -3200,SPREADING_CENTER;EAST PACIFIC RISE,GIL7904-001,GS79-04,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
GIL7904-001-009,GL,50.24,1.77,14.76,,,10.92,,7.36,11.64,2.55,0.07,0.17,22.83,-108.13,-3100 to -3200,SPREADING_CENTER;EAST PACIFIC RISE,GIL7904-001,GS79-04,dredge,"basalt; basalt; , ",fresh,"Melson,(1086)",EMP(3262)
GIL7904-001-016,GL,50.83,1.73,14.78,,,10.62,,7.42,11.76,2.51,0.07,0.14,22.83,-108.13,-3100 to -3200,SPREADING_CENTER;EAST PACIFIC RISE,GIL7904-001,GS79-04,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
GIL7904-001-032,GL,50.67,1.73,14.8,,,10.87,,7.32,11.67,2.54,0.07,0.14,22.83,-108.13,-3100 to -3200,SPREADING_CENTER;EAST PACIFIC RISE,GIL7904-001,GS79-04,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
GIL7904-001-A1,GL,49.66,1.67,14.78,,,10.9,,7.31,11.62,2.54,0.07,0.15,22.83,-108.13,-3100 to -3200,SPREADING_CENTER;EAST PACIFIC RISE,GIL7904-001,GS79-04,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
THO0099-001-B1/7-R6,GL,50.24,1.45,15.3,,,10.55,,7.78,12.74,2.05,0.07,0.15,22.783,-108.047,-2600,SPREADING_CENTER;EAST PACIFIC RISE,THO0099-001,TT099,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
THO0099-001-B1/7-R7,GL,50.87,1.49,15.12,,,10.31,,7.8,12.53,2.13,0.06,0.15,22.783,-108.047,-2600,SPREADING_CENTER;EAST PACIFIC RISE,THO0099-001,TT099,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
THO0099-001-B3/7-R1,GL,50.14,1.46,15.01,,,10.66,,7.74,12.64,2.08,0.06,0.15,22.783,-108.047,-2600,SPREADING_CENTER;EAST PACIFIC RISE,THO0099-001,TT099,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
THO0099-001-B3/7-R5,GL,50.36,1.49,15.12,,,10.58,,7.78,12.51,2.05,0.05,0.15,22.783,-108.047,-2600,SPREADING_CENTER;EAST PACIFIC RISE,THO0099-001,TT099,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
THO0099-009-B1/1-R1-P1,GL,50.1,1.32,15.52,,,9.67,,8.02,12.32,2.23,0.05,0.12,22.78,-108.15,,SPREADING_CENTER;EAST PACIFIC RISE,THO0099-009,TT099,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
THO0099-009-B1/1-R7-P1,GL,49.82,1.38,15.55,,,9.75,,8.14,12.42,2.28,0.04,0.13,22.78,-108.15,,SPREADING_CENTER;EAST PACIFIC RISE,THO0099-009,TT099,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
GIL7904-002-001A,GL,50.3,1.75,15.21,,,10.38,,7.7,12.12,2.33,0.07,0.14,22.75,-108.17,-3050,SPREADING_CENTER;EAST PACIFIC RISE,GIL7904-002,GS79-04,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
GIL7904-002-001C,GL,50.26,1.75,14.98,,,10.53,,7.7,11.93,2.33,0.07,0.14,22.75,-108.17,-3050,SPREADING_CENTER;EAST PACIFIC RISE,GIL7904-002,GS79-04,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
GIL7904-002-002,GL,50.39,1.86,14.67,,,10.58,,7.55,12.07,2.32,0.08,0.16,22.75,-108.17,-3050,SPREADING_CENTER;EAST PACIFIC RISE,GIL7904-002,GS79-04,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
GIL7904-002-005,GL,50.19,1.83,14.62,,,10.51,,7.46,12.06,2.27,0.08,0.15,22.75,-108.17,-3050,SPREADING_CENTER;EAST PACIFIC RISE,GIL7904-002,GS79-04,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
GIL7904-002-010,GL,50.4,1.82,14.62,,,10.64,,7.56,12.13,2.34,0.09,0.15,22.75,-108.17,-3050,SPREADING_CENTER;EAST PACIFIC RISE,GIL7904-002,GS79-04,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
GIL7904-002-012,GL,50.03,1.71,14.94,,,10.36,,7.63,12.13,2.34,0.1,0.14,22.75,-108.17,-3050,SPREADING_CENTER;EAST PACIFIC RISE,GIL7904-002,GS79-04,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
BENDER-058-VG8644,GL,50.49,1.78,14.52,,,11.02,,7.29,11.92,2.57,0.06,0.17,22.71,-108.29,,SPREADING_CENTER;EAST PACIFIC RISE,BENDER-058,UNKNOWN,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
GIL7904-003-010,GL,49.9,1.83,13.9,,,10.8,0.2,7.26,11.5,2.7,0.08,,22.7,-108.23,-3000 to -3100,SPREADING_CENTER;EAST PACIFIC RISE,GIL7904-003,GS79-04,dredge,"basalt; basalt; , ",fresh,"Bender,1984(159)",EMP(261)
BENDER-059-VG8645,GL,50.17,1.51,15.19,,,10.69,,7.88,12.12,2.26,0.07,0.16,22.7,-108.25,,SPREADING_CENTER;EAST PACIFIC RISE,BENDER-059,UNKNOWN,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
GIL7904-003-001,GL,50.67,1.8,14.27,,,11.29,,7.01,11.63,2.55,0.1,0.18,22.7,-108.23,-3000 to -3100,SPREADING_CENTER;EAST PACIFIC RISE,GIL7904-003,GS79-04,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
GIL7904-003-004,GL,50.32,1.95,13.89,,,11.3,,6.88,11.62,2.52,0.14,0.16,22.7,-108.23,-3000 to -3100,SPREADING_CENTER;EAST PACIFIC RISE,GIL7904-003,GS79-04,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
GIL7904-003-007,GL,50.34,1.92,14.27,,,11.52,,6.85,11.6,2.53,0.1,0.15,22.7,-108.23,-3000 to -3100,SPREADING_CENTER;EAST PACIFIC RISE,GIL7904-003,GS79-04,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
GIL7904-003-008,GL,50.56,1.86,14,,,11.94,,6.9,11.42,2.58,0.09,0.18,22.7,-108.23,-3000 to -3100,SPREADING_CENTER;EAST PACIFIC RISE,GIL7904-003,GS79-04,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
GIL7904-003-010,GL,50.68,1.84,14.13,,,11.41,,6.93,11.65,2.6,0.08,0.17,22.7,-108.23,-3000 to -3100,SPREADING_CENTER;EAST PACIFIC RISE,GIL7904-003,GS79-04,dredge,"basalt; basalt; , ",fresh,"Melson,(1086)",EMP(3262)
GIL7904-003-014,GL,50.64,1.78,14.1,,,11.78,,7.07,11.47,2.53,0.11,0.19,22.7,-108.23,-3000 to -3100,SPREADING_CENTER;EAST PACIFIC RISE,GIL7904-003,GS79-04,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
GIL7904-003-020,GL,51.1,1.9,14.21,,,11.87,,7.18,11.44,2.44,0.07,0.17,22.7,-108.23,-3000 to -3100,SPREADING_CENTER;EAST PACIFIC RISE,GIL7904-003,GS79-04,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
GIL7904-003-022,GL,50.76,1.74,14.26,,,11.56,,7.24,11.5,2.5,0.11,0.18,22.7,-108.23,-3000 to -3100,SPREADING_CENTER;EAST PACIFIC RISE,GIL7904-003,GS79-04,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
GIL7904-003-024,GL,50.92,1.75,14.36,,,11.64,,7.04,11.53,2.6,0.1,0.18,22.7,-108.23,-3000 to -3100,SPREADING_CENTER;EAST PACIFIC RISE,GIL7904-003,GS79-04,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
GIL7904-018-003,GL,50.1,1.37,14.5,,,10.2,0.18,8.14,12.7,2.43,0.04,,22.65,-108.23,-2950 to -3100,SPREADING_CENTER;EAST PACIFIC RISE,GIL7904-018,GS79-04,dredge,"basalt; basalt; , ",fresh,"Bender,1984(159)",EMP(261)
GIL7904-018-002,GL,50.65,1.4,14.53,,,10.46,,7.64,12.86,2.15,0.04,0.13,22.65,-108.23,-2950 to -3100,SPREADING_CENTER;EAST PACIFIC RISE,GIL7904-018,GS79-04,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
GIL7904-018-003,GL,50.81,1.5,14.56,,,10.29,,7.69,12.76,2.36,0.06,0.12,22.65,-108.23,-2950 to -3100,SPREADING_CENTER;EAST PACIFIC RISE,GIL7904-018,GS79-04,dredge,"basalt; basalt; , ",fresh,"Melson,(1086)",EMP(3262)
GIL7904-018-005,GL,50.47,1.48,14.63,,,10.43,,7.58,12.66,2.27,0.06,0.13,22.65,-108.23,-2950 to -3100,SPREADING_CENTER;EAST PACIFIC RISE,GIL7904-018,GS79-04,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
GIL7904-018-020,GL,50.57,1.42,14.66,,,10.72,,7.66,12.82,2.11,0.05,0.14,22.65,-108.23,-2950 to -3100,SPREADING_CENTER;EAST PACIFIC RISE,GIL7904-018,GS79-04,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
GIL7904-018-022,GL,50.96,1.35,14.5,,,10.54,,7.57,12.59,2.29,0.06,0.13,22.65,-108.23,-2950 to -3100,SPREADING_CENTER;EAST PACIFIC RISE,GIL7904-018,GS79-04,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
GIL7904-017-020,GL,50.14,1.4,15.2,,,9.8,,7.99,12.58,2.4,0.09,0.14,22.62,-108.24,-2950 to -3000,SPREADING_CENTER;EAST PACIFIC RISE,GIL7904-017,GS79-04,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
GIL7904-017-022,GL,50.85,1.64,14.4,,,11.12,,6.94,11.85,2.64,0.08,0.14,22.62,-108.24,-2950 to -3000,SPREADING_CENTER;EAST PACIFIC RISE,GIL7904-017,GS79-04,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
GIL7904-006-023,GL,49.5,1.23,15.3,,,9.36,0.15,8.68,12.8,2.32,0.04,,22.6,-108.31,-2850 to -2950,SPREADING_CENTER;EAST PACIFIC RISE,GIL7904-006,GS79-04,dredge,"basalt; basalt; , ",fresh,"Bender,1984(159)",EMP(261)
GIL7904-006-034,GL,49.6,1.13,16.1,,,9.12,0.17,9.06,12.6,2.59,0.03,,22.6,-108.31,-2850 to -2950,SPREADING_CENTER;EAST PACIFIC RISE,GIL7904-006,GS79-04,dredge,"basalt; basalt; , ",fresh,"Bender,1984(159)",EMP(261)
GIL7904-006-023,GL,50.1,1.23,15.9,,,9.37,0.15,8.66,12.4,2.23,0.01,,22.6,-108.31,-2850 to -2950,SPREADING_CENTER;EAST PACIFIC RISE,GIL7904-006,GS79-04,dredge,"basalt; basalt; , ",fresh,"Bender,1984(159)",EMP(262)
