sample_id,material,SiO2,TiO2,Al2O3,FeO,Fe2O3,FeOT,MnO,MgO,CaO,Na2O,K2O,P2O5,latitude,longitude,elevation,tectonic,station,expedition,sampling technique,rock type,alteration,reference,method
CON2806-019-001,GL,51.41,1.68,15.04,,,9.83,0.18,7.56,11.19,3.01,0.13,0.12,-1.013,-24.604,-3690,SPREADING_CENTER;MID-ATLANTIC RIDGE,CON2806-019,RC2806,dredge,"basalt; basalt; , ",fresh,"Schilling,1995(112)",EMP(315)
CON2806-006-001,GL,51.57,1.54,14.66,,,9.56,0.18,7.49,10.82,3.23,0.16,0.14,-1.051,-13.112,-4175,SPREADING_CENTER;MID-ATLANTIC RIDGE,CON2806-006,RC2806,dredge,"basalt; basalt; , ",fresh,"Schilling,1995(112)",EMP(315)
CON2806-006-002,GL,51.25,1.49,14.68,,,9.7,0.19,7.79,10.95,2.97,0.13,0.13,-1.051,-13.112,-4175,SPREADING_CENTER;MID-ATLANTIC RIDGE,CON2806-006,RC2806,dredge,"basalt; basalt; , ",fresh,"Schilling,1995(112)",EMP(315)
CON2806-006-003,GL,51.33,1.46,14.83,,,9.77,0.15,7.75,11.01,2.98,0.13,0.11,-1.051,-13.112,-4175,SPREADING_CENTER;MID-ATLANTIC RIDGE,CON2806-006,RC2806,dredge,"basalt; basalt; , ",fresh,"Schilling,1995(112)",EMP(315)
CON2806-010-004,GL,51.55,1.66,14.63,,,9.71,0.17,7.86,10.96,3.02,0.16,0.13,-1.062,-15.976,-4000,SPREADING_CENTER;MID-ATLANTIC RIDGE,CON2806-010,RC2806,dredge,"basalt; basalt; , ",fresh,"Schilling,1995(112)",EMP(315)
CON2806-010-005,GL,51.56,1.65,14.8,,,9.69,0.17,7.67,10.98,3.02,0.18,0.08,-1.062,-15.976,-4000,SPREADING_CENTER;MID-ATLANTIC RIDGE,CON2806-010,RC2806,dredge,"basalt; basalt; , ",fresh,"Schilling,1995(112)",EMP(315)
CON2806-010-006,GL,51.47,1.62,15.1,,,9.4,0.17,7.83,10.99,3.05,0.17,0.14,-1.062,-15.976,-4000,SPREADING_CENTER;MID-ATLANTIC RIDGE,CON2806-010,RC2806,dredge,"basalt; basalt; , ",fresh,"Schilling,1995(112)",EMP(315)
CON2806-010-009,GL,51.5,1.65,14.71,,,9.77,0.18,7.87,10.92,2.97,0.16,0.09,-1.062,-15.976,-4000,SPREADING_CENTER;MID-ATLANTIC RIDGE,CON2806-010,RC2806,dredge,"basalt; basalt; , ",fresh,"Schilling,1995(112)",EMP(315)
CON2806-014-002,GL,51.12,1.96,14.45,,,10.6,0.18,6.85,10.8,3.16,0.22,0.16,-1.159,-15.938,-3930,SPREADING_CENTER;MID-ATLANTIC RIDGE,CON2806-014,RC2806,dredge,"basalt; basalt; , ",fresh,"Schilling,1995(112)",EMP(315)
CON2806-014-003,GL,51.92,1.94,14.41,,,10.84,0.18,6.91,10.64,3.13,0.23,0.17,-1.159,-15.938,-3930,SPREADING_CENTER;MID-ATLANTIC RIDGE,CON2806-014,RC2806,dredge,"basalt; basalt; , ",fresh,"Schilling,1995(112)",EMP(315)
CON2806-014-004,GL,51.74,1.94,14.36,,,10.82,0.2,6.93,10.6,3.21,0.23,0.17,-1.159,-15.938,-3930,SPREADING_CENTER;MID-ATLANTIC RIDGE,CON2806-014,RC2806,dredge,"basalt; basalt; , ",fresh,"Schilling,1995(112)",EMP(315)
CON2806-014-007,GL,51.63,1.61,14.97,,,9.78,0.18,7.45,11.04,3.07,0.19,0.15,-1.159,-15.938,-3930,SPREADING_CENTER;MID-ATLANTIC RIDGE,CON2806-014,RC2806,dredge,"basalt; basalt; , ",fresh,"Schilling,1995(112)",EMP(315)
CON2806-014-008,GL,51.58,1.54,15.03,,,9.66,0.18,8.01,10.96,3,0.21,0.14,-1.159,-15.938,-3930,SPREADING_CENTER;MID-ATLANTIC RIDGE,CON2806-014,RC2806,dredge,"basalt; basalt; , ",fresh,"Schilling,1995(112)",EMP(315)
CON2806-005-001,GL,51.47,1.65,15.14,,,9.77,0.17,7.51,11.28,2.95,0.2,0.15,-1.162,-13.068,-3975,SPREADING_CENTER;MID-ATLANTIC RIDGE,CON2806-005,RC2806,dredge,"basalt; basalt; , ",fresh,"Schilling,1995(112)",EMP(315)
CON2806-005-002,GL,51.43,1.64,14.86,,,9.92,0.18,7.56,11.31,2.94,0.21,0.14,-1.162,-13.068,-3975,SPREADING_CENTER;MID-ATLANTIC RIDGE,CON2806-005,RC2806,dredge,"basalt; basalt; , ",fresh,"Schilling,1995(112)",EMP(315)
CON2806-005-003,GL,51.53,1.65,14.87,,,9.87,0.19,7.57,11.28,2.91,0.21,0.34,-1.162,-13.068,-3975,SPREADING_CENTER;MID-ATLANTIC RIDGE,CON2806-005,RC2806,dredge,"basalt; basalt; , ",fresh,"Schilling,1995(112)",EMP(315)
