ANALYSES_NUM,REF_ID,DQ_ID,SAMPLE_ID,LATITUDE,LONGITUDE,LAT_LONG_PRECISION,ELEVATION_MIN,ELEVATION_MAX,TECTONIC_SETTING,PRIMARY_LOCATION,MATERIAL,Pb206_Pb204,stdev_Pb206,Pb207_Pb204,stdev_Pb207,Pb208_Pb204,stdev_Pb208
15550,"MAHONEY,1993(443)",MS(428),MOA8712-041-001,-19.92,-113.65,0.01,-2835,-2835,SPREADING_CENTER,EAST PACIFIC RISE,GL,18.464,,15.49,,37.96
15552,"MAHONEY,1993(443)",MS(428),MOA8712-048-004,-19.3,-113.5,0.01,-2800,-2800,SPREADING_CENTER,EAST PACIFIC RISE,GL,18.541,,15.495,,38.029
15553,"MAHONEY,1993(443)",MS(428),MOA8712-005-003,-23.02,-114.51,0.01,-3018,-3018,SPREADING_CENTER,EAST PACIFIC RISE,GL,18.244,,15.476,,37.636
15554,"MAHONEY,1993(443)",MS(428),MOA8712-051-004,-19,-113.47,0.01,-2750,-2750,SPREADING_CENTER,EAST PACIFIC RISE,GL,18.559,,15.507,,38.075
15555,"MAHONEY,1993(443)",MS(428),MOA8712-057-004,-18.88,-113.45,0.01,-2750,-2750,SPREADING_CENTER,EAST PACIFIC RISE,GL,18.514,,15.49,,38.017
15556,"MAHONEY,1993(443)",MS(428),MOA8712-061-001,-18.6,-113.42,0.01,-2700,-2700,SPREADING_CENTER,EAST PACIFIC RISE,GL,18.514,,15.501,,38.033
15557,"MAHONEY,1993(443)",MS(428),MOA8712-065-003,-17.95,-113.26,0.01,-2665,-2665,SPREADING_CENTER,EAST PACIFIC RISE,GL,18.55,,15.507,,38.051
15558,"MAHONEY,1993(443)",MS(428),MOA8712-066-004,-17.78,-113.26,0.01,-2665,-2665,SPREADING_CENTER,EAST PACIFIC RISE,GL,18.637,,15.505,,38.126
15559,"MAHONEY,1993(443)",MS(428),MOA8712-069-004,-17.27,-113.18,0.01,-2615,-2615,SPREADING_CENTER,EAST PACIFIC RISE,GL,18.642,,15.501,,38.128
15560,"MAHONEY,1993(443)",MS(428),MOA8712-072-001,-17.03,-113.11,0.01,-2640,-2640,SPREADING_CENTER,EAST PACIFIC RISE,GL,18.587,,15.493,,38.061
15561,"MAHONEY,1993(443)",MS(428),MOA8712-075-002,-16.75,-113.08,0.01,-2685,-2685,SPREADING_CENTER,EAST PACIFIC RISE,GL,18.562,,15.491,,38.053
15562,"MAHONEY,1993(443)",MS(428),MOA8712-077-001,-16.57,-113.06,0.01,-2675,-2675,SPREADING_CENTER,EAST PACIFIC RISE,GL,18.417,,15.486,,37.931
15564,"MAHONEY,1993(443)",MS(428),MOA8712-080-006,-16.05,-112.98,0.01,-2680,-2680,SPREADING_CENTER,EAST PACIFIC RISE,GL,18.289,,15.469,,37.786
