sample_id,material,SiO2,TiO2,Al2O3,FeO,Fe2O3,FeOT,Fe2O3T,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Ba,Be,Co,Cr,Cs,Cu,Ga,Hf,K,Li,Nb,Ni,Pb,Rb,Sb,Sc,Sn,Sr,Ta,Th,Ti,U,V,Y,Zn,Zr,Sr87_Sr86,Nd143_Nd144,Pb206_Pb204,Pb207_Pb204,Pb208_Pb204,latitude,longitude,elevation,tectonic_setting,station,expedition,sampling technique,rock type,alteration,reference,method
CYA1978-010-017,glass,49.8,1.54,15.01,,11.05,10.06,,0.183,7.43,11.68,2.89,0.189,0.168,,,,,,,,,,,,,,,39.3,,,292,,79.8,,,,,,78.8,,,,40.8,,138,,,,,301,34.2,75,112,,,,,,20.9,-109.03,-2660,SPREADING_CENTER;EAST PACIFIC RISE,CYA1978-010-017,CYANA1978 (CYAMEX),submersible,"basalt, basalt, plag, ol and cpx (<5-7%) with glomeroporphyritic texture in glassy matrix",fresh,"Hekinian,1987(88)",DCP(997); EMP(996)
CYA1978-010-017,whole rock,49.77,1.58,14.65,,11.26,,,0.2,7.51,11.91,2.54,0.19,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.596,15.513,38.161,20.9,-109.03,-2660,SPREADING_CENTER;EAST PACIFIC RISE,CYA1978-010-017,CYANA1978 (CYAMEX),submersible,"basalt, basalt, plag, ol and cpx (<5-7%) with glomeroporphyritic texture in glassy matrix",fresh,"Eissen,1982(629); Vidal,1981(740)",MS(2176); XRF(1003)
CYA1978-012-034,glass,49.95,1.41,14.67,,11,9.47,,0.19,8.06,12.06,2.27,0.11,0.16,,,,,,,,,,,,,,,19.3,,,296,,78.6,,,885,,,88.5,,,,41.6,,114,,,,,304,32.4,69,94.9,,,,,,20.9,-109.05,-2645,SPREADING_CENTER;EAST PACIFIC RISE,CYA1978-012-034,CYANA1978 (CYAMEX),submersible,"basalt, basalt, plag, ol and cpx (<5-7%) with glomeroporphyritic texture in glassy matrix",fresh,"Hekinian,1987(88); Juteau,1980(96); Sarda,1985(302)",DCP(997); EMP(996); NN(1814); XRF(632)
CYA1978-012-034,whole rock,50.39,1.44,14.61,,11.1,,,0.19,8.19,12.17,2.21,0.13,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,,,,,,,,,0.70251,,18.43,15.491,37.887,20.9,-109.05,-2645,SPREADING_CENTER;EAST PACIFIC RISE,CYA1978-012-034,CYANA1978 (CYAMEX),submersible,"basalt, basalt, plag, ol and cpx (<5-7%) with glomeroporphyritic texture in glassy matrix",fresh,"Juteau,1980(96); Vidal,1981(740)",MS(2176); MS(2178); MS-ID(2179); XRF(632)
CYA1978-006-009,whole rock,50.09,1.41,14.4,,11.11,,,0.19,8.06,12.07,2.51,0.11,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,0.497,,,,,112,,0.232,,0.0634,,,,,0.70224,,18.44,15.499,37.954,20.9,-109.05,-2655,SPREADING_CENTER;EAST PACIFIC RISE,CYA1978-006-009,CYANA1978 (CYAMEX),submersible,"basalt, basalt, ",fresh,"Eissen,1982(629); Vidal,1981(740)",MS(2176); MS(2178); MS-ID(2177); MS-ID(2179); XRF(1003)
CYA1978-009-015,glass,50.16,1.41,14.69,,,10.66,,0.16,8.56,12.19,2.42,0.03,0.3,,,,,,,,,,,,,,,,,,,,,,,537,,,,,,,,,,,,,,,,,,,,18.392,15.511,37.83,20.9,-109.07,-2645,SPREADING_CENTER;EAST PACIFIC RISE,CYA1978-009-015,CYANA1978 (CYAMEX),submersible,"basalt, basalt, ",fresh,"Brevart,1981(741); Juteau,1980(96); Sarda,1985(302)",EMP(633); MS(2604); NN(1814)
CYA1978-009-015,whole rock,50.1,1.3,14.87,,10.68,,,0.18,8.37,12.31,2.29,0.06,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.9,-109.07,-2645,SPREADING_CENTER;EAST PACIFIC RISE,CYA1978-009-015,CYANA1978 (CYAMEX),submersible,"basalt, basalt, ",fresh,"Eissen,1982(629)",XRF(1003)
CYA1978-010-019,glass,49.94,1.33,15.16,9.48,10.56,,,0.176,8,11.98,2.65,0.061,0.124,,,,,,,,,,,,,,,8.9,,,332,,77.4,,,,,,84.7,,,,41.3,,110,,,,,294,32.4,76.9,94.6,,,,,,20.89,-109.02,-2645,SPREADING_CENTER;EAST PACIFIC RISE,CYA1978-010-019,CYANA1978 (CYAMEX),submersible,"basalt, basalt, plag, ol and cpx (<5-7%) with glomeroporphyritic texture in glassy matrix",fresh,"Hekinian,1987(88); Jambon,1990(425)",DCP(997); EMP(1464)
CYA1978-010-019,whole rock,50.09,1.35,14.86,,10.53,,,0.19,8.33,12.35,2.2,0.08,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.89,-109.02,-2645,SPREADING_CENTER;EAST PACIFIC RISE,CYA1978-010-019,CYANA1978 (CYAMEX),submersible,"basalt, basalt, plag, ol and cpx (<5-7%) with glomeroporphyritic texture in glassy matrix",fresh,"Eissen,1982(629)",XRF(1003)
CYA1978-002-002,glass,49.65,1.29,16.11,,,8.52,,0.16,8.51,12.42,2.59,0.06,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.88,-109.03,-2590,SPREADING_CENTER;EAST PACIFIC RISE,CYA1978-002-002,CYANA1978 (CYAMEX),submersible,"basalt, basalt, moderately phyric; glassy matrix with >10% plag-pc;cr-spinel present; resorbed fo-rich ol-pc",fresh,"Hekinian,1987(88)",EMP(996)
CYA1978-002-002,whole rock,48.61,1.17,16.81,,9.57,,,0.15,8.32,12.45,2.38,0.08,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,0.377,,,,,,,0.101,,0.0319,,,,,,,18.411,15.482,37.84,20.88,-109.03,-2590,SPREADING_CENTER;EAST PACIFIC RISE,CYA1978-002-002,CYANA1978 (CYAMEX),submersible,"basalt, basalt, moderately phyric; glassy matrix with >10% plag-pc;cr-spinel present; resorbed fo-rich ol-pc",fresh,"Eissen,1982(629); Vidal,1981(740)",MS(2176); MS-ID(2177); XRF(1003)
ALV0906-R010,glass,49.27,1.46,16.4,,,9.3,,0.18,8.12,11.47,2.71,0.14,0.14,,,,10.6,3.35,,,,,,,,,,,,,,,,,,,,,144,,1.85,,,,179,,0.288,,0.07,263,35,,103,0.702538,0.513129,,,,20.877,-109.072,-2626,SPREADING_CENTER;EAST PACIFIC RISE,ALV0906-R010,ALVIN 0906,submersible,"basalt, basalt, ",fresh,"Macdougall,1986(388); Newman,1983(169)",EMP(688); MS(909); MS-ID(910); XRF(689)
ALV0910-R004,glass,50.1,1.27,16.18,,,8.98,,0.21,8.23,12.23,2.56,0.05,0.1,,,,8.07,2.81,,,,,,,,,,,,,,,,,,,,,149,,0.47,,,,128,,0.115,,0.042,266,36,,82,0.702493,0.513129,,,,20.875,-109.083,-2601,SPREADING_CENTER;EAST PACIFIC RISE,ALV0910-R004,ALVIN 0910,submersible,"basalt, basalt, ",fresh,"Byers,1986(144); Macdougall,1986(388); Newman,1983(169)",EMP(1363); MS(909); MS-ID(910); XRF(689)
ALV0907-R001,glass,50.51,1.38,15.31,,,9.4,,0.22,7.67,12.19,2.65,0.08,0.11,,,,7.97,2.74,,,,,,,,,,,,,,,,,,,,,104,,0.95,,,,109,,0.172,,0.054,294,38,,87,0.702471,0.513131,,,,20.87,-109.08,-2520,SPREADING_CENTER;EAST PACIFIC RISE,ALV0907-R001,ALVIN 0907,submersible,"basalt, basalt, ",fresh,"Byers,1986(144); Macdougall,1986(388); Newman,1983(169)",EMP(1363); MS(909); MS-ID(910); XRF(689)
ALV0918-R001,glass,49.57,1.29,15.72,,10.37,9.15,,0.174,8.47,12.08,2.62,0.088,0.123,,,,,,,,,,,,,,,15.5,,,339,,94,,,,,,119,,,,40,,111,,0.175,,0.056,280,36,71,85,,,18.447,15.487,37.862,20.87,-109.07,-2640,SPREADING_CENTER;EAST PACIFIC RISE,ALV0918-R001,ALVIN 0918,submersible,"basalt, basalt, plag, ol and cpx (<5-7%) with glomeroporphyritic texture in glassy matrix",fresh,"Hekinian,1987(88); Newman,1983(169); White,1987(162)",DCP(997); EMP(996); MS(675); XRF(689)
CYA1978-018-062,glass,50.06,1.3,15.06,,,9.23,,0.11,8.65,11.08,2.77,0.06,,3.1,10.4,,,2.77,1.16,,0.66,,,,,,,,,,,,,,2.139,,,,133,,,,,,,,,,,,,,80.03,0.702562,0.513119,,,,20.87,-109.07,-2600,SPREADING_CENTER;EAST PACIFIC RISE,CYA1978-018-062,CYANA1978 (CYAMEX),submersible,"basalt, basalt, ",fresh,"David,2000(1056); Schiano,1997(34)",EMP(583); INAA(2958); INAA(582); MS(579); MS-ID(2957)
CYA1978-018-062,whole rock,48.75,1.26,16.23,,10.5,,,0.17,8.32,11.71,2.46,0.12,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,0.656,,,,,,,0.2313,,0.0659,,,,,,,18.563,15.54,38.09,20.87,-109.07,-2600,SPREADING_CENTER;EAST PACIFIC RISE,CYA1978-018-062,CYANA1978 (CYAMEX),submersible,"basalt, basalt, ",fresh,"Eissen,1982(629); Vidal,1981(740)",MS(2176); MS-ID(2177); XRF(1003)
CYA1978-018-065,glass,49.48,1.45,14.96,,,9.41,,0.17,7.42,11.58,2.74,0.18,,,,,,,,,,,,,,,,,,,,,,,,1689,,,,,,,,,,,,,,,,,,,0.513108,18.472,15.488,37.88,20.87,-109.08,-2630,SPREADING_CENTER;EAST PACIFIC RISE,CYA1978-018-065,CYANA1978 (CYAMEX),submersible,"basalt, basalt, ",fresh,"Brevart,1981(741); Sarda,1985(302); Schiano,1997(34)",EMP(583); MS(2604); MS(579); NN(1814)
CYA1978-018-065,whole rock,50.15,1.43,15.27,,10.53,,,0.18,8.54,11.95,2.72,0.21,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70264,,18.47,15.49,37.88,20.87,-109.08,-2630,SPREADING_CENTER;EAST PACIFIC RISE,CYA1978-018-065,CYANA1978 (CYAMEX),submersible,"basalt, basalt, ",fresh,"Dupre,1981(176); Eissen,1982(629)",MS(1372); MS(1373); XRF(1003)
