sample_id,material,SiO2,TiO2,Al2O3,FeO,Fe2O3,FeOT,Fe2O3T,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Ba,Be,Co,Cr,Cs,Cu,Ga,Hf,K,Li,Nb,Ni,Pb,Rb,Sb,Sc,Sn,Sr,Ta,Th,Ti,U,V,Y,Zn,Zr,Sr87_Sr86,Nd143_Nd144,Pb206_Pb204,Pb207_Pb204,Pb208_Pb204,latitude,longitude,elevation,tectonic_setting,station,expedition,sampling technique,rock type,alteration,reference,method
ALV0923-R001,glass,49.53,1.05,16.74,,,8.71,,0.15,8.99,12.02,2.23,0.07,0.1,,,,6.19,2.35,,,,,,,,,,,,,,,,,,,,,170,,0.65,,,,98,,0.103,,0.031,274,30,,59,0.702404,0.513177,18.395,15.479,37.813,20.82,-109.12,-2602,SPREADING_CENTER;EAST PACIFIC RISE,ALV0923-R001,ALVIN 0923,submersible,"basalt, basalt, ",fresh,"Macdougall,1986(388); Newman,1983(169); White,1987(162)",EMP(688); MS(675); MS(909); MS-ID(910); XRF(689)
CHRSR02-007,glass,50.62,2.49,13.18,,,13.5,,0.25,6.13,10.72,2.96,0.13,0.23,5,16.3,,,5.9,1.89,,1.48,,,,,,,,,,,,,,4.647,,,,50,,,,,,,,,,,,,,170.48,0.702587,0.513161,18.427,15.488,37.937,20.1153,-113.7118,-2915,SPREADING_CENTER;EAST PACIFIC RISE,CHRSR02-007,SEARISE 2,dredge,"basalt, basalt, ",fresh,"David,2000(1056); Hamelin,1984(217); Schiano,1997(34); Sinton,1999(744)",EMP(1002); INAA(2958); INAA(582); MS(579); MS(724); MS-ID(2957)
CHRSR02-007,whole rock,50.27,2.46,13.01,,,,15.08,0.23,5.97,9.94,2.79,0.14,0.19,,,,,,,,,,,,,,,,,47,111,,56,,,,,4,59,,,,44,,90,,,,,487,60,120,167,,,,,,20.1153,-113.7118,-2915,SPREADING_CENTER;EAST PACIFIC RISE,CHRSR02-007,SEARISE 2,dredge,"basalt, basalt, ",fresh,"Sinton,1999(744)",XRF(1000)
CHRSR01-002,glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70247,,18.334,15.492,37.822,15.817,-105.4,-2750,SPREADING_CENTER;EAST PACIFIC RISE,CHRSR01-002,SEARISE 1,dredge,"basalt, basalt, ",fresh,"Hamelin,1984(217)",MS(724); MS(725)
WASRAI2-124-002,glass,50.23,1.37,15.3,,10.8,,,0.18,7.77,11.4,2.7,0.08,0.12,,9.28,,8.89,3.24,1.19,4.47,,5.54,,3.54,,3.29,,9.5,,,152,,74,,,,,,70,,,,39,,103,,,,,296,33,,92,0.70255,0.513172,18.076,15.456,37.585,14.82,-104.39,-2940 to -2964,SPREADING_CENTER;EAST PACIFIC RISE,WASRAI2-124,RAITT02,dredge,"basalt, basalt, ",fresh,"Castillo,2000(1093)",DCP(3306); MS(3310); MS(3311); MS-ID(3307)
NHOCHEP-123-006,glass,50.72,2.41,14.12,,13.02,11.93,,0.214,7.46,10.27,2.99,0.191,0.239,,19.69,,16.58,5.5,1.81,7.29,,8.53,,5.44,,5.09,,23.7,,,,,,,,,,,,,,,,,131,,,,,,,,,0.7027,0.513138,18.342,15.499,37.862,14.78,104.36,-2875,SPREADING_CENTER;EAST PACIFIC RISE,NHOCHEP-123,CHEPR,dredge,"basalt, basalt, ",fresh,"Castillo,2000(1093); Langmuir,1999(14)",DCP(3306); EMP(402); MS(3310); MS(3311); MS-ID(3307)
WASRAI2-122-001,glass,49.87,1.58,15.3,,10.9,,,0.18,8.13,11.3,2.77,0.09,0.15,,11.3,,10.6,3.76,1.35,5.1,,6.16,,3.91,,3.62,,7.4,,,296,,66,,,,,,116,,,,38.3,,118,,,,,308,36,,110,0.70257,0.513181,18.109,15.459,37.627,14.7,-104.33,-2832 to -2850,SPREADING_CENTER;EAST PACIFIC RISE,WASRAI2-122,RAITT02,dredge,"basalt, basalt, ",fresh,"Castillo,2000(1093)",DCP(3306); MS(3310); MS(3311); MS-ID(3307)
WASRAI2-120-001,glass,49.67,2.03,13.7,,13.4,,,0.22,6.51,10.4,2.9,0.14,0.21,,16,,14.6,5.04,1.68,6.63,,8.16,,5.26,,4.98,,10.8,,,105,,60,,,,,,56,,,,39.2,,112,,,,,389,46,,148,0.70252,0.513161,18.176,15.458,37.65,14.59,-104.33,-2795 to -2797,SPREADING_CENTER;EAST PACIFIC RISE,WASRAI2-120,RAITT02,dredge,"basalt, basalt, ",fresh,"Castillo,2000(1093)",DCP(3306); MS(3310); MS(3311); MS-ID(3307)
WASRAI2-115-005,glass,50.52,1.92,13.8,,13,,,0.21,6.98,10.9,2.72,0.14,0.19,,14.4,,13.6,4.77,1.49,6.16,,7.63,,4.96,,4.61,,13.5,,,184,,67,,,,,,82,,,,40.2,,103,,,,,392,45,,138,0.70256,0.513147,18.255,15.474,37.736,14.42,-104.32,-2910 to -2960,SPREADING_CENTER;EAST PACIFIC RISE,WASRAI2-115,RAITT02,dredge,"basalt, basalt, ",fresh,"Castillo,2000(1093)",DCP(3306); MS(3310); MS(3311); MS-ID(3307)
WASRAI2-114-004,glass,50.02,1.55,14.8,,11.3,,,0.19,7.71,11.9,2.55,0.11,0.15,,11.8,,10.7,3.73,1.33,5.04,,6.16,,3.96,,3.68,,10.2,,,274,,72,,,,,,86,,,,39.9,,110,,,,,328,36,,112,0.70263,0.51315,18.22,15.498,37.801,14.31,-104.26,-2769 to -2780,SPREADING_CENTER;EAST PACIFIC RISE,WASRAI2-114,RAITT02,dredge,"basalt, basalt, ",fresh,"Castillo,2000(1093)",DCP(3306); MS(3310); MS(3311); MS-ID(3307)
NHOCHEP-001-001,glass,50.1,1.59,14.28,,11.57,10.56,11.57,0.191,7.63,11.68,2.53,0.106,0.15,,10.4,,10.02,3.59,1.26,4.97,,6.18,,4.02,,3.75,,11.8,,,206,,69,,,,,,80,,,,40.6,,97,,,,,348,,,,0.70258,0.513169,18.429,15.525,37.942,14.277,-104.263,-2825,SPREADING_CENTER;EAST PACIFIC RISE,NHOCHEP-001,CHEPR,dredge,"basalt, basalt, ",fresh,"Castillo,2000(1093); Langmuir,1999(14)",DCP(3306); DCP(403); EMP(402); MS(3308)
NHOCHEP-002-002,glass,49.3,1.61,15.35,,10.55,9.58,10.55,0.174,7.8,11.3,2.75,0.255,0.254,,17.3,,12.81,3.92,1.39,4.71,,5.76,,3.63,,3.35,,27.3,,,311,,77,,,,,,98,,,,38.6,,170,,,,,307,,,,0.7026,0.513105,18.498,15.516,37.962,14.142,-104.215,-2780,SPREADING_CENTER;EAST PACIFIC RISE,NHOCHEP-002,CHEPR,dredge,"basalt, basalt, ",fresh,"Castillo,2000(1093); Langmuir,1999(14)",DCP(3306); DCP(403); EMP(402); MS(3308)
NHOCHEP-003-003,glass,49.5,1.56,15.4,,11.05,10.18,11.05,0.184,7.5,11.6,2.84,0.13,0.17,,11.8,,10.6,3.61,1.31,4.9,,5.89,,3.72,,3.49,,15.3,,,290,,,,,,6.6,,82,,,,40,,122,,,,,309,35.3,83,115,0.70256,0.51314,18.295,15.468,37.774,13.967,-104.195,-2690,SPREADING_CENTER;EAST PACIFIC RISE,NHOCHEP-003,CHEPR,dredge,"basalt, basalt, ",fresh,"Castillo,2000(1093); Langmuir,1999(14); Ryan,1987(395)",DCP(3157); DCP(3306); DCP(403); EMP(402); MS(3308)
NHOCHEP-004-001,glass,49.95,1.85,15.2,,11.4,10.39,11.4,0.14,7.04,11.3,3.1,0.306,0.235,,19.3,,14.46,4.41,1.56,5.5,,6.43,,3.97,,3.63,,50,,,252,,175,,,,6.6,,74,,,,41.1,,179,,,,,335,38.1,117,141,0.70261,0.513078,18.487,15.513,38.007,13.857,-104.18,-2660,SPREADING_CENTER;EAST PACIFIC RISE,NHOCHEP-004,CHEPR,dredge,"basalt, basalt, ",fresh,"Castillo,2000(1093); Langmuir,1999(14); Ryan,1987(395)",DCP(3157); DCP(3306); DCP(403); EMP(402); MS(3308)
NHORIS3-030-001,glass,51.15,1.99,14.26,10.14,2.02,11.97,,,6.27,10.76,2.79,0.2,0.18,5.74,15.9,,,4.92,1.67,,1.24,,,,,4.57,0.69,,,46.7,244,,,,3.92,,,,,,,,46.8,,165,,0.3,,0.28,,,,119,,,,,,13.833,-104.183,-1425 to -1490,SPREADING_CENTER;EAST PACIFIC RISE,NHORIS3-030,RISE III,dredge,"basalt, basalt; tholeiite(ref-211);, ",fresh,"Batiza,1982(709); Batiza,1984(211)",CALC(330); EMP(1555); EMP(325); INAA(328)
NHORIS3-030-001,whole rock,,,,,,,,,,,,,,5.74,,,,4.92,,,,,,,,,0.69,,,,,0.044,,,,1647,,,,,2.48,,,,125.9,,,,,,,,,0.70282,0.513126,,,,13.833,-104.183,-1425 to -1490,SPREADING_CENTER;EAST PACIFIC RISE,NHORIS3-030,RISE III,dredge,"basalt, basalt; tholeiite(ref-211);, ",fresh,"Zindler,1984(273)",MS(334); MS-ID(333)
NHOCHEP-005-001,glass,50.05,2.05,14.53,10.16,12.37,11.18,12.37,0.202,6.58,10.81,3.22,0.273,0.201,,19,,14.74,4.77,1.69,5.78,,7.05,,4.5,,4.11,,39.3,,,95,,86,,,,,,54,,,,40.7,,159,,,,,359,40.6,94,149,0.70261,0.513155,18.407,15.49,37.888,13.753,-104.156,-2660,SPREADING_CENTER;EAST PACIFIC RISE,NHOCHEP-005,CHEPR,dredge,"basalt, basalt, ",fresh,"Castillo,2000(1093); Christie,1986(261); Langmuir,1999(14)",DCP(3306); DCP(403); EMP(402); MS(3308); SP-PH(1787)
NHOCHEP-005-004,glass,50.25,2.08,14.31,,12.21,10.98,,0.171,6.75,10.91,3.31,0.326,0.234,,18.86,,14.84,4.72,1.65,6.16,,7.15,,4.3,,3.94,,39.3,,,95,,86,,,,,,54,,,,40.7,,159,,,,,359,40.6,94,149,0.70256,0.513121,18.467,15.491,37.913,13.753,-104.156,-2660,SPREADING_CENTER;EAST PACIFIC RISE,NHOCHEP-005,CHEPR,dredge,"basalt, basalt, ",fresh,"Castillo,2000(1093); Langmuir,1999(14)",DCP(3306); EMP(402); MS(3308); MS-ID(3307)
NHOCHEP-006-001,glass,50,1.81,15,9.41,11.4,10.42,11.4,0.189,7.15,11,2.95,0.304,0.214,,19.1,,14.08,4.34,1.54,5.19,,6.38,,4.01,,3.66,,49,,,246,,82,,,,,,85,,,,39.4,,174,,,,,327,37.2,90,135,0.70263,0.513098,18.471,15.498,37.943,13.645,-104.171,-2710,SPREADING_CENTER;EAST PACIFIC RISE,NHOCHEP-006,CHEPR,dredge,"basalt, basalt, ",fresh,"Castillo,2000(1093); Christie,1986(261); Langmuir,1999(14)",DCP(3306); DCP(403); EMP(402); MS(3308); SP-PH(1787)
NHOCHEP-007-001,glass,49.1,2.02,15,,11.5,10.5,11.5,0.193,6.76,11,3.24,0.348,0.263,,2.4,,17.03,5.11,1.8,5.93,,7.04,,4.47,,4.05,,55,,,222,,72,,,,,,68,,,,40.8,,183,,,,,335,40.4,85,167,0.70264,0.513096,18.59,15.531,38.101,13.583,-104.133,-2640,SPREADING_CENTER;EAST PACIFIC RISE,NHOCHEP-007,CHEPR,dredge,"basalt, basalt, ",fresh,"Castillo,2000(1093); Langmuir,1999(14)",DCP(3306); DCP(403); EMP(402); MS(3308)
NHOCHEP-007-002,glass,49.5,1.88,14.4,,12.53,11.55,12.53,0.204,6.66,10.8,2.81,0.155,0.228,,14.6,,12.51,4.15,1.53,5.72,,7.2,,4.48,,4.31,,16.1,,,92,,,,,,,,52,,,,40.3,,117,,,,,370,42.4,124,144,0.70257,0.513138,18.378,15.493,37.854,13.583,-104.133,-2640,SPREADING_CENTER;EAST PACIFIC RISE,NHOCHEP-007,CHEPR,dredge,"basalt, basalt, ",fresh,"Castillo,2000(1093); Langmuir,1999(14)",DCP(3306); DCP(403); EMP(402); MS(3308)
NHOCHEP-008-001,glass,50.2,1.72,14.7,,12,11.11,12,0.197,7.02,11.07,2.84,0.152,0.176,,13.6,,12.03,4.06,1.66,5.37,,6.42,,4.09,,3.83,,16.2,,,143,,75,,,,,,60,,,,42.1,,122,,,,,358,38.9,86,125,0.70253,0.513141,18.555,15.522,37.988,13.442,-104.1,-2620,SPREADING_CENTER;EAST PACIFIC RISE,NHOCHEP-008,CHEPR,dredge,"basalt, basalt, ",fresh,"Castillo,2000(1093); Langmuir,1999(14)",DCP(3306); DCP(403); EMP(402); MS(3308)
NHOCHEP-009-002,glass,50.07,1.7,14.59,,11.44,10,11.44,0.192,7.12,11.4,2.91,0.234,0.179,,16.1,,12.58,4.12,1.47,5.35,,6.22,,3.91,,3.62,,34,,,156,,82,,,,,,66,,,,40.8,,149,,,,,343,36.2,90,122,0.70261,0.513116,18.426,15.496,37.913,13.358,-104.078,-2605,SPREADING_CENTER;EAST PACIFIC RISE,NHOCHEP-009,CHEPR,dredge,"basalt, basalt, ",fresh,"Castillo,2000(1093); Langmuir,1999(14)",DCP(3306); DCP(403); EMP(402); MS(3308); MS-ID(3307)
NHOCHEP-012-002,glass,50.31,1.62,14.71,,11.73,,11.73,0.192,7.38,11.51,2.9,0.114,0.16,,11.83,,10.84,3.75,1.48,5.21,,6.16,,3.91,,3.65,,12.5,,,174,,142,,,,,,66,,,,42.5,,119,,,,,337,37.4,105,118,0.70256,0.513142,18.317,15.471,37.772,13.108,-104,-2610,SPREADING_CENTER;EAST PACIFIC RISE,NHOCHEP-012,CHEPR,dredge,"basalt, basalt, ",fresh,"Castillo,2000(1093); Langmuir,1999(14)",DCP(3306); DCP(403); MS(3308); MS-ID(3307)
CON0010-243,glass,51.4,1.3,15.5,8.3,0.9,,,0.16,7.2,10.6,3.4,0.15,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1,-104.33,-2963,SPREADING_CENTER;EAST PACIFIC RISE,CON0010-243,RC10,rockcore,"basalt, basalt; tholeiite(ref-307);, glass",fresh,"Hekinian,1971(307)",NN(999)
CON0010-243,whole rock,51.4,1.3,15.5,8.3,0.9,,,0.16,7.2,10.6,3.4,0.15,0.28,,,,,,,,,,,,,,,,,,,,,,,1240,,,,,4.84,,,,265.4,,,,,,,,,0.7026,,,,,13.1,-104.33,-2963,SPREADING_CENTER;EAST PACIFIC RISE,CON0010-243,RC10,rockcore,"basalt, basalt; tholeiite(ref-307);, glass",fresh,"Subbarao,(716)",AAS(2434); MS(2437); MS-ID(2436); NN(2435)
108DR4,glass,51.47,1.4,14.78,,,9.169,,0.17,7.786,11.41,2.89,0.37,,3.96,12.4,,10.3,3.43,1.31,,,5.68,,3.42,,3.18,,13.8,,,,,,,,,5.21,,,,1.12,,,,101,,,,,,,,,0.702691,0.513159,18.297,15.477,37.774,13,-104,,SPREADING_CENTER;EAST PACIFIC RISE,108DR4,UNKNOWN,dredge,"basalt, basalt, ",fresh,"Prinzhofer,1989(108)",EMP(644); IMP(645); MS(646)
NHOCHEP-018-001,glass,49.1,1.45,14.59,,11.64,10.44,11.7,0.55,7.45,11.5,2.75,0.139,0.128,,,,12.71,3.95,1.4,5.27,,6.25,,3.84,,3.61,,40,,,250,,83,,,,,,93,,,,42.7,,153,,,,,320,36.5,83,116,0.70385,0.513037,18.436,15.532,38.023,12.887,-103.97,-2700,SPREADING_CENTER;EAST PACIFIC RISE,NHOCHEP-018,CHEPR,dredge,"basalt, basalt, ",fresh,"Castillo,2000(1093); Langmuir,1999(14)",DCP(3306); DCP(403); EMP(402); MS(3308); MS-ID(3307)
NHOCHEP-018-004,glass,49.3,1.71,14.6,9.39,11.5,10.61,11.5,0.201,7.23,11.5,2.8,0.161,0.138,,14.61,,12.35,4.07,1.45,5.28,,6.41,,4,,3.61,,18.6,,,238,,73,,,,,,74,,,,42.2,,134,,,,,335,37.4,83,130,0.70259,0.51314,18.43,15.511,37.936,12.887,-103.97,-2700,SPREADING_CENTER;EAST PACIFIC RISE,NHOCHEP-018,CHEPR,dredge,"basalt, basalt, ",fresh,"Castillo,2000(1093); Christie,1986(261); Langmuir,1999(14)",DCP(3306); DCP(403); EMP(402); MS(3308); MS-ID(3307); SP-PH(1787)
CYA1982-006-001,glass,49.55,1.39,15.51,,,9.15,,0.17,8.28,12.11,2.49,0.06,0.13,1.93,7.77,,9.24,3.11,1.25,4.75,,,,3.33,,3.08,,11.3,,44,309,,71,,,,5.43,3,116,,3,,,,129,,,,,258,33,69,98,0.702875,0.513118,18.271,15.484,37.753,12.87,-103.957,-2650,SPREADING_CENTER;EAST PACIFIC RISE,CYA1982-006,CYANA1982 (CYATHERM),submersible,"basalt, basalt, yamlike fresh glassy basalt with traces of milky white hydrothermal coatings(ref-223);plag pc, ol pc in glass(ref-473);",fresh,"Hekinian,1989(473); Prinzhofer,1989(108)",IMP(645); MS(646); XRF(1108)
CYA1982-018-001,glass,49.75,1.91,15.59,,,9.78,,0.12,7.53,11.51,3.17,0.21,,6.51,18.3,,14,4.42,1.74,,,,,4.19,,3.88,,29.7,,,,,,,,1485,4.02,,,,2.58,,,,166,,0.347,,0.138,,,,,0.702601,0.513111,18.39,15.487,37.844,12.858,-103.963,-2650,SPREADING_CENTER;EAST PACIFIC RISE,CYA1982-018,CYANA1982 (CYATHERM),submersible,"basalt, basalt, plag pc, ol pc in glass",fresh,"Ben othman,1990(562); Deruelle,1992(651); Prinzhofer,1989(108)",EMP(1676); EMP(644); IMP(645); MS(646); MS-ID(2528)
NHOCHEP-015-006,glass,48.85,1.33,16.7,,9.73,8.88,9.73,0.162,8.51,11.65,2.85,0.162,0.189,,12.6,,9.8,3.08,1.19,3.88,,4.82,,3.02,,2.8,,16.5,,,331,,82,,,,,,121,,,,37.2,,174,,,,,266,29,69,108,0.70257,0.513138,18.419,15.506,37.911,12.85,-103.888,-2640,SPREADING_CENTER;EAST PACIFIC RISE,NHOCHEP-015,CHEPR,dredge,"basalt, basalt, ",fresh,"Castillo,2000(1093); Langmuir,1999(14)",DCP(3306); DCP(403); EMP(402); MS(3308)
NHOCHEP-019-003,glass,49.3,1.25,15.54,8.53,9.92,9.14,9.92,0.166,8.73,12.15,2.53,0.073,0.118,,10.09,,8.45,3.03,1.12,4.07,,4.91,,3.07,,2.84,,5.6,,,361,,81,,,,,,119,,,,38.3,,126,,,,,269,30.3,72,93,0.70251,0.513131,18.456,15.493,37.903,12.82,-103.9,-2662.5,SPREADING_CENTER;EAST PACIFIC RISE,NHOCHEP-019,CHEPR,dredge,"basalt, basalt, ",fresh,"Castillo,2000(1093); Christie,1986(261); Langmuir,1999(14)",DCP(3306); DCP(403); EMP(402); MS(3308); MS-ID(3307); SP-PH(1787)
CHRSR01-003,glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70257,,18.293,15.508,37.811,12.817,-103.967,-2650,SPREADING_CENTER;EAST PACIFIC RISE,CHRSR01-003,SEARISE 1,dredge,"basalt, basalt, ",fresh,"Hamelin,1984(217)",MS(724); MS(725)
NHOCHEP-020-004,glass,50,1.54,14.8,,11.1,10.3,11.1,0.186,7.22,11.3,2.93,0.204,0.16,,14.8,,11.5,3.73,1.38,4.81,,5.52,,3.56,,3.25,,23.5,,,125,,78,,,,,,66,,,,41.2,,157,,,,,318,33.4,79,120,0.70255,0.513138,18.421,15.5,37.928,12.81,-103.878,-2725,SPREADING_CENTER;EAST PACIFIC RISE,NHOCHEP-020,CHEPR,dredge,"basalt, basalt, ",fresh,"Castillo,2000(1093); Langmuir,1999(14)",DCP(3306); DCP(403); EMP(402); MS(3308); MS-ID(3307)
CYA1982-021-001,glass,50.17,1.35,15.54,,,9.19,,0.17,8.22,12.15,2.6,0.04,0.12,3.01,9.44,,8.84,3.11,1.19,4.59,,,,3.15,,2.95,,5.19,,44,312,,77,,,,5.25,3,108,,3,,,,132,,0.106,,0.0485,253,32,68,95,0.702557,0.513107,18.431,15.496,37.88,12.792,-103.937,-2670,SPREADING_CENTER;EAST PACIFIC RISE,CYA1982-021,CYANA1982 (CYATHERM),submersible,"basalt, basalt, small protruded pillow-bud fragment taken at the foot of a tubular flow(ref-223);sp, ol pc, plag pc in glass(ref-473);",fresh,"Ben othman,1990(562); Hekinian,1989(473); Prinzhofer,1989(108)",IMP(645); MS(646); MS-ID(2528); XRF(1108)
CYA1982-021-004,glass,50.06,1.3,15.99,,,9.05,,0.16,8.6,12.06,2.27,0.05,0.12,2.7,8,,7,2.3,0.9,,0.6,,,,,2.26,0.17,10.5,,44,351,,75,,,,5.21,3,145,,2,,,,131,,0.1256,,0.0529,255,30,68,92,0.702525,0.51313,18.2,15.46,37.663,12.792,-103.937,-2670,SPREADING_CENTER;EAST PACIFIC RISE,CYA1982-021,CYANA1982 (CYATHERM),submersible,"basalt, basalt, protrued glassy pillow on a lobate flow with a thick manganese crust(ref-223);sp, ol pc, plag pc in glass(ref-473);",fresh,"Ben othman,1990(562); Hekinian,1989(473); Prinzhofer,1989(108)",IMP(645); INAA(1109); MS(646); MS-ID(2528); XRF(1108)
CYA1982-021-004,whole rock,47.18,1.17,16.16,,,,9.18,0.16,10.25,11.84,2.54,0.06,0.11,,,,,,,,,,,,,,,,,43,,,,,,,,4,150,,,,,,136,,,,,251,24,,81,,,,,,12.792,-103.937,-2670,SPREADING_CENTER;EAST PACIFIC RISE,CYA1982-021,CYANA1982 (CYATHERM),submersible,"basalt, basalt, protrued glassy pillow on a lobate flow with a thick manganese crust(ref-223);sp, ol pc, plag pc in glass(ref-473);",fresh,"Hekinian,1985(223)",XRF(727)
CYA1982-021-006,glass,50.7,1.3,16.17,,,8.45,,0.15,8.04,11.91,2.24,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.792,-103.937,-2620,SPREADING_CENTER;EAST PACIFIC RISE,CYA1982-021-006,CYANA1982 (CYATHERM),submersible,"basalt, basalt, protruded yamlike glassy basalt with patches of milky white claylike material",fresh,"Hekinian,1985(223)",EMP(726)
CYA1982-021-001V,glass,,,,,,,,,,,,,,,,,7.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,,,,,,,,,0.702617,0.513099,,,,12.792,-103.937,-2670,SPREADING_CENTER;EAST PACIFIC RISE,CYA1982-021-001,CYANA1982 (CYATHERM),submersible,"basalt, basalt, ",fresh,"Chaussidon,1991(913)",MS(2492); MS-ID(2493)
NHOCHEP-021-001,glass,48.6,1.32,16.9,8.06,9.6,8.6,9.6,0.159,8.39,11.4,2.84,0.177,0.18,,13.5,,10.33,3.2,1.2,3.87,,4.62,,2.93,,2.68,,18.2,,,305,,84,,,,,,118,,,,36.5,,184,,,,,257,30.7,67,120,0.70261,0.51316,18.333,15.48,37.834,12.781,-103.935,-2622.5,SPREADING_CENTER;EAST PACIFIC RISE,NHOCHEP-021,CHEPR,dredge,"basalt, basalt, ",fresh,"Castillo,2000(1093); Christie,1986(261); Langmuir,1999(14)",DCP(3306); DCP(403); EMP(402); MS(3308); SP-PH(1787)
CYA1982-031-001,whole rock,48,1.18,16.34,,,,9.25,0.15,10.38,11.92,2.63,0.05,0.11,,,,,,,,,,,,,,,,,43,,,,,,,,1,155,,,,,,134,,,,,254,24,,82,,,,,,12.78,-103.933,-2675,SPREADING_CENTER;EAST PACIFIC RISE,CYA1982-031-001,CYANA1982 (CYATHERM),submersible,"basalt, basalt, ",fresh,"Hekinian,1985(223)",XRF(727)
CYA1982-031-002,glass,49.27,1.19,16.73,,,8.31,,0.15,8.82,12.06,2.38,0.05,0.13,2.86,9.1,,8.8,2.8,1.1,,0.68,,,,,2.5,0.37,,,44,314,,69,,,620,,3,163,,2,,,,138,,,,,218,28,59,91,,,,,,12.78,-103.933,-2596,SPREADING_CENTER;EAST PACIFIC RISE,CYA1982-031-002,CYANA1982 (CYATHERM),submersible,"basalt, basalt, protruded pillow bud associated with larger tubular pillow flows(ref-223);sp, ol pc, plag pc in glass(ref-473);",fresh,"Deruelle,1992(651); Hekinian,1989(473)",EMP(1676); INAA(1109); XRF(1108)
CYA1982-031-002V,glass,,,,,,,,,,,,,,,,,8.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,,,,,,,,,0.702617,0.51318,,,,12.78,-103.93,-2596,SPREADING_CENTER;EAST PACIFIC RISE,CYA1982-031-002V,CYANA1982 (CYATHERM),submersible,"basalt, basalt, ",fresh,"Chaussidon,1991(913)",MS(2492); MS-ID(2493)
CYA1982-001-004,glass,50.62,1.32,16.13,,,8.61,,0.17,8.49,11.93,2.29,0.08,,2.72,8.95,,8.9,2.95,1.16,4.56,,,,3.24,,2.95,,10.8,,,,,,,,,4.96,,,,0.83,,,,,,,,,,,,,0.702609,0.513098,18.427,15.502,37.9,12.778,-103.935,-2670,SPREADING_CENTER;EAST PACIFIC RISE,CYA1982-001,CYANA1982 (CYATHERM),submersible,"basalt, basalt, ",fresh,"Prinzhofer,1989(108)",EMP(644); IMP(645); MS(646)
NHOCHEP-022-001,glass,48.5,1.14,16.6,7.87,9.3,8.55,9.26,0.155,9.03,11.87,2.54,0.087,0.118,,9.16,,8.2,2.82,1.06,3.85,,4.54,,2.81,,2.56,,9.5,,,335,,79,,,,,,142,,,,35.3,,134,,,,,232,27.9,64,93,0.70247,0.513208,18.421,15.521,37.949,12.763,-103.928,-2620,SPREADING_CENTER;EAST PACIFIC RISE,NHOCHEP-022,CHEPR,dredge,"basalt, basalt, ",fresh,"Castillo,2000(1093); Christie,1986(261); Langmuir,1999(14)",DCP(3306); DCP(403); EMP(402); MS(3308); MS-ID(3307); SP-PH(1787)
CHRCLIP-001-001A,glass,49.65,1.36,15.28,,,9.17,,0.12,8.04,11.86,2.78,0.16,,4.1,8.9,,,3.2,1.3,,0.67,,,,,,,,,,,,,,2.515,,,,97,,,,,,,,,,,,,,97.76,0.702609,,,,,12.75,-103.93,-2610 to -2626,SPREADING_CENTER;EAST PACIFIC RISE,CHRCLIP-001 ,CLIPPERTON,dredge,"basalt, basalt, ",fresh,"David,2000(1056); Schiano,1997(34)",EMP(583); INAA(2958); INAA(582); MS(579); MS-ID(2957)
CHRCLIP-001-005V,glass,,,,,,,,,,,,,,,,,7.45,,,,,,,,,,,,,,,,,,,605,,,,,,,,,93,,,,,,,,,0.702616,0.513178,,,,12.75,-103.93,-2610 to -2626,SPREADING_CENTER;EAST PACIFIC RISE,CHRCLIP-001 ,CLIPPERTON,dredge,"basalt, basalt, ",fresh,"Chaussidon,1991(913); Deruelle,1992(651)",EMP(1676); MS(2492); MS-ID(2493)
CYA1982-027-001V,glass,,,,,,,,,,,,,,,,,12.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,,,,,,,,,0.702981,0.513162,,,,12.73,-103.92,-2665,SPREADING_CENTER;EAST PACIFIC RISE,CYA1982-027-001,CYANA1982 (CYATHERM),submersible,"basalt, basalt, ",fresh,"Chaussidon,1991(913)",MS(2492); MS-ID(2493)
CYA1982-009-003V,glass,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,,,,,,,,,0.70267,0.51317,,,,12.72,-103.913,-2653,SPREADING_CENTER;EAST PACIFIC RISE,CYA1982-009-003,CYANA1982 (CYATHERM),submersible,"basalt, basalt, ",fresh,"Chaussidon,1991(913)",MS(2492); MS-ID(2493)
