sample_id,material,SiO2,TiO2,Al2O3,FeO,Fe2O3,FeOT,Fe2O3T,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Ba,Co,Cr,Cs,Cu,Ga,Hf,K,Li,Nb,Ni,Pb,Rb,Sb,Sc,Sn,Sr,Ta,Th,Ti,U,V,Y,Zn,Zr,Sr87_Sr86,Nd143_Nd144,Pb206_Pb204,Pb207_Pb204,Pb208_Pb204,Pd,Te,latitude,longitude,elevation,tectonic_setting,station,expedition,sampling technique,rock type,alteration,reference,method
ARP1973-010-003,whole rock,45.4,0.45,10.8,8.6,1,,,0.15,22.6,8.95,1.1,0.06,,1.41,,,,,0.34,,0.2,,,,,,,,76,1640,,85,,0.62,,,,900,,,,18.2,,,0.15,0.141,2700,0.074,140,,50,33,0.70287,,18.73,15.53,38.2,,,36.8372,-33.2482,-2760,SPREADING_CENTER;MID-ATLANTIC RIDGE,ARP1973-010-003,ARP1973,submersible,"basalt, basalt, ol-porphyritic; abundant cr-sp as discrete crystals in glass and gm, and as inclusions in ol, forming euhedral, rarely skeletal crystals up to 0.8 mm in size, containing numerous melt inclusions(ref-445);abundant (>10%) ol-pc (fo84-87), spinel mc(ref-182)",fresh,"Arcyana,1977(80); Bougault,1979(322); Condomines,1981(563); Dupre,1981(176); Hekinian,1975(618)",AAS(2193); INAA(2191); MS(1372); MS-ID(2530); NN(3249); XRF(184); XRF(2192)
ARP1973-010-002,glass,50.4,1.59,14.3,,,11.3,,0.18,7.13,10.6,2.87,0.26,,,,,,,,,,,,,,,,53,43,110,,58,15,,,4,,68,,,,,,110,,,,,260,34,,110,,,,,,,,36.8362,-33.2482,-2710 to -2725,SPREADING_CENTER;MID-ATLANTIC RIDGE,ARP1973-010-002,ARP1973,submersible,"basalt, basalt, ",fresh,"Bryan,1979(19); Bryan,1979(38)",DROES(101); EMP(95)
ARP1973-010-002,whole rock,,,,,,,,0.19,,,,,,8.7,,,,,1.18,,0.73,,,,,,,,40,130,,54,,2.5,,,,78,,,,31.4,,,1.03,0.918,9480,0.347,300,,86,147,,,,,,,,36.8362,-33.2482,-2710 to -2725,SPREADING_CENTER;MID-ATLANTIC RIDGE,ARP1973-010-002,ARP1973,submersible,"basalt, basalt, ",fresh,"Bougault,1979(322); Condomines,1981(563); Hekinian,1975(618)",AAS(2193); INAA(2191); MS-ID(2530); NN(3249); XRF(2192)
CYA1974-031-039,glass,,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.836,-33.281,-2318,SPREADING_CENTER;MID-ATLANTIC RIDGE,CYA1974-031-039,CYANA_1974,submersible,"basalt, basalt, ",fresh,"Czamanske,1977(820)",EMP(3118)
CYA1974-031-039,whole rock,,,,,,,,,,,,,,7,11,,,,1,,0.56,,,,,,,,35,370,0.045,,,1.91,,,,115,,,0.026,29.9,,,0.68,0.616,6840,0.326,237,,,41,,,,,,,,36.836,-33.281,-2318,SPREADING_CENTER;MID-ATLANTIC RIDGE,CYA1974-031-039,CYANA_1974,submersible,"basalt, basalt, ",fresh,"Bougault,1979(322); Condomines,1981(563)",INAA(2191); MS-ID(2530); XRF(2192)
ARP1974-007-009,whole rock,49.75,1.26,14.05,8.65,1.21,,,0.16,8.67,11.89,1.88,0.25,0.15,8.3,13,,,,0.95,,0.61,,,,,,,,38,366,0.08,,,2.02,,,15,142,,5,0.022,32.2,,,0.83,0.743,7660,0.242,270,27,,,,,,,,,,36.83,-33.25,,SPREADING_CENTER;MID-ATLANTIC RIDGE,ARP1974-007-009,ARP1974,submersible,"basalt, basalt, aphanitic, hypocrystalline, intersertal",fresh,"Arcyana,1977(80); Bougault,1979(322); Condomines,1981(563)",INAA(2191); MS-ID(2530); XRF(184); XRF(2192)
ARP1974-009-012,whole rock,49.46,0.87,15.05,7.31,0.86,,,0.14,10.43,12.03,2.61,0.18,0.1,5,10,,,,0.68,,0.42,,,,,,,,37,612,0.045,72,,1.38,,,10,238,,2,0.014,27,,,0.49,0.51,5280,0.17,188,19,59,51,,,18.69,15.52,38.28,,,36.83,-33.27,,SPREADING_CENTER;MID-ATLANTIC RIDGE,ARP1974-009-012,ARP1974,submersible,"basalt, basalt, aphanitic, glassy",fresh,"Arcyana,1977(80); Bougault,1979(322); Condomines,1981(563); Dupre,1981(176)",AAS(2193); INAA(2191); MS(1372); MS-ID(2530); XRF(184); XRF(2192)
ARP1974-009-013,glass,49.43,1.38,14.3,,,10.55,,,7.2,11.74,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.83,-33.27,,SPREADING_CENTER;MID-ATLANTIC RIDGE,ARP1974-009-013,ARP1974,submersible,"basalt, basalt, porphyritic, intersertal(ref-39);12-36% plag-pc and plag-mg(ref-182);",fresh,"Hekinian,1976(182)",EMP(182)
ARP1974-009-013,whole rock,50,1.23,15.8,8.2,1.84,,,0.16,7.4,12.25,2.14,0.23,0.12,6.2,11,,,,0.97,,0.6,,,,,,,,,250,0.06,59,,1.76,,,10,93,,2,0.016,31,,,0.57,0.6,7380,,,28,74,69,0.70295,,18.74,15.52,38.33,,,36.83,-33.27,,SPREADING_CENTER;MID-ATLANTIC RIDGE,ARP1974-009-013,ARP1974,submersible,"basalt, basalt, porphyritic, intersertal(ref-39);12-36% plag-pc and plag-mg(ref-182);",fresh,"Arcyana,1977(80); Bougault,1979(322); Dupre,1981(176)",AAS(2193); INAA(2191); MS(1372); XRF(184); XRF(2192)
ARP1974-010-014,glass,50.62,0.82,15.49,,,7.79,,,9,12.3,,0.19,,,,,,,,,,,,,,,,75,52,570,,75,19,,,4,,255,,,,,,155,,,5040,,189,23,65,67,,,,,,,,36.83,-33.27,,SPREADING_CENTER;MID-ATLANTIC RIDGE,ARP1974-010-014,ARP1974,submersible,"basalt, basalt, aphanitic, hyalopilitic(ref-39);2-6% ol-pc (fo84-88), spinel mc(ref-182);",fresh,"Bougault,1979(322); Bryan,1979(19); Hekinian,1976(182)",AAS(2193); DROES(101); EMP(182); XRF(2192)
ARP1974-010-014,whole rock,50.16,0.84,15.14,7.13,1.24,,,,10.1,12.25,2.2,0.16,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.481,,0.159,,,,,0.70289,,18.65,15.53,38.28,,,36.83,-33.27,,SPREADING_CENTER;MID-ATLANTIC RIDGE,ARP1974-010-014,ARP1974,submersible,"basalt, basalt, aphanitic, hyalopilitic(ref-39);2-6% ol-pc (fo84-88), spinel mc(ref-182);",fresh,"Arcyana,1977(80); Condomines,1981(563); Dupre,1981(176)",MS(1372); MS(1373); MS-ID(2530); XRF(184)
ARP1974-010-015,glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,549,,72,,,,,,229,,,,,,,,,5940,,199,,66,,,,,,,,,36.83,-33.27,,SPREADING_CENTER;MID-ATLANTIC RIDGE,ARP1974-010-015,ARP1974,submersible,"basalt, basalt, aphanitic, glassy, variolitic(ref-80);2-6% ol-pc (fo84-88), spinel mc(ref-182);",fresh,"Bougault,1979(322)",AAS(2193); XRF(2192)
ARP1974-010-015,whole rock,50.27,1.02,15.02,7.64,1.17,,,0.15,10.11,12.02,2.04,0.21,0.13,,,,,,,,,,,,,,,,43,548,,72,,,,,,226,,,,,,,,,6120,,199,,66,,,,18.83,15.52,38.36,,,36.83,-33.27,,SPREADING_CENTER;MID-ATLANTIC RIDGE,ARP1974-010-015,ARP1974,submersible,"basalt, basalt, aphanitic, glassy, variolitic(ref-80);2-6% ol-pc (fo84-88), spinel mc(ref-182);",fresh,"Arcyana,1977(80); Bougault,1979(322); Dupre,1981(176)",AAS(2193); MS(1372); XRF(184); XRF(2192)
ARP1974-010-016,glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626,,74,,,,,,247,,,,,,,,0.449,4920,0.139,,,61,,,,,,,,,36.83,-33.27,,SPREADING_CENTER;MID-ATLANTIC RIDGE,ARP1974-010-016,ARP1974,submersible,"basalt, basalt, aphanitic, glassy, variolitic(ref-80);2-6% ol-pc (fo84-88), spinel mc(ref-182);",fresh,"Bougault,1979(322); Condomines,1981(563)",AAS(2193); MS-ID(2530); XRF(2192)
ARP1974-010-016,whole rock,50.26,0.82,15.05,7.28,0.84,,,0.14,10.13,12.09,2.07,0.16,0.08,5.6,,,,,0.85,,0.43,,,,,,,,37,625,0.03,74,,1.32,,,,240,,,0.016,32.6,,,0.48,,4920,,192,,60,54,,,,,,,,36.83,-33.27,,SPREADING_CENTER;MID-ATLANTIC RIDGE,ARP1974-010-016,ARP1974,submersible,"basalt, basalt, aphanitic, glassy, variolitic(ref-80);2-6% ol-pc (fo84-88), spinel mc(ref-182);",fresh,"Arcyana,1977(80); Bougault,1979(322)",AAS(2193); INAA(2191); XRF(184); XRF(2192)
CHR0031-004,whole rock,50.71,1.15,15.44,8.26,1.42,,,0.16,8.71,11.91,2.05,0.16,0.12,,,,,,,,,,,,,,,39.4,52.7,353,,97,15.3,,,,8.2,160,,3.5,,39.1,,114,,,,,235,23.5,90.5,64.8,,,,,,,,36.8289,-33.2653,-2690,SPREADING_CENTER;MID-ATLANTIC RIDGE,CHR0031-004,CH31,dredge,"basalt, basalt, ",fresh,"Le roex,1981(188)",XRF(1757); XRF(1758)
ARP1973-007-001,glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.457,,0.147,,,,,,,,,,,,36.828,-33.262,-2552,SPREADING_CENTER;MID-ATLANTIC RIDGE,ARP1973-007-001,ARP1973,submersible,"basalt, basalt, aphanitic, hypocrystalline(ref-80);2-6% ol-pc (fo84-88), spinel mc(ref-182);",fresh,"Condomines,1981(563)",MS-ID(2530)
ARP1973-007-001,whole rock,50.4,0.88,15.2,7.83,1.5,,,0.15,10.1,12,1.9,0.16,,4.5,,,,,0.79,,0.42,,,,,,0.263,,40,600,,73,,1.338,,,,260,,,,25,,,0.52,0.486,5280,0.157,185,,60,75,,,,,,,,36.828,-33.262,-2552,SPREADING_CENTER;MID-ATLANTIC RIDGE,ARP1973-007-001,ARP1973,submersible,"basalt, basalt, aphanitic, hypocrystalline(ref-80);2-6% ol-pc (fo84-88), spinel mc(ref-182);",fresh,"Arcyana,1977(80); Bougault,1979(322); Condomines,1981(563); Hekinian,1975(618); Patchett,1980(882)",AAS(2193); INAA(2191); MS-ID(1696); MS-ID(2530); NN(3249); XRF(184); XRF(2192)
ARP1973-013-004,glass,,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.828,-33.267,-2656,SPREADING_CENTER;MID-ATLANTIC RIDGE,ARP1973-013-004,ARP1973,submersible,"basalt, basalt, aphanitic, hypocrystalline, intersertal(ref-39);3-12% plag-pc, 2-4% ol-pc, 0.3-2% cpx(ref-182);",fresh,"Czamanske,1977(820)",EMP(3118)
ARP1973-013-004,whole rock,50.4,0.87,15.25,8.57,1.5,,,0.14,9.9,12.1,2.1,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,,0.178,,,,,,,,,,,,36.828,-33.267,-2656,SPREADING_CENTER;MID-ATLANTIC RIDGE,ARP1973-013-004,ARP1973,submersible,"basalt, basalt, aphanitic, hypocrystalline, intersertal(ref-39);3-12% plag-pc, 2-4% ol-pc, 0.3-2% cpx(ref-182);",fresh,"Arcyana,1977(80); Condomines,1981(563); Hekinian,1975(618)",MS-ID(2530); NN(3249); XRF(184)
ALV0523-001,glass,49.7,1.19,15.5,8.68,,8.96,9.97,0.16,9.28,12,2.19,0.23,0.14,,,,,,,,,,,,,,,105,54,800,,68,18,,,4.7,,220,,,,,,180,,,,,255,27,,77,,,,,,,,36.827,-33.252,-2726,SPREADING_CENTER;MID-ATLANTIC RIDGE,ALV0523-001,ALVIN 0523,submersible,"basalt, basalt, 3-12% plag-pc, 2-4% ol-pc, 0.3-2% cpx",fresh,"Bryan,1979(19); Christie,1986(261); Czamanske,1977(820); Langmuir,1977(46); Melson,(1086); Ryan,1987(395)",DCP(1786); DCP(3157); DROES(101); EMP(148); EMP(3118); EMP(3262)
ALV0523-001,whole rock,49.9,1.09,15.8,8.14,0.64,8.71,,0.15,8.83,11.6,2.03,0.22,0.26,6.54,14.6,1.9,9.35,2.59,0.946,3.32,0.55,3.92,0.78,2.48,0.37,2.3,0.35,75,43,700,,88,,1.65,,,11.1,177,,,,33,,,,0.7,,0.22,255,24,69,67,0.70289,0.513093,,,,,,36.827,-33.252,-2726,SPREADING_CENTER;MID-ATLANTIC RIDGE,ALV0523-001,ALVIN 0523,submersible,"basalt, basalt, 3-12% plag-pc, 2-4% ol-pc, 0.3-2% cpx",fresh,"Langmuir,1977(46); White,1979(206)",EMP(147); ES(175); MS(1770); MS-ID(149); SSMS(158); XRF(181)
ALV0523-002,glass,49.72,1.42,14.47,9.81,,10.37,,,7.71,11.45,2.37,0.36,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.827,-33.252,-2743,SPREADING_CENTER;MID-ATLANTIC RIDGE,ALV0523-002,ALVIN 0523,submersible,"basalt, basalt, 2-6% ol-pc (fo84-88), spinel mc",fresh,"Czamanske,1977(820); Melson,(1086)",EMP(3118); EMP(3262)
ALV0523-002,whole rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.513192,,,,,,36.827,-33.252,-2743,SPREADING_CENTER;MID-ATLANTIC RIDGE,ALV0523-002,ALVIN 0523,submersible,"basalt, basalt, 2-6% ol-pc (fo84-88), spinel mc",fresh,"White,1979(206)",MS(1770)
CHR0031-011-315X,glass,49.68,1.44,14.7,,,11.66,,,8.15,11.77,2.29,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.825,-33.258,-2480 to -2660,SPREADING_CENTER;MID-ATLANTIC RIDGE,CHR0031-011,CH31,dredge,"basalt, basalt, glass containing small skeletal ol crystals and a network of early crystallizing crystals; 3% vesicles",fresh,"Bryan,1979(38)",EMP(95)
CHR0031-011-315X,whole rock,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,45,255,,67,,,,,,130,,,,,,,,,8640,,243,,82,,,,,,,,,36.825,-33.258,-2480 to -2660,SPREADING_CENTER;MID-ATLANTIC RIDGE,CHR0031-011,CH31,dredge,"basalt, basalt, glass containing small skeletal ol crystals and a network of early crystallizing crystals; 3% vesicles",fresh,"Bougault,1974(48); Hekinian,1975(618)",NN(114); NN(3249)
CHR0031-011-315Y,glass,48.74,1.43,14.57,,,12.22,,,8.16,11.7,2.15,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.825,-33.258,-2480 to -2660,SPREADING_CENTER;MID-ATLANTIC RIDGE,CHR0031-011,CH31,dredge,"basalt, basalt, apyric(ref-182);small lath of plag, traces of small euhedral ol(ref-481);",fresh,"Bryan,1979(38)",EMP(95)
CHR0031-011-315Y,whole rock,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,42,252,,67,,,,,,130,,,,,,,,,8570,,250,,82,,,,,,,,,36.825,-33.258,-2480 to -2660,SPREADING_CENTER;MID-ATLANTIC RIDGE,CHR0031-011,CH31,dredge,"basalt, basalt, apyric(ref-182);small lath of plag, traces of small euhedral ol(ref-481);",fresh,"Bougault,1974(48); Hekinian,1975(618)",NN(114); NN(3249)
CHR0031-011,glass,50.2,1.58,14.9,,,,11.7,0.19,8.39,11.5,2.53,0.11,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.825,-33.258,-2480 to -2660,SPREADING_CENTER;MID-ATLANTIC RIDGE,CHR0031-011,CH31,dredge,"basalt, basalt, glassy",fresh,"Nishio,1999(861)",XRF(3126)
CHR0031-011,whole rock,,,,,,,,,,,,,,6.61,18,,,5.64,2,,1.79,,,,,5.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.825,-33.258,-2480 to -2660,SPREADING_CENTER;MID-ATLANTIC RIDGE,CHR0031-011,CH31,dredge,"basalt, basalt, glassy",fresh,"Subbarao,1979(345)",INAA(2214)
ALV0521-004-003,glass,52.4,1.3,14.84,,,9.11,,0.13,7.64,12,2.5,0.2,,,,,,,,,,,,,,,,56,35,300,,70,13,,,4,,91,,,,,,118,,,,,230,25,,89,,,,,,,,36.82,-33.28,-2450,SPREADING_CENTER;MID-ATLANTIC RIDGE,ALV0521-004,ALVIN 0521,submersible,"basalt, basalt, ",fresh,"Bryan,1977(40); Bryan,1979(19)",DROES(101); EMP(96)
ALV0521-004-003,whole rock,,,,,,,,,,,,,,7.1,15,,9.4,2.5,0.97,,0.72,,,,,2.5,0.43,56,,,0.083,,,,2331,,,,,5.35,,,,121,,,,,,,,,0.70299,0.513095,,,,,,36.82,-33.28,-2450,SPREADING_CENTER;MID-ATLANTIC RIDGE,ALV0521-004,ALVIN 0521,submersible,"basalt, basalt, ",fresh,"White,1977(47); White,1978(41); Yu,1997(119)",INAA(117); INAA(122); MS(115); MS(116); MS-ID(98); MS-ID(99); XRF(100)
ALV0518-003-001,glass,51.26,1.3,14.93,9.6,,9.65,,0.15,8.18,11.39,2.5,0.18,0.14,,,,8.34,,,,,,,,,,,,,,,,,,,,,,,,,,,113.6,,,,,,,,,0.70282,,,,,,,36.818,-33.255,-2640,SPREADING_CENTER;MID-ATLANTIC RIDGE,ALV0518-003,ALVIN 0518,submersible,"basalt, basalt, 3-12% plag-pc, 2-4% ol-pc, 0.3-2% cpx",fresh,"Bryan,1977(40); Czamanske,1977(820); Melson,(1086); Roy-barman,1998(672)",EMP(3118); EMP(3262); EMP(96); MS(1545); MS-ID(1548)
ALV0519-002-001,glass,49.24,0.78,16.53,,,8.77,,0.17,9.69,12.07,2.15,0.07,0.08,,,,,,,,,,,,,,,18,44,570,,92,11,,,3,,210,,,,,,78,,,,,160,17,,30,,,,,,,,36.818,-33.262,-2735,SPREADING_CENTER;MID-ATLANTIC RIDGE,ALV0519-002,ALVIN 0519,submersible,"basalt, basalt, 2-6% ol-pc (fo84-88), spinel mc",fresh,"Bryan,1977(40); Bryan,1979(19); Melson,(1086)",DROES(101); EMP(3262); EMP(96)
ALV0519-003,glass,,0.74,,8.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.818,-33.262,-2709,SPREADING_CENTER;MID-ATLANTIC RIDGE,ALV0519-003,ALVIN 0519,submersible,"basalt, basalt, gm: glass; pc: ol(ref-143);2-6% ol-pc (fo84-88), spinel mc(ref-182);",,"Czamanske,1977(820)",EMP(3118)
ALV0519-004-001,glass,48.6,0.74,16.44,8.87,,8.86,,0.16,10.9,11.65,2.13,0.07,0.09,,,,,,,,,,,,,,,,,,,,,,685,4.16,,,,,,,,,,,,,,,,,,,,,,,,36.818,-33.262,-2690,SPREADING_CENTER;MID-ATLANTIC RIDGE,ALV0519-004,ALVIN 0519,submersible,"basalt, basalt, gm: glass; pc: ol>cpx(ref-143);2-6% ol-pc (fo84-88), spinel mc(ref-182);",fresh,"Bryan,1977(40); Czamanske,1977(820); Melson,(1086); Michael,1998(808); Ryan,1987(395)",DCP(3157); EMP(1230); EMP(3118); EMP(3262); EMP(96)
ALV0519-004-001,whole rock,48.5,0.75,16.2,,1.12,8.07,,0.16,11.24,12.42,1.85,0.07,,2.77,6.54,,4.82,1.54,0.62,,,3.08,,2.24,,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.818,-33.262,-2690,SPREADING_CENTER;MID-ATLANTIC RIDGE,ALV0519-004,ALVIN 0519,submersible,"basalt, basalt, gm: glass; pc: ol>cpx(ref-143);2-6% ol-pc (fo84-88), spinel mc(ref-182);",fresh,"Langmuir,1977(46)",EMP(147); MS-ID(149)
ALV0519-004-002,glass,48.81,0.73,16.13,8.9,,8.89,,0.16,10.32,11.56,2.15,0.07,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.818,-33.262,-2690,SPREADING_CENTER;MID-ATLANTIC RIDGE,ALV0519-004,ALVIN 0519,submersible,"basalt, basalt, 2-6% ol-pc (fo84-88), spinel mc",fresh,"Bryan,1977(40); Czamanske,1977(820); Melson,(1086)",EMP(3118); EMP(3262); EMP(96)
ALV0526-001,glass,49.88,0.96,16.26,8.42,,8.51,,,9.24,13.08,1.88,0.13,0.12,,,,5.39,,,,,,,,,,,34,45,1000,,120,14,,,3,,300,,,,,,83.5,,,,,170,19,,51,0.70291,,,,,,,36.818,-33.253,-2694,SPREADING_CENTER;MID-ATLANTIC RIDGE,ALV0526-001,ALVIN 0526,submersible,"basalt, basalt, abundant (>10%) ol-pc (fo84-87), spinel mc",,"Bryan,1979(19); Czamanske,1977(820); Melson,(1086); Roy-barman,1998(672)",DROES(101); EMP(3118); EMP(3262); MS(1545); MS-ID(1548)
ALV0526-005,glass,50,1.47,15.1,,,9.98,,0.17,7.94,11.4,2.34,0.23,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.818,-33.253,-2550,SPREADING_CENTER;MID-ATLANTIC RIDGE,ALV0526-005,ALVIN 0526,submersible,"basalt, basalt, apyric",fresh,"Langmuir,1977(46); Melson,(1086); Michael,1995(409)",EMP(148); EMP(3262); EMP(963)
ALV0526-005,whole rock,49.9,1.42,14.8,9.36,0.72,10,,0.16,8.01,11.2,2.21,0.23,0.07,8.29,18.7,,11.6,3.26,1.13,,,5.06,,3.28,,3.06,,,48,,,51,,,,,,109,,,,29,,,,,,,210,,,,0.70297,0.513161,,,,,,36.818,-33.253,-2550,SPREADING_CENTER;MID-ATLANTIC RIDGE,ALV0526-005,ALVIN 0526,submersible,"basalt, basalt, apyric",fresh,"Langmuir,1977(46); White,1979(206)",EMP(147); ES(175); MS(1770); MS-ID(149)
ALV0526-006,glass,51.56,1.02,14.64,,,9.17,,,7.93,13.01,1.96,0.14,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.818,-33.253,-2604,SPREADING_CENTER;MID-ATLANTIC RIDGE,ALV0526-006,ALVIN 0526,submersible,"basalt, basalt, 3-12% plag-pc, 2-4% ol-pc, 0.3-2% cpx",fresh,"Melson,(1086)",EMP(3262)
ALV0526-006,whole rock,,,,,,,,,,,,,,3.78,9.23,,6.43,1.94,0.74,2.59,,3.11,,2,,1.9,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,0.70288,0.513195,,,,,,36.818,-33.253,-2604,SPREADING_CENTER;MID-ATLANTIC RIDGE,ALV0526-006,ALVIN 0526,submersible,"basalt, basalt, 3-12% plag-pc, 2-4% ol-pc, 0.3-2% cpx",fresh,"Langmuir,1977(46); Selo,1979(519); White,1979(206)",FIS(2315); MS(1770); MS-ID(149)
ALV0529-004,glass,48.9,1.14,15.4,,,9.43,,0.16,9.13,11.4,2.29,0.2,,,,,,,,,,,,,,,,32,46,445,0.0406,69,16,,,4.88,,255,,4.5,0.0742,,,88,,,,0.175,200,23,80.8,61,,,,,,0.0004,0.00498,36.818,-33.265,-2649,SPREADING_CENTER;MID-ATLANTIC RIDGE,ALV0529-004,ALVIN 0529,submersible,"basalt, basalt, ",f(ref-395;738);s(ref-572);,"Bryan,1979(19); Hertogen,1980(572); Langmuir,1977(46); Ryan,1987(395)",DCP(3157); DROES(101); EMP(148); RNAA(2357)
ALV0529-004,whole rock,48.9,1.08,16,,,9.29,,0.16,9.54,11,2.21,0.14,,5.06,11.9,,8.26,2.5,0.96,3.58,0.64,4.52,0.93,3.07,0.46,3.01,0.43,46,57,560,,64,,1.71,,,7.9,239,,,,28,,,,0.45,,0.2,190,28,,58,0.70296,0.513174,,,,,,36.818,-33.265,-2649,SPREADING_CENTER;MID-ATLANTIC RIDGE,ALV0529-004,ALVIN 0529,submersible,"basalt, basalt, ",f(ref-395;738);s(ref-572);,"Langmuir,1977(46); White,1979(206)",EMP(147); ES(175); MS(1770); MS-ID(149); SSMS(158)
ALV0519-004,glass,,,,,,,,,,,,0.079,,,,,,,,,,,,,,,,,,,,,,,,,3.8,,,,,,,,,,,,,,,39,,,,,,,,36.818,-33.262,-2690,SPREADING_CENTER;MID-ATLANTIC RIDGE,ALV0519-004,ALVIN 0519,submersible,"basalt, basalt, ",fresh,"Michael,1995(409)",EMP(963); XRF(964); XRF(965)
ALV0519-004,whole rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70299,0.51315,,,,,,36.818,-33.262,-2690,SPREADING_CENTER;MID-ATLANTIC RIDGE,ALV0519-004,ALVIN 0519,submersible,"basalt, basalt, ",fresh,"White,1979(206)",MS(1770)
ALV0518-003-002,glass,,1.29,,9.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.818,-33.255,-2640,SPREADING_CENTER;MID-ATLANTIC RIDGE,ALV0518-003,ALVIN 0518,submersible,"basalt, basalt, ",fresh,"Czamanske,1977(820)",EMP(3118)
ALV0525-002,glass,50.74,1.2,14.68,,,10.29,,,7.4,12.27,2.21,0.23,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.812,-33.273,-2715,SPREADING_CENTER;MID-ATLANTIC RIDGE,ALV0525-002,ALVIN 0525,submersible,"basalt, basalt, 3-12% plag-pc, 2-4% ol-pc, 0.3-2% cpx",,"Melson,(1086)",EMP(3262)
ALV0525-002,whole rock,,,,,,,,,,,,,,,,,,,,,,,,,,,0.334,,,,,,,1.476,,,,,,,,,,,,,,,,,,,,,,,,,,36.812,-33.273,-2715,SPREADING_CENTER;MID-ATLANTIC RIDGE,ALV0525-002,ALVIN 0525,submersible,"basalt, basalt, 3-12% plag-pc, 2-4% ol-pc, 0.3-2% cpx",,"Patchett,1980(882)",MS-ID(1696)
ALV0525-005-002,glass,48.5,0.84,16.1,,,8.74,,0.15,11.2,11.8,2.41,0.102,,,,,,,,,,,,,,,,,,,,,,,885,4.18,5.6,,,,,,,,,,,,,,,47,,,,,,,,36.812,-33.273,-2625,SPREADING_CENTER;MID-ATLANTIC RIDGE,ALV0525-005,ALVIN 0525,submersible,"basalt, basalt, 2-6% ol-pc (fo84-88), spinel mc",fresh,"Bryan,1979(38); Michael,1995(409); Michael,1998(808); Ryan,1987(395)",DCP(3157); EMP(1230); EMP(95); EMP(963); XRF(964); XRF(965)
ALV0525-005-002,whole rock,48.4,0.81,15.3,8.33,0.39,8.66,,0.15,11.2,11.8,1.84,0.11,0.1,2.68,6.54,,4.59,1.39,0.51,1.88,,2.26,,1.45,,1.38,,,51,580,,81,,,,,,262,,,,33,,,,,,,167,,56,,0.70298,0.513187,,,,,,36.812,-33.273,-2625,SPREADING_CENTER;MID-ATLANTIC RIDGE,ALV0525-005,ALVIN 0525,submersible,"basalt, basalt, 2-6% ol-pc (fo84-88), spinel mc",fresh,"Langmuir,1977(46); White,1979(206)",EMP(147); ES(175); MS(1770); MS-ID(149); XRF(181)
ALV0525-005-003,glass,48.96,0.82,15.75,,,8.52,,0.13,9.79,11.92,1.97,0.11,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.812,-33.273,-2625,SPREADING_CENTER;MID-ATLANTIC RIDGE,ALV0525-005,ALVIN 0525,submersible,"basalt, basalt, 2-6% ol-pc (fo84-88), spinel mc",fresh,"Bryan,1977(40); Melson,(1086)",EMP(3262); EMP(96)
