sample_id,material,SiO2,TiO2,Al2O3,FeO,Fe2O3,FeOT,Fe2O3T,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Ba,Co,Cr,Cs,Cu,Ga,Hf,K,Li,Nb,Ni,Pb,Rb,Sb,Sc,Sn,Sr,Ta,Th,Ti,U,V,Y,Zn,Zr,Sr87_Sr86,Nd143_Nd144,Pb206_Pb204,Pb207_Pb204,Pb208_Pb204,Pd,Te,latitude,longitude,elevation,tectonic_setting,station,expedition,sampling technique,rock type,alteration,reference,method
TRI0138-005-001,glass,50.92,1.98,14.65,,,11.52,,,7.43,10.46,2.83,0.13,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.52,-28.54,-2590,SPREADING_CENTER;MID-ATLANTIC RIDGE,TRI0138-005,TR138,dredge,"basalt, basalt, aphanitic",fresh,"Melson,(1086)",EMP(3262)
TRI0138-005-001,whole rock,50.04,1.9,14.55,9.54,1.72,,,0.19,7.64,10.41,2.86,0.2,0.2,5.2,15.8,,15,5.3,1.8,,1.3,,,,0.75,4.8,0.68,16,45,263,0.034,,,,1733,,,121,,1.72,,43,,98,,,,,298,,,,0.702833,0.513092,,,,,,49.52,-28.54,-2590,SPREADING_CENTER;MID-ATLANTIC RIDGE,TRI0138-005,TR138,dredge,"basalt, basalt, aphanitic",fresh,"Schilling,1983(42); White,1978(41); Yu,1997(119)",INAA(117); INAA(81); MS(115); MS(116); MS-ID(98); MS-ID(99); WET(80); XRF(100); XRF(902)
TRI0138-003-001,glass,51.59,1.23,15.15,7.83,0.83,,,0.18,8.12,11.84,2.91,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.78,-27.64,-2740,SPREADING_CENTER;MID-ATLANTIC RIDGE,TRI0138-003,TR138,dredge,"basalt, basalt, aphanitic",fresh,"Sigurdsson,1981(115)",CALC(324); EMP(323)
TRI0138-003-001,whole rock,49.84,1.15,15.54,7.61,1.35,,,0.16,9.51,11.68,2.38,0.21,0.13,4.9,12.7,,8.8,2.9,1,,0.6,,,,0.43,2.1,0.37,46,45,423,0.039,,,,1761,,,189,,3.65,,36,,128,,,,,232,,,,0.703198,0.513028,,,,,,47.78,-27.64,-2740,SPREADING_CENTER;MID-ATLANTIC RIDGE,TRI0138-003,TR138,dredge,"basalt, basalt, aphanitic",fresh,"Schilling,1983(42); White,1978(41); Yu,1997(119)",INAA(117); INAA(81); MS(115); MS(116); MS-ID(98); MS-ID(99); WET(80); XRF(100); XRF(902)
TRI0138-002-003,glass,50.12,0.96,16.67,,,8.14,,0.17,8.84,11.93,2.39,0.08,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.05,-27.35,-2975,SPREADING_CENTER;MID-ATLANTIC RIDGE,TRI0138-002,TR138,dredge,"basalt, basalt, cryptocristalline",fresh,"Melson,(1086)",EMP(3262)
TRI0138-002-003,whole rock,50.01,0.96,16.36,7.54,0.82,,,0.15,9.5,11.81,2.39,0.08,0.1,2.6,7.8,,7.2,2.2,0.9,,0.6,,,,0.35,2,0.28,19,46,451,0.021,,,,563,,,185,,1.56,,37,,106,,,,,200,,,,0.702982,0.512988,,,,,,47.05,-27.35,-2975,SPREADING_CENTER;MID-ATLANTIC RIDGE,TRI0138-002,TR138,dredge,"basalt, basalt, cryptocristalline",fresh,"Schilling,1983(42); White,1978(41); Yu,1997(119)",INAA(117); INAA(81); MS(115); MS(116); MS-ID(98); MS-ID(99); WET(80); XRF(100); XRF(902)
TRI0138-001-002,glass,51.15,1.15,16.14,7.09,0.72,,,0.16,8.37,12.23,2.71,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.23,-27.39,-2068,SPREADING_CENTER;MID-ATLANTIC RIDGE,TRI0138-001,TR138,dredge,"basalt, basalt, cryptocristalline to aphanitic",fresh,"Sigurdsson,1981(115)",CALC(324); EMP(323)
TRI0138-001-002,whole rock,49.88,1.13,16.45,6.24,1.93,,,0.14,8.31,12.6,2.44,0.38,0.14,7.1,14.7,,9.4,2.7,0.9,,0.6,,,,0.36,2.4,0.27,75,38,373,0.116,,,,3496,,,141,,6.6,,34,,176,,,,,244,,,,0.70308,0.512924,,,,,,46.23,-27.39,-2068,SPREADING_CENTER;MID-ATLANTIC RIDGE,TRI0138-001,TR138,dredge,"basalt, basalt, cryptocristalline to aphanitic",fresh,"Schilling,1983(42); White,1978(41); Yu,1997(119)",INAA(117); INAA(81); MS(115); MS(116); MS-ID(98); MS-ID(99); WET(80); XRF(100); XRF(902)
HUD1966-001-002,glass,49.86,1.46,15.5,8.41,1.24,,,0.14,9.22,11.2,2.9,0.28,0.13,,,,,,,,,,,,,,,82,50,380,,84,39,,,,,160,1,,,50,,105,,,,,370,,87,110,,,,,,,,45.65,-28.15,-2340,SPREADING_CENTER;MID-ATLANTIC RIDGE,HUD1966-001,HUD19-66,dredge,"basalt, basalt, glass rim of megaphyric pillow basalt",fresh,"Aumento,1968(170)",AAS(694); ES(697); FPHOT(695); WET(692); XRF(693)
HUD1966-001-002,whole rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,1986,,11.2,,,5.59,,,,121,,,,,,27,,86,,,,,,,,45.65,-28.15,-2340,SPREADING_CENTER;MID-ATLANTIC RIDGE,HUD1966-001,HUD19-66,dredge,"basalt, basalt, glass rim of megaphyric pillow basalt",fresh,"Erlank,1976(155); Hart,1971(371)",MS(1841); XRF(1752)
HUD1966-001-003,whole rock,49.7,1.25,15.5,8.46,1.28,,,0.11,9.1,11.2,3,0.29,0.13,,,,,,,,,,,,,,,70,48,370,,81,47,,1940,,10.7,160,1,5.5,,53,,120,,,,,390,27,90,85,,,,,,,,45.65,-28.15,-2340,SPREADING_CENTER;MID-ATLANTIC RIDGE,HUD1966-001,HUD19-66,dredge,"basalt, basalt, megaphyric pillow basalt",fresh,"Aumento,1968(170); Erlank,1976(155)",AAS(694); ES(697); FPHOT(695); WET(692); XRF(1752); XRF(693)
HUD1966-009-004,whole rock,50.08,1.41,17.1,6.65,2.68,,,0.11,6.32,11.8,2.9,0.52,0.14,,,,,,,,,,,,,,,78,49,230,0.245,81,,,3724,,10.9,77,5,7.98,,56,,118,,,,,410,28,92,87,0.70331,,,,,,,45.35,-28.03,-1960,SPREADING_CENTER;MID-ATLANTIC RIDGE,HUD1966-009,HUD19-66,dredge,"basalt, basalt, xenocrystic pillow basalt",f(ref-54;135;170);e(ref-155);,"Aumento,1968(170); Erlank,1976(155); White,1977(54); White,1978(41)",AAS(694); ES(697); FPHOT(695); MS(600); MS-ID(98); MS-ID(99); WET(692); XRF(100); XRF(1752); XRF(693)
HUD1966-009-007,whole rock,49.67,1.38,17.5,6.5,2.53,,,0.12,6.51,12,2.9,0.55,0.14,,,,,,,,,,,,,,,63,40,230,,61,38,,,,,70,1,,,50,,95,,,,,370,,85,130,,,,,,,,45.35,-28.03,-1960,SPREADING_CENTER;MID-ATLANTIC RIDGE,HUD1966-009,HUD19-66,dredge,"basalt, basalt, xenocrystic pillow basalt",fresh,"Aumento,1968(170)",AAS(694); ES(697); FPHOT(695); WET(692); XRF(693)
HUD1966-009-018,whole rock,49.1,1.24,16.5,6.4,2.43,,,0.14,7.46,12.2,2.5,0.34,0.15,,,,,,,,,,,,,,,75,60,250,,70,48,,,,,120,2,,,56,,95,,,,,400,,75,120,,,,,,,,45.35,-28.03,-1960,SPREADING_CENTER;MID-ATLANTIC RIDGE,HUD1966-009,HUD19-66,dredge,"basalt, basalt, xenocrystic pillow basalt",fresh,"Aumento,1968(170)",AAS(694); ES(697); FPHOT(695); WET(692); XRF(693)
HUD1966-056-003,whole rock,50.6,1.22,15.59,8.55,0.79,,,0.14,9.24,11.6,2.24,0.23,0.11,6.8,,,,3,1,,0.7,,,,,3.3,0.41,61,46,32,,200,47,,1630,,8.6,168,2,4.8,,37,,107,,,,,272,23,82,68,,,,,,,,45.217,-28,-709,SPREADING_CENTER;MID-ATLANTIC RIDGE,HUD1966-056,HUD19-66,dredge,"basalt, basalt, aphyric, variolitic pillow basalt",fresh,"Aumento,1968(170); Erlank,1976(155); Schilling,1983(42)",ES(697); INAA(81); WET(80); XRF(1752); XRF(693); XRF(902)
