sample_id,material,SiO2,TiO2,Al2O3,FeO,Fe2O3,FeOT,Fe2O3T,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Ba,Be,Co,Cr,Cs,Cu,Ga,Hf,K,Li,Mo,Nb,Ni,Pb,Rb,Sc,Sn,Sr,Ta,Th,Ti,U,V,Y,Zn,Zr,Sr87_Sr86,Nd143_Nd144,Pb206_Pb204,Pb207_Pb204,Pb208_Pb204,latitude,longitude,elevation,tectonic_setting,station,expedition,sampling technique,rock type,alteration,reference,method
DUF0057-010-004,glass,51.16,1.25,14.82,,,8.75,,0.17,7.6,11.51,2.71,0.24,,,,,,,,,0.64,,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,,,,,,18.001,15.501,37.93,-6.22,68.25,-2685 to -2741,SPREADING_CENTER;CENTRAL INDIAN RIDGE,DUF0057-010 ,MD57,dredge,"basalt, basalt, ",fresh,"Schiano,1997(34)",EMP(583); INAA(582); MS(579)
DUF0057-013-007,glass,51.23,1.66,14.58,,,9.88,,0.05,7.02,11.18,2.67,0.17,,,,,,,,,0.92,,,,,,,,,,,,,,3.423,,,,,82,,,,,,,,,,,,,130.55,0.702907,0.513089,18.066,15.472,37.889,-1.48,67.65,-3200 to -3280,SPREADING_CENTER;CENTRAL INDIAN RIDGE,DUF0057-013 ,MD57,dredge,"basalt, basalt, ",fresh,"David,2000(1056); Schiano,1997(34)",EMP(583); INAA(582); MS(579); MS-ID(2957)
DIS1967-6243,glass,51.43,1.31,14.89,9.43,,,,0.03,7.84,12.7,2.11,0.15,,,,,9.04,2.67,,,,,,,,,,,,,,,,,,,,,,,0.484,2.68,,,102.1,,,,0.16,,,,,0.7029,0.51295,18.72,15.53,38.46,12.552,47.653,-2260 to -2550,SPREADING_CENTER;GULF OF ADEN,DIS1967-6243,DISCOVERY1967,dredge,"basalt, basalt, ",fresh,"Cohen,1982(78)",EMP(622); MS(619); MS(620); MS-ID(621)
078_I5.27N,glass,50.3,1.44,15.62,10.06,,,,0.02,8.47,10.95,3.19,0.08,,,,,9.06,3.15,,,,,,,,,,,,,,,,,,,,,,,0.436,0.7,,,141.3,,,,0.13,,,,,0.70266,0.51312,18.24,15.44,37.81,5.45,61.83,,SPREADING_CENTER;CARLSBERG RIDGE,078_I5.27N,UNKNOWN,dredge,"basalt, basalt, ",fresh,"Cohen,1982(78)",EMP(622); MS(619); MS(620); MS-ID(621)
DIS1967-6249,glass,50.12,1.56,14.99,10.03,,,,0.02,7.99,10.38,3.2,0.08,,,,,11.08,3.62,,,,,,,,,,,,,,,,,,,,,,,0.639,2.5,,,136.11,,,,0.126,,,,,0.70298,0.51308,18.22,15.5,37.94,2.73,59.87,,SPREADING_CENTER;CARLSBERG RIDGE,DIS1967-6249,DISCOVERY1967,dredge,"basalt, basalt, ",fresh,"Cohen,1982(78)",EMP(622); MS(619); MS(620); MS-ID(621)
CHRHYAM-010-014,glass,,,,,,,,,,,,,,,,,5.1,1.76,,,,,,,,,,,,,,,,,,,,,,,,0.58,,,134.8,,,,,,,,,0.70302,0.513077,17.925,15.509,37.822,-28.9,74.67,,SPREADING_CENTER;SOUTHEAST INDIAN RIDGE,CHRHYAM-010,HYDROAMSTERDAM,dredge,"basalt, tholeiite, ",fresh,"Dosso,1988(148)",MS(670); MS-ID(669)
CHRHYAM-010-014,whole rock,49.7,0.82,18.65,,7.34,,,0.13,7.6,12.68,2.5,0.07,0.09,2,,,,,0.94,,0.46,,,,,,,,,,330,,,,1.4,,,,,124,,,,,,0.07,0.09,4920,,164,21.7,,64,,,,,,-28.9,74.67,,SPREADING_CENTER;SOUTHEAST INDIAN RIDGE,CHRHYAM-010,HYDROAMSTERDAM,dredge,"basalt, tholeiite, ",fresh,"Dosso,1988(148)",INAA(668); XRF(667)
CHRHYAM-009-008,glass,,,,,,,,,,,,,,,,,9.43,3.19,,,,,,,,,,,,,,,,,,,,,,,,1.03,,,127.2,,,,,,,,,0.70288,0.513059,17.908,15.483,37.794,-30.33,75.76,,SPREADING_CENTER;SOUTHEAST INDIAN RIDGE,CHRHYAM-009,HYDROAMSTERDAM,dredge,"basalt, tholeiite, ",fresh,"Dosso,1988(148)",MS(670); MS-ID(669)
CHRHYAM-009-008,whole rock,50.15,1.39,15.8,,10.11,,,0.17,7.7,11.73,2.6,0.14,0.15,3.4,,,,,1.2,,0.72,,,,,,,,,,299,,,,2.6,,,,2.2,113,,,,,,0.19,0.16,8340,,248,32.7,,98,,,,,,-30.33,75.76,,SPREADING_CENTER;SOUTHEAST INDIAN RIDGE,CHRHYAM-009,HYDROAMSTERDAM,dredge,"basalt, tholeiite, ",fresh,"Dosso,1988(148)",INAA(668); XRF(667)
CHRHYAM-009-007,glass,,,,,,,,,,,,,,,,,9.4,3.18,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,128.5,,,,,,,,,0.70287,0.513073,17.927,15.484,37.764,-30.33,75.76,,SPREADING_CENTER;SOUTHEAST INDIAN RIDGE,CHRHYAM-009,HYDROAMSTERDAM,dredge,"basalt, tholeiite, ",fresh,"Dosso,1988(148)",MS(670); MS-ID(669)
CHRHYAM-009-007,whole rock,50.1,1.37,15.65,,9.95,,,0.18,7.75,11.57,2.6,0.13,0.12,3.5,,,,,1.25,,0.76,,,,,,,,,,314,,,,2.44,,,,2.7,92,,,,,,0.19,0.21,8220,,270,31.5,,95,,,,,,-30.33,75.76,,SPREADING_CENTER;SOUTHEAST INDIAN RIDGE,CHRHYAM-009,HYDROAMSTERDAM,dredge,"basalt, tholeiite, ",fresh,"Dosso,1988(148)",INAA(668); XRF(667)
CHRHYAM-007-002,glass,,,,,,,,,,,,0.11,,,,,8.25,2.75,,,,,,,,,,,,,,,,,,897,,,1.8,,,1.29,,,133.7,,,,,,,,93,0.70283,0.513056,17.884,15.467,37.726,-31.26,76.5,,SPREADING_CENTER;SOUTHEAST INDIAN RIDGE,CHRHYAM-007,HYDROAMSTERDAM,dredge,"basalt, basalt; tholeiite(ref-148;409);, ",fresh,"Dosso,1988(148); Michael,1995(409); Michael,1998(808)",EMP(1230); EMP(963); MS(670); MS-ID(669); XRF(964)
CHRHYAM-007-002,whole rock,50,1.23,15.55,,9.87,,,0.17,8.3,12.26,2.6,0.19,0.1,3.9,,,,,1.17,,0.68,,,,,,,,,,354,,,,2.1,,,,1.8,84,,,,,,0.18,0.19,7380,,242,29.5,,93,,,,,,-31.26,76.5,,SPREADING_CENTER;SOUTHEAST INDIAN RIDGE,CHRHYAM-007,HYDROAMSTERDAM,dredge,"basalt, basalt; tholeiite(ref-148;409);, ",fresh,"Dosso,1988(148)",INAA(668); XRF(667)
CHRHYAM-006-025,glass,,,,,,,,,,,,0.11,,,,,8.99,3.09,,,,,,,,,,,,,,,,,,930,,,2.1,,,1.05,,,115.2,,,,,,,,100,0.70296,0.513083,17.952,15.477,37.826,-32.51,77.43,,SPREADING_CENTER;SOUTHEAST INDIAN RIDGE,CHRHYAM-006,HYDROAMSTERDAM,dredge,"basalt, basalt; tholeiite(ref-148;409);, ",fresh,"Dosso,1988(148); Michael,1995(409); Michael,1998(808)",EMP(1230); EMP(963); MS(670); MS-ID(669); XRF(964)
CHRHYAM-006-025,whole rock,49.9,1.44,14.75,,10.71,,,0.18,7.85,11.75,2.5,0.15,0.12,3.3,,,,,1.2,,0.76,,,,,,,,,,300,,,,2.5,,,,2.1,101,,,,,,0.18,0.19,8640,,292,33.6,,100,,,,,,-32.51,77.43,,SPREADING_CENTER;SOUTHEAST INDIAN RIDGE,CHRHYAM-006,HYDROAMSTERDAM,dredge,"basalt, basalt; tholeiite(ref-148;409);, ",fresh,"Dosso,1988(148)",INAA(668); XRF(667)
CHRHYAM-005-001,glass,,,,,,,,,,,,0.13,,,,,6.45,2.14,,,,,,,,,,,,,,,,,,988,,,2.5,,,1.87,,,133.3,,,,,,,,78,0.70321,0.512963,18.406,15.541,38.37,-34.96,78.54,,SPREADING_CENTER;SOUTHEAST INDIAN RIDGE,CHRHYAM-005,HYDROAMSTERDAM,dredge,"basalt, basalt; tholeiite(ref-148;409);, ",fresh,"Dosso,1988(148); Michael,1995(409); Michael,1998(808)",EMP(1230); EMP(963); MS(670); MS-ID(669); XRF(964)
CHRHYAM-005-001,whole rock,48.6,1.12,15.6,,10.76,,,0.17,9.6,11.23,2.3,0.17,0.1,3,,,,,1.04,,0.54,,,,,,,,,,447,,,,1.6,,,,2.5,227,,,,,,0.22,0.26,6720,,209,24.6,,78,,,,,,-34.96,78.54,,SPREADING_CENTER;SOUTHEAST INDIAN RIDGE,CHRHYAM-005,HYDROAMSTERDAM,dredge,"basalt, basalt; tholeiite(ref-148;409);, ",fresh,"Dosso,1988(148)",INAA(668); XRF(667)
CHRHYAM-004-062,glass,,,,,,,,,,,,,,,,,4.8,1.82,,,,,,,,,,,,,,,,,,,,,,,,0.45,,,82.3,,,,,,,,,0.70367,0.512899,18.411,15.568,38.36,-34.91,78.67,,SPREADING_CENTER;SOUTHEAST INDIAN RIDGE,CHRHYAM-004,HYDROAMSTERDAM,dredge,"basalt, tholeiite, ",fresh,"Dosso,1988(148)",MS(670); MS-ID(669)
CHRHYAM-004-062,whole rock,47.12,0.85,17.19,,10.34,,,0.17,10.22,11.85,2.1,0.04,0.04,1,,,,,0.73,,0.53,,,,,,,,,,395,,,,1.5,,,,,226,,,,,,0.03,0.03,5100,,221,28.8,,57,,,,,,-34.91,78.67,,SPREADING_CENTER;SOUTHEAST INDIAN RIDGE,CHRHYAM-004,HYDROAMSTERDAM,dredge,"basalt, tholeiite, ",fresh,"Dosso,1988(148)",INAA(668); XRF(667)
CHRHYAM-004-043,glass,,,,,,,,,,,,0.17,,,,,7.7,2.48,,,,,,,,,,,,,,,,,,1320,,,4.6,,,4.36,,,114.2,,,,,,,,72,0.70312,0.512991,18.331,15.53,38.215,-34.91,78.67,,SPREADING_CENTER;SOUTHEAST INDIAN RIDGE,CHRHYAM-004,HYDROAMSTERDAM,dredge,"basalt, basalt; tholeiite(ref-148;409);, ",fresh,"Dosso,1988(148); Michael,1995(409); Michael,1998(808)",EMP(1230); EMP(963); MS(670); MS-ID(669); XRF(964)
CHRHYAM-004-043,whole rock,50.15,1.07,15.69,,9.69,,,0.17,8.64,12.2,2.1,0.19,0.11,4.4,,,,,0.93,,0.57,,,,,,,,,,382,,,,1.76,,,,4.6,149,,,,,,0.31,0.43,6420,,251,26.3,,72,,,,,,-34.91,78.67,,SPREADING_CENTER;SOUTHEAST INDIAN RIDGE,CHRHYAM-004,HYDROAMSTERDAM,dredge,"basalt, basalt; tholeiite(ref-148;409);, ",fresh,"Dosso,1988(148)",INAA(668); XRF(667)
CHRHYAM-003-003,glass,,,,,,,,,,,,,,,,,23,5.9,,,,,,,,,,,,,,,,,,,,,,,,8.27,,,245.2,,,,,,,,,0.70411,0.512822,18.71,15.56,38.961,-37.52,78.43,,SPREADING_CENTER;SOUTHEAST INDIAN RIDGE,CHRHYAM-003,HYDROAMSTERDAM,dredge,"basalt, basalt, doleritic",fresh,"Dosso,1988(148)",MS(670); MS-ID(669)
CHRHYAM-003-003,whole rock,50.17,3.05,13.21,,15.26,,,0.21,4.22,9.03,3.15,0.66,0.37,19,,,,,2.35,,1.14,,,,,,,,,,6,,,,5.1,,,,34,24,,,,,,2.03,2.26,18300,,365,47.3,,197,,,,,,-37.52,78.43,,SPREADING_CENTER;SOUTHEAST INDIAN RIDGE,CHRHYAM-003,HYDROAMSTERDAM,dredge,"basalt, basalt, doleritic",fresh,"Dosso,1988(148)",INAA(668); XRF(667)
CHRHYAM-STPAUL,glass,,,,,,,,,,,,,,,,,13.41,3.39,,,,,,,,,,,,,,,,,,,,,,,,8.3,,,336.2,,,,,,,,,0.70363,0.512925,18.696,15.583,38.802,-38.7,77.5,,SPREADING_CENTER;SOUTHEAST INDIAN RIDGE,CHRHYAM-STPAUL,HYDROAMSTERDAM,outcrop,"basalt, tholeiite, ",fresh,"Dosso,1988(148)",MS(670); MS-ID(669)
CHRHYAM-STPAUL,whole rock,50.47,1.76,20.46,,8.93,,,0.12,3.17,11.42,3.1,0.52,0.2,9.9,,,,,1.45,,0.6,,,,,,,,,,3,,,,2.9,,,,13.2,12,,,,,,1.01,1.27,10560,,198,22.2,,120,,,,,,-38.7,77.5,,SPREADING_CENTER;SOUTHEAST INDIAN RIDGE,CHRHYAM-STPAUL,HYDROAMSTERDAM,outcrop,"basalt, tholeiite, ",fresh,"Dosso,1988(148)",INAA(668); XRF(667)
CHRHYAM-002,glass,,,,,,,,,,,,,,,,,14,4.18,,,,,,,,,,,,,,,,,,,,,,,,8.74,,,147.5,,,,,,,,,0.70405,0.512854,18.078,15.546,38.403,-39.68,78.48,,SPREADING_CENTER;SOUTHEAST INDIAN RIDGE,CHRHYAM-002,HYDROAMSTERDAM,dredge,"basalt, tholeiite, ",fresh,"Dosso,1988(148)",MS(670); MS-ID(669)
CHRHYAM-002,whole rock,50.91,1.81,14.07,,12.62,,,0.2,5.96,10.66,3.1,0.53,0.2,8.4,,,,,1.42,,0.86,,,,,,,,,,124,,,,3.1,,,,11.6,58,,,,,,0.68,0.71,10860,,340,37.6,,122,,,,,,-39.68,78.48,,SPREADING_CENTER;SOUTHEAST INDIAN RIDGE,CHRHYAM-002,HYDROAMSTERDAM,dredge,"basalt, tholeiite, ",fresh,"Dosso,1988(148)",INAA(668); XRF(667)
CHRHYAM-001-005,glass,,,,,,,,,,,,,,,,,5.85,2.06,,,,,,,,,,,,,,,,,,,,,,,,1.66,,,91.5,,,,,,,,,0.70343,0.513032,18.02,15.518,37.985,-40.34,78.65,,SPREADING_CENTER;SOUTHEAST INDIAN RIDGE,CHRHYAM-001,HYDROAMSTERDAM,dredge,"basalt, tholeiite, ",fresh,"Dosso,1988(148)",MS(670); MS-ID(669)
CHRHYAM-001-005,whole rock,49.6,0.95,17.1,,9.07,,,0.15,7.75,13.18,2.1,0.13,0.1,1.8,,,,,0.79,,0.54,,,,,,,,,,403,,,,1.56,,,,2.2,118,,,,,,0.21,0.35,5700,,252,26.6,,67,,,,,,-40.34,78.65,,SPREADING_CENTER;SOUTHEAST INDIAN RIDGE,CHRHYAM-001,HYDROAMSTERDAM,dredge,"basalt, tholeiite, ",fresh,"Dosso,1988(148)",INAA(668); XRF(667)
VEM0033-1-001,glass,49.51,2,15.96,9.77,,10.02,,0.16,8.04,10.45,3.03,0.32,0.31,,,,15.9,4.77,,,,,,,,,,,,,,,,,,,,,,,0.681,2.11,,,180,,,,0.134,,,,,0.70261,0.51305,18.75,15.49,38.19,-50.408,131.05,-3091,SPREADING_CENTER;SOUTHEAST INDIAN RIDGE,VEM0033-1-001,VM33,dredge,"basalt, basalt, ",fresh,"Cohen,1980(173); Klein,1991(149)",EMP(672); EMP(701); MS(698); MS(699); MS-ID(700)
VEM0033-6-024,glass,51.32,0.87,15.3,,,9.44,,0.08,8.57,12.22,2.35,,,,,,5.77,1.84,,,,,,,,,,,,,,,,,,,,,,,0.23,0.35,,,78.4,,,,0.023,,,,,0.70278,0.51302,18.43,15.43,38.01,14.75,54.8,-2712 to -2775,SPREADING_CENTER;GULF OF ADEN,VEM0033-6-024,VM33,dredge,"basalt, basalt, ",fresh,"Cohen,1980(173)",EMP(701); MS(698); MS(699); MS-ID(700)
AII0093-6-010-103,glass,,,,,,,,,,,,0.064,,2.8,9.12,1.7,9.08,3.28,1.23,4.72,,5.7,1.26,3.57,,3.33,,8.82,,,,0.006,,,,641,,0.176,,,0.514,0.7,,,99.4,,0.102,,0.034,,32.6,,87,0.70304,0.513083,17.325,15.456,37.287,-24.98,70.012,-3512,SPREADING_CENTER;CENTRAL INDIAN RIDGE,AII0093-6-010,AII093,dredge,"basalt, basalt, ",fresh,"Ito,1987(187); Michael,1995(409); Newsom,1986(208); White,1993(477)",EMP(963); MS(1051); MS-ID(1118); MS-ID(710); SS-ID(711); SSMS(712); XRF(964)
ARGCIRC-093-004,glass,52.26,1.16,16.03,,,8.34,,,7.57,11.48,2.89,0.16,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.417,65.93,-3540 to -3880,SPREADING_CENTER;CENTRAL INDIAN RIDGE,ARGCIRC-093,CIRCE,dredge,"basalt, basalt, porphyritic; gm glassy; round vesicles",,"Melson,(1086)",EMP(3262)
ARGCIRC-093-004,whole rock,,1.1,,,,,,,,,2.8,0.2,,,10.6,,8.08,2.74,1.06,3.74,,4.38,,2.75,,2.72,0.445,27,,34,400,,80,20,,1700,3.9,,,110,,2.47,50,,126,,,,,190,33,,79,0.70298,,,,,-12.417,65.93,-3540 to -3880,SPREADING_CENTER;CENTRAL INDIAN RIDGE,ARGCIRC-093,CIRCE,dredge,"basalt, basalt, porphyritic; gm glassy; round vesicles",,"Engel,1969(778); Engel,1975(284); Hedge,1979(278)",ES(767); MS(3208); MS-ID(3209); NN(766); WET(3100)
ARGCIRC-094-002,whole rock,,1.29,,,,,,,,,2.51,0.24,,,8.81,,7.87,2.67,1.01,3.64,,4.46,,2.8,,2.73,0.424,20,,36,340,,80,20,,2000,4.3,,,94,,2.71,60,,111,,,,,250,37,,80,0.70294,,,,,-15.55,66.75,-2812 to -2955,SPREADING_CENTER;CENTRAL INDIAN RIDGE,ARGCIRC-094,CIRCE,dredge,"basalt, basalt, fine-grained; crystallite gm, in part palagonitic; round vesicles",,"Engel,1969(778); Engel,1975(284); Hedge,1979(278)",ES(767); MS(3208); MS-ID(3209); NN(766); WET(3100)
ARGCIRC-104,whole rock,50.32,1.08,15.92,7.55,1.56,,,0.17,8.25,11.94,2.34,0.14,0.11,,8.33,,7.49,2.72,1.08,4.17,,4.9,,3.2,,3.08,0.488,25,,34,350,,110,18,,1200,3.9,,,93,,1.53,60,,96.3,,,,,250,36,,65,0.70342,,,,,-19.825,66.05,-2800 to -2810,SPREADING_CENTER;CENTRAL INDIAN RIDGE,ARGCIRC-104,CIRCE,dredge,"basalt, basalt, porphyritic; glassy gm; vesicles round and irregular",fresh,"Engel,1969(778); Engel,1975(284); Hedge,1979(278)",ES(767); MS(3208); MS-ID(3209); NN(766); WET(3100)
ARGCIRC-107,whole rock,49.56,0.97,17.6,7.2,0.87,,,0.15,8.65,11.68,2.68,0.14,0.14,,6.54,,6.54,2.21,0.962,3.34,,3.79,,2.42,,2.45,0.41,26,,37,300,,94,18,,1200,3.7,,,130,,1.29,50,,159,,,4800,,200,31,,65,0.70304,,,,,-24.35,69.833,-2915 to -2925,SPREADING_CENTER;SOUTHWEST INDIAN RIDGE,ARGCIRC-107,CIRCE,dredge,"basalt, basalt, porphyritic; glassy gm; vesicles irregular",fresh,"Engel,1969(778); Engel,1975(284); Hedge,1979(278)",ES(767); MS(3208); MS-ID(3209); NN(766); SPEC(3101); WET(3100)
ARGDODO-113-A1,glass,,,,,,,,,,,,,,,,,9.71,3.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70319,0.513181,,,,-23.343,74.942,-4100,SPREADING_CENTER;SOUTHEAST INDIAN RIDGE,ARGDODO-113-A1,DODO,dredge,"basalt, basalt, ",,"Carlson,1980(746)",MS(2606); MS-ID(2605)
ARGDODO-113-A1,whole rock,50.3,1.38,15.88,7.88,1.61,,,0.09,7.56,11.43,2.69,0.17,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-23.343,74.942,-4100,SPREADING_CENTER;SOUTHEAST INDIAN RIDGE,ARGDODO-113-A1,DODO,dredge,"basalt, basalt, ",,"Engel,1975(284)",NN(766)
POLANT4-4-002-001,glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70338,0.512876,19.243,15.632,39.315,-52.22,14.63,-3200,SPREADING_CENTER;SOUTHWEST INDIAN RIDGE,POLANT4-4-002,ANT IV,dredge,"basalt, basalt, plag-phyric",fresh,"Le roex,1992(630)",MS(884)
POLANT4-4-002-001,whole rock,49.6,1.24,19.19,,,5.72,,0.1,6.331,12.19,3.22,0.74,0.22,11.6,24.9,3.03,12.5,2.96,1.02,3.19,0.5,3,,1.65,,1.47,,171,,34,347,,41,,,,,,24,111,,10.7,25,,358,,,,,151,21,55,105,,,,,,-52.22,14.63,-3200,SPREADING_CENTER;SOUTHWEST INDIAN RIDGE,POLANT4-4-002,ANT IV,dredge,"basalt, basalt, plag-phyric",fresh,"Le roex,1992(630)",GIO(883); XRF(879)
POLANT4-4-003-014,glass,51.3,1.93,16.01,,,9.22,,,5.36,7.95,5.03,1.47,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70352,0.512837,19.254,15.642,39.305,-53.12,14.5,-3300,SPREADING_CENTER;SOUTHWEST INDIAN RIDGE,POLANT4-4-003,ANT IV,dredge,"basalt, basalt, aphyric",fresh,"Le roex,1992(630)",EMP(882); MS(884)
POLANT4-4-003-014,whole rock,50.05,1.85,16.57,,,8.19,,0.21,5.84,10.78,3.97,1.35,0.43,29.2,53.7,6.29,24.5,5.24,1.72,5.19,0.82,4.92,,2.78,,2.47,,383,,38,54,,57,,,,,,52,53,,69,28,,414,,,,,251,27,72,169,,,,,,-53.12,14.5,-3300,SPREADING_CENTER;SOUTHWEST INDIAN RIDGE,POLANT4-4-003,ANT IV,dredge,"basalt, basalt, aphyric",fresh,"Le roex,1992(630)",GIO(883); XRF(879)
POLANT4-4-004-101,whole rock,49.77,3.82,14.21,,,12.65,,0.22,4.22,8.71,3.51,1.34,0.67,,,,,,,,,,,,,,,251,,42,13,,21,,,,,,47,12,,22,30,,433,,,,,331,41,141,296,0.70368,0.512852,19.564,15.649,39.157,-52.1,14.12,-3600,SPREADING_CENTER;SOUTHWEST INDIAN RIDGE,POLANT4-4-004,ANT IV,dredge,"basalt, basalt, aphyric",fresh,"Le roex,1992(630)",MS(885); XRF(879)
POLANT4-4-004-068,whole rock,49.32,1.42,16.45,,,7.2,,0.12,7.77,8.95,3.55,0.15,0.17,4.8,14.6,2.34,11.8,4.09,1.2,4.61,0.76,5.16,,2.98,,2.76,,9,,39,88,,161,,,,,,7.3,165,,1.6,35,,150,,,,,200,30,61,123,,,18.737,15.556,38.429,-52.1,14.12,-3600,SPREADING_CENTER;SOUTHWEST INDIAN RIDGE,POLANT4-4-004,ANT IV,dredge,"basalt, basalt, aphyric",fresh,"Le roex,1992(630)",GIO(883); MS(885); XRF(879)
POLANT4-4-005-036,glass,51.64,1.56,16.3,,,7.98,,,7.16,10.41,3.73,1.41,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70292,0.51302,18.769,15.56,38.623,-52.28,13.68,-3800,SPREADING_CENTER;SOUTHWEST INDIAN RIDGE,POLANT4-4-005,ANT IV,dredge,"basalt, basalt, aphyric",fresh,"Le roex,1992(630)",EMP(882); MS(884)
POLANT4-4-005-036,whole rock,50.34,1.44,16.28,,,8.1,,0.19,9.05,10.1,3.46,0.52,0.23,8.96,23.7,3.11,14.1,3.71,1.21,4.33,0.74,4.85,,2.8,,2.45,,93,,47,309,,47,,,,,,15.6,186,,9,33,,214,,,,,214,29,65,129,,,,,,-52.28,13.68,-3800,SPREADING_CENTER;SOUTHWEST INDIAN RIDGE,POLANT4-4-005,ANT IV,dredge,"basalt, basalt, aphyric",fresh,"Le roex,1992(630)",GIO(883); XRF(879)
POLANT4-4-006-001,glass,52.28,1.78,16.29,,,7.82,,0.11,6.59,10.11,3.66,0.89,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70309,0.512951,18.867,15.572,38.822,-52.35,13.13,-4000,SPREADING_CENTER;SOUTHWEST INDIAN RIDGE,POLANT4-4-006,ANT IV,dredge,"basalt, basalt, sparsely phyric",fresh,"Le roex,1992(630)",EMP(882); MS(884)
POLANT4-4-006-001,whole rock,50.95,1.67,16.91,,,7.6,,0.18,6.8,10.24,3.57,0.93,0.32,14.9,34.4,4.37,18.6,4.64,1.62,5.17,0.85,5.3,,3.13,,2.89,,197,,37,223,,50,,,,,,29,101,,14.9,35,,263,,,,,234,32,61,158,,,,,,-52.35,13.13,-4000,SPREADING_CENTER;SOUTHWEST INDIAN RIDGE,POLANT4-4-006,ANT IV,dredge,"basalt, basalt, sparsely phyric",fresh,"Le roex,1992(630)",GIO(883); XRF(879)
POLANT4-4-006-002,glass,51.49,1.75,16.22,,,8.94,,0.17,7.04,9.74,4.32,0.4,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-52.35,13.13,-4000,SPREADING_CENTER;SOUTHWEST INDIAN RIDGE,POLANT4-4-006,ANT IV,dredge,"basalt, basalt, aphyric",fresh,"Le roex,1992(630)",EMP(882)
POLANT4-4-006-002,whole rock,50.17,1.69,16.23,,,9.02,,0.18,7.96,9.68,3.94,0.41,0.29,10.7,27.4,3.55,15.7,4.51,1.58,5.45,0.96,6.11,,3.72,,3.55,,77,,44,274,,50,,,,,,16.4,153,,7.3,34,,212,,,,,228,37,72,164,0.7029,0.513004,18.741,15.551,38.541,-52.35,13.13,-4000,SPREADING_CENTER;SOUTHWEST INDIAN RIDGE,POLANT4-4-006,ANT IV,dredge,"basalt, basalt, aphyric",fresh,"Le roex,1992(630)",GIO(883); MS(885); XRF(879)
RSR1979-007-060,glass,50.56,1.55,15.39,,,9.52,,,8.48,11.05,2.56,0.11,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.526,,,,,,0.16,,0.058,,,,,0.70274,0.513096,18.009,15.473,37.846,3.7,63.89,-3749 to -3840,SPREADING_CENTER;CARLSBERG RIDGE,RSR1979-007,RESEARCHER 1979,dredge,"basalt, basalt, ",fresh,"Ito,1987(187); Melson,(1086); White,1993(477)",EMP(3262); ICPMS(1119); MS(1051)
MOA8801-029-005,glass,51.08,1.2,16.09,,,,8.26,0.14,8.45,10.67,3.28,0.17,0.15,4.32,11.6,,10.45,3.11,1.14,,0.7,,,,,2.53,0.422,20.3,,35.1,336,,56.4,,2.35,1390,,,,143,,,31.2,,168,0.32,0.16,,0.7,219,26.7,62.4,104,,0.512943,,,,-48.907,124.468,-4200 to -4600,SPREADING_CENTER;SOUTHEAST INDIAN RIDGE,MOA8801-029,MW8801,dredge,"basalt, basalt, ",fresh,"Michael,1998(808); Pyle,1994(599); Salters,1996(45)",DCP(2670); EMP(1230); INAA(2671); MS(3211); MS-ID(3212)
*482/4,whole rock,49.68,1.57,15.44,7.44,3.2,,10.8,0.19,8.27,10.8,3.27,0.29,0.15,4.16,13.1,,10.8,3.6,1.35,4.93,,5.81,,3.67,,3.42,,17.1,,42,303,,,,,,,,4,115,,1.1,43,,145,,,9430,,289,35,,112,0.70267,,,,,5.25,62.03,-3570 to -3610,SPREADING_CENTER;CENTRAL INDIAN RIDGE,*482/4,UNKNOWN,unknown,"basalt, basalt, fine-grained with 2-3% plag pc (0.5 mm) and 2% ol pc, in a red brown devetrified matrix with scattered swallow tailed plag ml",,"Sun,1979(118)",MS(1346); MS-ID(1344); WET(1343); XRF(1342); XRF(1345)
ARGDODO-114-A,glass,,,,,,,,,,,,,,,,,9.76,3.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.513119,,,,-24.117,72.433,-4050,SPREADING_CENTER;SOUTHEAST INDIAN RIDGE,ARGDODO-114,DODO,dredge,"basalt, basalt, porphyritic with plag pc; gm composed largely of plag and cpx, rare small vesicles",,"Carlson,1980(746)",MS(2606); MS-ID(2605)
