sample_id,material,SiO2,TiO2,Al2O3,FeO,Fe2O3,FeOT,Fe2O3T,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Ba,Be,Co,Cr,Cs,Cu,Ga,Hf,K,Li,Mo,Nb,Ni,Pb,Rb,Sc,Sn,Sr,Ta,Th,Ti,U,V,Y,Zn,Zr,Sr87_Sr86,Nd143_Nd144,Pb206_Pb204,Pb207_Pb204,Pb208_Pb204,latitude,longitude,elevation,tectonic_setting,station,expedition,sampling technique,rock type,alteration,reference,method
AII0107-6-056-001,whole rock,49.45,1.71,15.49,9.29,1.39,,,0.19,7.28,10.8,3.26,0.23,0.19,3.87,15.6,,11.4,4.35,1.53,,0.97,,,,,4.4,0.67,17,,46,223,,50,,,,,,2,106,,2.6,36,,111,,,,,252,42,91,126,,,,,,-54.397,5.137,-3122 to -3602,SPREADING_CENTER;SOUTHWEST INDIAN RIDGE,AII0107-6-056,AII107,dredge,"basalt, basalt, microporph ol-pl basalt",fresh,"Le roex,1983(25)",EMP(507); INAA(509)
AII0107-6-056-021,glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.702923,,18.904,,,-54.397,5.137,-3122 to -3602,SPREADING_CENTER;SOUTHWEST INDIAN RIDGE,AII0107-6-056,AII107,dredge,"basalt, basalt, sparsely phyric ol-pl basalt",fresh,"Kurz,1998(545)",MS(865)
AII0107-6-056-021,whole rock,50.08,1.74,15.51,9.44,1.41,,,0.19,7.19,10.94,3.03,0.22,0.18,,,,,,,,,,,,,,,17,,47,244,,53,,,,,,,105,,2.7,39,,109,,,,,263,43,95,131,,,,,,-54.397,5.137,-3122 to -3602,SPREADING_CENTER;SOUTHWEST INDIAN RIDGE,AII0107-6-056,AII107,dredge,"basalt, basalt, sparsely phyric ol-pl basalt",fresh,"Le roex,1983(25)",EMP(507)
AII0107-6-056-027,glass,48.18,0.89,17.39,,,9.76,,,8.59,11.82,2.4,0.035,0.08,,,,,,,,,,,,,,,,,,,,,,,291,,,,,,,,,,,,,,,,,44,0.70297,0.51302,19.163,15.591,38.727,-54.397,5.137,-3122 to -3602,SPREADING_CENTER;SOUTHWEST INDIAN RIDGE,AII0107-6-056,AII107,dredge,"basalt, basalt, sparsely phyric ol-pl basalt",fresh,"Kurz,1998(545); Le roex,1983(25); Melson,(1086); Michael,1995(409); Michael,1998(808)",EMP(1230); EMP(3262); EMP(963); MS(510); MS(865); XRF(964)
AII0107-6-056-027,whole rock,48.71,0.76,18.29,7.86,1.17,,,0.17,8.83,12.22,2.33,0.05,0.06,1.47,5.37,,4.17,1.73,0.74,,0.45,,,,,2.81,0.44,,,50,187,,91,,,,,,,176,,,41,,76,,,,,27,25,55,44,,,,,,-54.397,5.137,-3122 to -3602,SPREADING_CENTER;SOUTHWEST INDIAN RIDGE,AII0107-6-056,AII107,dredge,"basalt, basalt, sparsely phyric ol-pl basalt",fresh,"Le roex,1983(25)",EMP(507); INAA(509)
AII0107-6-057-016,whole rock,49.97,1.45,15.61,8.68,1.3,,,0.18,8.78,11.14,2.83,0.16,0.13,3.51,11.3,,9.5,3.37,1.27,,0.84,,,,,3.42,0.48,11.3,,53,362,,76,,,,,,,185,,2.2,40,,114,,,,,258,30,82,89,0.70273,,,,,-54.045,7.223,-1920 to -3767,SPREADING_CENTER;SOUTHWEST INDIAN RIDGE,AII0107-6-057,AII107,dredge,"basalt, basalt, aphyric ol-pl basalt",,"Le roex,1983(25)",EMP(507); INAA(509); MS(510)
AII0107-6-057-002,glass,49.41,1.88,15.11,,,9.82,,,7.53,10.81,2.82,0.34,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70291,0.51301,,,,-54.045,7.223,-1920 to -3767,SPREADING_CENTER;SOUTHWEST INDIAN RIDGE,AII0107-6-057,AII107,dredge,"basalt, basalt, aphyric ol-pl basalt",fresh,"Le roex,1983(25); Melson,(1086)",EMP(3262); MS(510)
AII0107-6-057-002,whole rock,50.29,1.87,15,8.8,1.32,,,0.18,8.5,10.79,2.53,0.37,0.22,8.9,21.6,,14.1,4.55,1.69,,0.95,,,,,3.52,0.47,70,,49,321,,65,,,,,,10.8,166,,6.8,40,,200,,,,,275,34,92,129,,,,,,-54.045,7.223,-1920 to -3767,SPREADING_CENTER;SOUTHWEST INDIAN RIDGE,AII0107-6-057,AII107,dredge,"basalt, basalt, aphyric ol-pl basalt",fresh,"Le roex,1983(25)",EMP(507); INAA(509)
AII0107-6-057-025,glass,50.23,1.57,15.99,,,9.92,,,7.66,11.41,2.73,0.1,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70267,,18.657,15.576,38.337,-54.045,7.223,-1920 to -3767,SPREADING_CENTER;SOUTHWEST INDIAN RIDGE,AII0107-6-057,AII107,dredge,"basalt, basalt, aphyric ol-pl basalt",fresh,"Kurz,1998(545); Le roex,1983(25); Melson,(1086)",EMP(3262); MS(510); MS(865)
AII0107-6-057-025,whole rock,49.84,1.46,15.73,8.7,1.3,,,0.17,8.6,11.13,2.93,0.18,0.13,,,,,,,,,,,,,,,10.6,,52,360,,81,,,,,,3.5,191,,,38,,116,,,,,251,33,81,92,,,,,,-54.045,7.223,-1920 to -3767,SPREADING_CENTER;SOUTHWEST INDIAN RIDGE,AII0107-6-057,AII107,dredge,"basalt, basalt, aphyric ol-pl basalt",fresh,"Le roex,1983(25)",EMP(507)
AII0107-6-057-005,glass,50.06,1.88,15.22,,,9.86,,,7.68,10.98,2.89,0.36,0.2,8.6,23.9,,15.3,4.35,1.59,,0.86,,,,,3.48,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70291,,18.753,15.574,38.57,-54.045,7.223,-1920 to -3767,SPREADING_CENTER;SOUTHWEST INDIAN RIDGE,AII0107-6-057,AII107,dredge,"basalt, basalt, aphyric ol-pl basalt",fresh,"Kurz,1998(545); Le roex,1983(25); Melson,(1086)",EMP(3262); INAA(509); MS(510); MS(865)
AII0107-6-057-005,whole rock,50.31,1.87,15.19,8.79,1.32,,,0.17,8.56,10.78,2.67,0.38,0.23,,,,,,,,,,,,,,,71,,47,323,,64,,,,,,12.1,164,,7.9,40,,200,,,,,275,34,89,129,,,,,,-54.045,7.223,-1920 to -3767,SPREADING_CENTER;SOUTHWEST INDIAN RIDGE,AII0107-6-057,AII107,dredge,"basalt, basalt, aphyric ol-pl basalt",fresh,"Le roex,1983(25)",EMP(507)
AII0107-6-057-009,glass,50.32,1.53,15.89,,,9.91,,,7.73,11.15,2.72,0.11,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70276,,18.652,15.529,38.24,-54.045,7.223,-1920 to -3767,SPREADING_CENTER;SOUTHWEST INDIAN RIDGE,AII0107-6-057,AII107,dredge,"basalt, basalt, aphyric ol-pl basalt",fresh,"Kurz,1998(545); Melson,(1086)",EMP(3262); MS(865)
AII0107-6-057-009,whole rock,49.89,1.51,15.75,8.81,1.31,,,0.18,8.09,11.21,2.88,0.17,0.13,,,,,,,,,,,,,,,9,,48,347,,78,,,,,,2.3,150,,2.2,39,,119,,,,,260,32,85,90,,,,,,-54.045,7.223,-1920 to -3767,SPREADING_CENTER;SOUTHWEST INDIAN RIDGE,AII0107-6-057,AII107,dredge,"basalt, basalt, aphyric ol-pl basalt",fresh,"Le roex,1983(25)",EMP(507)
AII0107-6-058-012,whole rock,48.04,1.57,16.21,9.27,1.4,,,0.17,9.53,8.43,3.22,0.74,0.4,17.4,37.6,,18.9,4.11,1.46,,0.69,,,,,2.38,0.35,112,,52,286,,49,,,,,,22,204,,4.8,31,,505,,,,,166,24,88,149,0.70356,0.51291,,,,-53.98,-7.235,-1316 to -2074,SPREADING_CENTER;SOUTHWEST INDIAN RIDGE,AII0107-6-058,AII107,dredge,"basalt, basalt, microporph ol-pl basalt",,"Le roex,1983(25)",EMP(507); INAA(509); MS(510)
AII0107-6-058-015,whole rock,49.36,1.75,15.25,9.32,1.4,,,0.18,7.98,10.72,2.69,0.36,0.15,3.8,14.6,,12.7,4.12,1.52,,1.03,,,,,4.03,0.59,11.6,,48,313,,63,,,,,,2,154,,6.6,40,,122,,,,,275,38,87,113,,0.51307,,,,-53.98,-7.235,-1316 to -2074,SPREADING_CENTER;SOUTHWEST INDIAN RIDGE,AII0107-6-058,AII107,dredge,"basalt, basalt, microporph ol-pl basalt",,"Le roex,1983(25)",EMP(507); INAA(509); MS(510)
ISL1176-075-002,whole rock,50.27,2.21,14.99,,,10.42,,0.18,5.42,10.08,3.81,0.85,0.35,18.1,41.3,,22.5,5.55,1.88,,0.92,,,,,3.38,0.52,167,,44,69,,61,17.6,,,,,24,36,,16.5,37,,279,,,,,285,35,95,190,0.70311,0.51294,,,,-52.828,11.37,,SPREADING_CENTER;SOUTHWEST INDIAN RIDGE,ISL1176-075,IO11/76,dredge,"basalt, basalt, aphyric",,"Le roex,1983(25)",EMP(507); INAA(509); MS(510)
AII0093-5-006-013,glass,50.97,1.26,17.25,,,7.86,,,8.62,10.1,3.66,0.18,0.16,,,,10.87,3.26,,,,,,,,,,24,,,302,,68,,,,,,,190,0.792,2.03,28,,180.9,,0.277,,0.088,173,26,58,135,0.70291,0.513042,17.837,15.445,37.716,-27.6,65.83,-5432,SPREADING_CENTER;SOUTHWEST INDIAN RIDGE,AII0093-5-006,AII093,dredge,"basalt, basalt, ",fresh,"Mahoney,1989(28); Melson,(1086); White,1993(477)",EMP(3262); ICPAE(568); MS(563); MS(566); MS-ID(1118); MS-ID(564)
MELANTP-111-010,glass,51.38,1.72,17.04,,,8.41,,,7.27,9.62,4.34,0.223,0.23,,,,15.2,4.35,,,,,,,,,,14,,42,245,,58,,,,,,,148,,1.29,30.3,,224.5,,,,,229,33,68,166,0.70266,0.5131,17.842,15.433,37.717,-28.85,61.9,-5150 to -5185,SPREADING_CENTER;SOUTHWEST INDIAN RIDGE,MELANTP-111,ANTIPODE,dredge,"basalt, basalt, ",fresh,"Mahoney,1989(28); Melson,(1086)",DCP(567); EMP(3262); MS(561); MS(566); MS-ID(562)
MELANTP-128-014,glass,52.15,1.12,16,,,8.5,,,8.03,11.76,2.53,0.08,0.12,,,,7.94,2.84,,,,,,,,,,,,,,,,,,,,,,,,1.19,,,104,,,,,,,,,0.7028,0.51308,18.01,15.467,37.856,-13.02,66.32,-1760 to -1885,SPREADING_CENTER;CENTRAL INDIAN RIDGE,MELANTP-128,ANTIPODE,dredge,"basalt, basalt, ",fresh,"Mahoney,1989(28); Melson,(1086)",EMP(3262); MS(563); MS(566); MS-ID(564)
MELANTP-077-005,glass,,,,,,,,,,,,0.034,0.07,,,,5.51,2.21,,,,,,,,,,12,,,366,,125,,,,,,,130,,2.4,27.9,,67.2,,,,,267,29,60,61,0.70356,0.512957,18.602,15.572,38.663,-18.34,63.64,-3415 to -3465,SPREADING_CENTER;CENTRAL INDIAN RIDGE,MELANTP-077,ANTIPODE,dredge,"basalt, basalt, ",fresh,"Mahoney,1989(28)",DCP(567); MS(561); MS(566); MS-ID(562)
MELANTP-079-004,glass,,,,,,,,,,,,0.434,0.166,,,,11.83,3.39,,,,,,,,,,,,,508,,135,,,,,,,191,,7.06,34.7,,141.1,,,,,230,23,72,89,0.70329,0.51302,,,,-18.18,64.64,-3365 to -3675,SPREADING_CENTER;CENTRAL INDIAN RIDGE,MELANTP-079,ANTIPODE,dredge,"basalt, basalt, ",fresh,"Mahoney,1989(28)",DCP(567); MS(561); MS-ID(562)
MELANTP-093-025,glass,49.68,1.5,16.64,,,8.42,,,7.29,11,2.86,0.64,0.274,,,,15.82,3.89,,,,,,,,,,256,,,270,,137,,,,,,,194,,17.8,30.5,,236.3,,,,,238,31,83,144,0.70349,0.512925,18.839,15.604,39.077,-17.09,66.58,-2240,SPREADING_CENTER;CENTRAL INDIAN RIDGE,MELANTP-093,ANTIPODE,dredge,"basalt, basalt, ",fresh,"Mahoney,1989(28); Melson,(1086)",DCP(567); EMP(3262); MS(561); MS(566); MS-ID(562)
MELANTP-097-022,glass,51.08,1.5,14.84,,,10.07,,,7.4,10.88,2.72,0.265,0.167,,,,12.31,4.15,,,,,,,,,,45,,45,208,,70,,,,,,,91,,2.09,36.2,,115.1,,,,,309,35,81,112,0.70338,0.513008,18.392,15.49,38.308,-18.71,65.5,-3280 to -3380,SPREADING_CENTER;CENTRAL INDIAN RIDGE,MELANTP-097,ANTIPODE,dredge,"basalt, basalt, ",fresh,"Mahoney,1989(28); Melson,(1086)",DCP(567); EMP(3262); MS(561); MS(563); MS(566); MS-ID(562)
ARGCIRC-104-021,glass,50.95,1.18,15.37,,,9.29,,,7.96,12.44,2.36,0.058,0.107,,,,7.35,2.67,,,,,,,,,,8,,45,335,,81,,,,,,,94,,0.66,38.6,,100.5,,,,,279,29,66,84,0.70316,0.51307,18.354,15.517,38.214,-19.825,66.05,-2800 to -2810,SPREADING_CENTER;CENTRAL INDIAN RIDGE,ARGCIRC-104,CIRCE,dredge,"basalt, basalt, ",fresh,"Mahoney,1989(28); Melson,(1086)",DCP(567); EMP(3262); MS(563); MS(566); MS-ID(562)
ARGCIRC-105-011,glass,51.15,1.25,15.23,,,9.5,,,7.84,12.4,2.43,0.128,0.107,,,,7.19,2.66,,,,,,,,,,5,,47,381,,79,,,,,,,75,,0.43,39.7,,90.2,,,,,287,30,71,86,0.70296,0.513101,,,,-20.77,68.62,-2880 to -3130,SPREADING_CENTER;CENTRAL INDIAN RIDGE,ARGCIRC-105,CIRCE,dredge,"basalt, basalt, ",fresh,"Mahoney,1989(28); Melson,(1086)",DCP(567); EMP(3262); MS(561); MS-ID(562)
ARGCIRC-107-010,glass,49.69,1.06,17.01,,,8.63,,,8.36,11.92,2.83,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,,,,,,0.141,,0.041,,,,,,0.513007,17.898,15.467,37.839,-24.35,69.833,-2915 to -2925,SPREADING_CENTER;SOUTHWEST INDIAN RIDGE,ARGCIRC-107,CIRCE,dredge,"basalt, basalt, ",fresh,"Mahoney,1989(28); Melson,(1086); White,1993(477)",EMP(3262); MS(565); MS(566); MS-ID(1118)
ARGCIRC-107-012,glass,49.92,1.11,17,,,8.7,,,8.47,11.81,2.79,0.1,0.098,,,,7.01,2.35,,,,,,,,,,17,,44,273,,125,,,,,,,75,,1.3,32.9,,155.2,,,,,160,24,61,83,0.70305,0.513032,,,,-24.35,69.833,-2915 to -2925,SPREADING_CENTER;SOUTHWEST INDIAN RIDGE,ARGCIRC-107,CIRCE,dredge,"basalt, basalt, ",fresh,"Mahoney,1989(28); Melson,(1086)",DCP(567); EMP(3262); MS(561); MS-ID(562)
ARGCIRC-093-026,glass,52.04,1.18,15.97,,,8.19,,,7.79,11.71,2.82,0.16,0.14,,,,8.57,2.83,,,,,,,,,,,,,,,,,,,,,,,,2.43,,,127.2,,,,,,,,,0.70298,0.513115,18.137,15.505,38.121,-12.417,65.93,-3540 to -3880,SPREADING_CENTER;CENTRAL INDIAN RIDGE,ARGCIRC-093,CIRCE,dredge,"basalt, basalt, ",fresh,"Mahoney,1989(28); Melson,(1086)",EMP(3262); MS(561); MS(566); MS-ID(562)
ARGCIRC-094-010,glass,51.56,1.34,15.1,,,9.48,,,7.47,11.79,2.56,0.1,0.13,,,,8.45,2.94,,,,,,,,,,,,,,,,,,,,,,,,1.98,,,107.9,,,,,,,,,0.70294,0.513096,,,,-15.55,66.75,-2812 to -2955,SPREADING_CENTER;CENTRAL INDIAN RIDGE,ARGCIRC-094,CIRCE,dredge,"basalt, basalt, ",fresh,"Mahoney,1989(28); Melson,(1086)",EMP(3262); MS(561); MS-ID(562)
DUF0034-002,glass,,,,,,,,,,,,0.05,0.132,,,,,,,,,,,,,,,4,,54,367,,85,,,,,,,219,,,36.2,,133,,,,,251,34,84,118,0.70269,0.513001,18.114,15.505,37.839,-33.76,56.27,-3800,SPREADING_CENTER;SOUTHWEST INDIAN RIDGE,DUF0034-002,MD34,dredge,"basalt, basalt, ",fresh,"Hamelin,1985(327); Mahoney,1989(28)",DCP(567); MS(769)
DUF0034-003,glass,,,,,,,,,,,,0.051,0.128,,,,6.655,2.691,,,0.72,,,,,,,13,,49,346,,115,,,,,,,131,0.266,0.61,38.1,,68.82,,,,,310,34,84,95,0.70279,0.513108,18.218,15.496,38.001,-37.71,49.882,-3260,SPREADING_CENTER;SOUTHWEST INDIAN RIDGE,DUF0034-003,MD34,dredge,"basalt, basalt, ",fresh,"Mahoney,1989(28); Mahoney,1992(29); Schiano,1997(34)",DCP(567); INAA(582); MS(223); MS-ID(225)
DUF0034-003,whole rock,49.95,1.19,15.16,,,9.96,,0.22,8.56,11.67,1.99,0.06,0.11,,,,,,,,,,,,,,,1.7,,52,32,,107,,,,,,2.9,151,,,35,,69,,,,,297,34,86,72,,,,,,-37.71,49.882,-3260,SPREADING_CENTER;SOUTHWEST INDIAN RIDGE,DUF0034-003,MD34,dredge,"basalt, basalt, ",fresh,"Le roex,1989(26)",XRF(212)
DUF0034-004,glass,49.84,1.7,14.84,,,10.21,,0.16,7,10.58,3.29,0.207,0.165,,,,,,,,0.89,,,,,,,59,,46,230,,90,,2.988,,,,,68,,,36.1,,119,,,,,292,37,87,110.24,0.70299,0.513068,17.73,15.485,37.615,-40.98,43.7,-3700,SPREADING_CENTER;SOUTHWEST INDIAN RIDGE,DUF0034-004,MD34,dredge,"basalt, basalt, ",fresh,"David,2000(1056); Hamelin,1985(327); Mahoney,1989(28); Schiano,1997(34)",DCP(567); EMP(583); INAA(582); MS(579); MS(769); MS-ID(2957)
DUF0034-006,glass,,,,,,,,,,,,0.189,0.229,,,,15.08,4.725,,,,,,,,,,59,,,222,,89,,,,,,,95,0.709,3.15,36.5,,136.6,,,,,293,42,93,92,0.70288,0.51306,18.366,15.503,38.066,-44.18,38.795,-2190,SPREADING_CENTER;SOUTHWEST INDIAN RIDGE,DUF0034-006,MD34,dredge,"basalt, basalt, ",fresh,"Mahoney,1989(28); Mahoney,1992(29)",DCP(567); MS(223); MS-ID(225)
DUF0034-006,whole rock,48.7,1.45,16.77,,,9.31,,0.19,6.72,11.51,2.34,0.16,0.18,,,,,,,,,,,,,,,42,,42,248,,65,,,,,,8.2,85,,2.7,31,,146,,,,,258,39,85,117,,,,,,-44.18,38.795,-2190,SPREADING_CENTER;SOUTHWEST INDIAN RIDGE,DUF0034-006,MD34,dredge,"basalt, basalt, ",fresh,"Le roex,1989(26)",XRF(212)
DUF0034-007,glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7028,0.513041,18.237,15.499,37.976,-44.8067,36.302,-1500,SPREADING_CENTER;SOUTHWEST INDIAN RIDGE,DUF0034-007,MD34,dredge,"basalt, basalt, ",fresh,"Hamelin,1985(327)",MS(769)
DUF0034-007,whole rock,49.9,1.7,15.07,,,10.19,,0.22,6.58,11.65,3.08,0.52,0.21,,,,,,,,,,,,,,,68,,46,95,,69,,,,,,14.5,48,,9,34,,202,,,,,301,34,96,115,,,,,,-44.8067,36.302,-1500,SPREADING_CENTER;SOUTHWEST INDIAN RIDGE,DUF0034-007,MD34,dredge,"basalt, basalt, ",fresh,"Le roex,1989(26)",XRF(212)
DUF0023-004,glass,49.61,1.37,16.57,,,7.7,,0.32,9.3,10.11,3.53,0.09,,,,,,,,,0.65,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,0.702781,0.513189,17.785,15.473,37.536,-25.864,70.323,-4000 to -4300,SPREADING_CENTER;SOUTHEAST INDIAN RIDGE,DUF0023-004,MD23,dredge,"basalt, basalt, ",fresh,"Schiano,1997(34)",EMP(583); INAA(582); MS(579)
DUF0037-007-004-D1,glass,50.79,1.37,15.46,,,9.8,,0.32,7.55,12.11,3.29,0.07,,,,,,,,,0.67,,,,,,,,,,,,,,,,,,,76,,,,,,,,,,,,,,,,,,,-32.665,77.596,-2700,SPREADING_CENTER;SOUTHEAST INDIAN RIDGE,DUF0037-004,MD37,dredge,"basalt, basalt, ",fresh,"Schiano,1997(34)",EMP(583); INAA(582)
