sample_id,material,SiO2,TiO2,Al2O3,FeO,Fe2O3,FeOT,Fe2O3T,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Ba,Co,Cr,Cs,Ga,Hf,K,Nb,Ni,Pb,Rb,Sb,Sc,Sn,Sr,Ta,Th,U,V,Y,Zn,Zr,Sr87_Sr86,Nd143_Nd144,Pb206_Pb204,Pb207_Pb204,Pb208_Pb204,latitude,longitude,elevation,tectonic_setting,station,expedition,sampling technique,rock type,alteration,reference,method
THO0175-007-001,glass,51.19,1.36,17.53,,,9.38,,0.15,7.51,12.28,3,0.13,0.14,,,,,,,,,,,,,,,20.45,,,,,,,,,,,,,,,,0.293,0.0955,,,,,,,,,,48.2,-129.18,-2190 to -2275,SPREADING_CENTER;JUAN DE FUCA RIDGE,THO0175-007,TT175,dredge,"basalt, basalt, aphyric",fresh,"Goldstein,1991(564); Karsten,1988(542); Volpe,1993(570)",EMP(384); MS-ID(2354); MS-ID(866)
THO0175-007-001,whole rock,49.48,1.5,15.46,,,,10.04,0.18,7.73,11.89,2.96,0.21,0.14,,,,,,,,,,,,,,,,,329,,17,,,4.8,96,,2.8,,,,156,,,,249,28.5,80,107,,,,,,48.2,-129.18,-2190 to -2275,SPREADING_CENTER;JUAN DE FUCA RIDGE,THO0175-007,TT175,dredge,"basalt, basalt, aphyric",fresh,"Karsten,1990(237)",XRF(488)
THO0175-059-001,glass,50.34,1.67,14.56,,,10.01,10.86,0.19,6.94,11.48,2.83,0.48,0.26,,,,,,,,,,,,,,,65.25,,142,,17,,,15,48,,6,,,,209,,0.822,0.283,305,28.4,93,135,,,,,,47.9667,-129.1333,-2120 to -2420,SPREADING_CENTER;JUAN DE FUCA RIDGE,THO0175-059,TT175,dredge,"basalt, basalt, aphyric",fresh,"Goldstein,1991(564); Karsten,1990(237); Liias,1986(154); Volpe,1993(570)",EMP(487); MS-ID(2354); MS-ID(866); XRF(265)
THO0175-059-001,whole rock,50.34,1.68,14.56,,,,10.86,0.19,6.94,11.48,2.83,0.48,0.26,,,,,,,,,,,,,,,,,142,,17,,,15,48,,6,,,,209,,,,305,28.4,93,135,,,,,,47.9667,-129.1333,-2120 to -2420,SPREADING_CENTER;JUAN DE FUCA RIDGE,THO0175-059,TT175,dredge,"basalt, basalt, aphyric",fresh,"Karsten,1990(237)",XRF(488)
THO0152-077-007,glass,47.9,1.3,16.25,,,9.45,,0.16,9.56,11.8,2.8,0.03,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70233,0.51324,,,,45.671,-130.061,-1920 to -2060,SPREADING_CENTER;JUAN DE FUCA RIDGE,THO0152-077,TT152,dredge,"basalt, basalt, aphyric",,"Dixon,1988(22); Eaby,1984(151); Rhodes,1990(163)",EMP(390); EMP(470); MS(357)
THO0152-077-007,whole rock,47.19,1.27,16.32,,,,10.91,0.18,10.69,11.24,2.43,0.03,0.1,2.3,9.6,,8.1,2.67,1.12,,,,,,,2.96,0.46,,,489,,16,2.1,,1.7,274,,0.4,,40.2,,138,1.1,,,222,27.2,80,86,,,,,,45.671,-130.061,-1920 to -2060,SPREADING_CENTER;JUAN DE FUCA RIDGE,THO0152-077,TT152,dredge,"basalt, basalt, aphyric",,"Rhodes,1990(163)",INAA(356); XRF(355)
THO0175-017-023,glass,50.18,1.24,14.4,,,9.95,,0.17,7.95,12.81,2.21,0.15,0.1,,,,10.03,3.15,,,,,,,,,,27.77,,,,,,,,,,,,,,,,0.33,0.104,,,,,0.70241,,,,,47.984,-129.085,-2003 to -2190,SPREADING_CENTER;JUAN DE FUCA RIDGE,THO0175-017,TT175,dredge,"basalt, basalt, massive; aphyric; vesicular",fresh,"Goldstein,1991(564); Karsten,1990(237); Sims,1995(568); Volpe,1993(570)",EMP(487); MS(877); MS-ID(2354); MS-ID(866); MS-ID(876)
THO0175-021-013,glass,51.23,1.66,14.84,,,9.77,,0.17,7.12,12.13,2.62,0.5,0.23,,,,,,,,,,,,,,,73.65,,,,,,,,,,,,,,,,0.929,0.316,,,,,,,,,,47.9533,-129.817,-2130 to -2310,SPREADING_CENTER;JUAN DE FUCA RIDGE,THO0175-021,TT175,dredge,"basalt, basalt, glass fragment or breccia; aphyric",fresh,"Goldstein,1991(564); Karsten,1988(542); Volpe,1993(570)",EMP(384); MS-ID(2354); MS-ID(866)
THO0175-026-012,glass,51.87,1.54,14.36,,,10.42,,0.18,7.04,11.82,2.74,0.18,0.14,,,,,,,,,,,,,,,30.49,,,,,,,,,,,,,,,,0.37,0.12,,,,,,,,,,47.965,-129.195,-2155 to -2290,SPREADING_CENTER;JUAN DE FUCA RIDGE,THO0175-026,TT175,dredge,"basalt, basalt, glass fragment or breccia; aphyric",fresh,"Goldstein,1991(564); Karsten,1988(542); Volpe,1993(570)",EMP(384); MS-ID(2354); MS-ID(866)
ALV1453-002,glass,51.22,1.44,14.94,,,9.84,,0.18,7.93,13.32,2.8,0.18,0.1,,,,,,,,,,,,,,,79.7,,,,,,,,,,,,,,,,,,,,,,,,,,,47.949,-129.1,-2150 to -2220,SPREADING_CENTER;JUAN DE FUCA RIDGE,ALV1453-002,ALVIN 1453,submersible,"basalt, basalt, ",fresh,"Karsten,1988(542); Volpe,1993(570)",EMP(384); MS-ID(2354)
AII0112-11-003-006,glass,50.37,1.7,14.24,,,8.46,,0.16,7.77,12.49,2.96,0.22,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.492,0.156,,,,,,,,,,47.895,-129.08,-2325,SPREADING_CENTER;JUAN DE FUCA RIDGE,AII0112-11-003,AII112,dredge,"basalt, basalt, pillow basalt; aphyric (rare plag)",fresh,"Goldstein,1991(564); Karsten,1988(542)",EMP(384); MS-ID(866)
THO0152-021,glass,50.6,1.9,13.71,,,12.56,,0.19,7.11,10.88,2.6,0.16,0.18,,,,,,,,,,,,,,,19.71,,,,,,,,,0.721,,,,,,,,0.129,,,,,0.70248,,,,,46.926,-129.262,-2410 to -2520,SPREADING_CENTER;JUAN DE FUCA RIDGE,THO0152-021,TT152,dredge,"basalt, basalt, ",fresh,"Dixon,1988(22); Eaby,1984(151); Kadko,1985(735); Volpe,1993(570)",EMP(390); EMP(469); MS(468); MS-ID(2354); MS-ID(888)
THO0152-021,whole rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.723,,,,,,,0.441,0.177,,,,,,0.51322,18.401,15.465,37.814,46.926,-129.262,-2410 to -2520,SPREADING_CENTER;JUAN DE FUCA RIDGE,THO0152-021,TT152,dredge,"basalt, basalt, ",fresh,"Hegner,1987(204)",MS(478); MS-ID(479)
TULCUR2-014-001,glass,49.83,1.11,16.08,8.87,,,,0.16,9.02,12.46,2.27,0.14,0.1,,9.72,,9.83,2.29,0.82,,0.53,,,,,2.41,0.32,37,44.12,308,,,1.95,,6,82,,5,,39.3,,119,0.44,0.31,0.17,241,20,55,72,0.70244,0.51318,18.68,15.48,37.98,48.392,-129.073,-2570,SPREADING_CENTER;JUAN DE FUCA RIDGE,TULCUR2-014,CUROSS2,camera tow,"basalt, basalt, ",fresh,"Cousens,1995(79)",EMP(407); INAA(411); MS(412); XRF(409)
TULCUR2-016-004,glass,49.25,2.35,15.68,10.72,,,,0.18,6.94,10.48,3.08,0.51,0.29,12.7,29,,20,5.34,1.54,,0.95,,,,,3.72,0.6,64,45.08,259,,,4.16,,18,139,,10,,36.7,,235,1.36,1.04,0.27,344,33,84,165,0.70259,0.51313,18.76,15.52,38.18,48.167,-129.118,-2700,SPREADING_CENTER;JUAN DE FUCA RIDGE,TULCUR2-016,CUROSS2,camera tow,"basalt, basalt, ",fresh,"Cousens,1995(79)",EMP(407); INAA(411); MS(412); XRF(409)
