sample_id,material,SiO2,TiO2,Al2O3,FeO,Fe2O3,FeOT,Fe2O3T,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Ba,Be,Co,Cr,Cs,Cu,Ga,Hf,K,Li,Mo,Nb,Ni,Pb,Rb,Sc,Sn,Sr,Ta,Th,Ti,U,V,W,Y,Zn,Zr,Sr87_Sr86,Nd143_Nd144,Pb206_Pb204,Pb207_Pb204,Pb208_Pb204,Pd,latitude,longitude,elevation,tectonic,station,expedition,sampling technique,rock type,alteration,reference,method
KAK820316-035-006,ROCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70371,,,,,,-9.1333,157.9673,-380 to -410,BACK-ARC_BASIN;WOODLARK BASIN,KAK820316-035,KK820316,dredge,"basalt; basalt; qz-tholeiite, ",,"Trull,1988(750)",MS(2445)
ALV1881-007,WR,53.95,1.32,16.81,,,8.47,,0.16,5.12,9.17,3.44,0.61,0.18,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.58,143.27,-3100 to -3300,BACK-ARC_BASIN;MARIANA TROUGH,ALV1881-007,ALVIN 1881,submersible,"basalt; basalt; , sparsely phyric; ca. 10% plag-mc, ca. 3% ol-mc, ca. 1% cpx-mc; ca. 20% vesicles; hyalopilitic gm with abundant glass",fresh,"Jackson,1989(755)",AAS(2452); XRF(2451)
MIR2177-009,WR,50.8,1.19,17.16,5.21,2.13,,,0.12,5.92,10.21,3.82,1.1,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.7755,150.9738,-931,BACK-ARC_BASIN;WOODLARK BASIN,MIR2177-009,AK. MST. KELDYSH 21,submersible,"basalt; basalt; , 10-15% pc, plag>cpx>ol; clots of cpx+plag",,"Dril,1997(855)",WET(2468); XRF(2465)
MIR2177-020,WR,53.18,1.25,16.25,6.11,1.42,,,0.13,7.06,7.73,4.2,1.36,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.7777,150.9925,-333,BACK-ARC_BASIN;WOODLARK BASIN,MIR2177-020,AK. MST. KELDYSH 21,submersible,"basalt; basalt; , 5-10% ol-pc",,"Dril,1997(855)",WET(2468); XRF(2465)
MIR2186-003,WR,52.11,2.36,16.73,5.21,3.18,,,0.12,4.19,8.11,4.56,1.07,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.7917,151.0295,-1165,BACK-ARC_BASIN;WOODLARK BASIN,MIR2186-003,AK. MST. KELDYSH 21,submersible,"basalt; basalt; , 1-2% ol-pc",,"Dril,1997(855)",WET(2468); XRF(2465)
MIR2186-005,WR,50.78,0.99,14.9,6.11,1.45,,,0.12,12.35,7.6,3.3,1.03,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.7847,151.0122,-1128,BACK-ARC_BASIN;WOODLARK BASIN,MIR2186-005,AK. MST. KELDYSH 21,submersible,"basalt; basalt; , 5-10% pc, ol>>plag",,"Dril,1997(855)",WET(2468); XRF(2465)
MIR2170-001,WR,49.93,1.72,15.73,7.9,2.21,,,0.16,7.73,10.4,3.17,0.9,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.9255,151.855,-2320,BACK-ARC_BASIN;WOODLARK BASIN,MIR2170-001,AK. MST. KELDYSH 21,submersible,"basalt; basalt; , 5-10% pc, ol>>plag",,"Dril,1997(855)",WET(2468); XRF(2465)
MIR2157-001,WR,50.79,1.83,16.8,7,2.67,,,0.16,6.15,9.59,3.55,0.49,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.9193,151.8127,-2463,BACK-ARC_BASIN;WOODLARK BASIN,MIR2157-001,AK. MST. KELDYSH 21,submersible,"basalt; basalt; , 5-10% pc, plag>>ol>cpx",,"Dril,1997(855)",WET(2468); XRF(2465)
MIR2157-005,WR,51.17,1.68,16.46,7.26,2.24,,,0.16,6.07,9.22,3.77,0.52,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.9045,151.8258,-2191,BACK-ARC_BASIN;WOODLARK BASIN,MIR2157-005,AK. MST. KELDYSH 21,submersible,"basalt; basalt; , 5-10% pc, plag>ol",,"Dril,1997(855)",WET(2468); XRF(2465)
MIR2192-003,WR,51.11,1.73,16.56,7.36,1.95,,,0.16,6.28,9.81,3.64,0.39,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.905,151.8167,-2220,BACK-ARC_BASIN;WOODLARK BASIN,MIR2192-003,AK. MST. KELDYSH 21,submersible,"basalt; basalt; , 20-25% pc, plag>cpx>ol",,"Dril,1997(855)",WET(2468); XRF(2465)
