sample_id,material,SiO2,TiO2,Al2O3,FeO,Fe2O3,FeOT,Fe2O3T,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Ba,Be,Co,Cr,Cs,Cu,Ga,Hf,K,Li,Mo,Nb,Ni,Pb,Rb,Sc,Sn,Sr,Ta,Th,Ti,U,V,W,Y,Zn,Zr,Sr87_Sr86,Nd143_Nd144,Pb206_Pb204,Pb207_Pb204,Pb208_Pb204,Pd,latitude,longitude,elevation,tectonic,station,expedition,sampling technique,rock type,alteration,reference,method
DAR0033-015-001-2,WR,50.6,1.16,15.89,,10.74,,,0.18,7.39,12.12,2.42,0.04,0.07,,,,,,,,,,,,,,,,,38,335,,106,,,,7,,,79,,,41,,94,,,,,318,,,86,,,,,,,,-18.883,-176.562,-2280 to -2310,BACK-ARC_BASIN;LAU BASIN,DAR0033-015,CD33,dredge,"basalt; basalt; , plag-phyric glass",fresh,"Pearce,1995(646)",AAS(338); COL(339)
DAR0033-015-001-4,WR,50.3,1.12,15.85,,10.85,,,0.17,7.32,12.32,2.43,0.04,0.07,,,,,,,,,,,,,,,,,40,337,,107,,,,7,,,75,,,45,,108,,,,,332,,,86,,,,,,,,-18.883,-176.562,-2280 to -2310,BACK-ARC_BASIN;LAU BASIN,DAR0033-015,CD33,dredge,"basalt; basalt; , plag-phyric glass",fresh,"Pearce,1995(646)",AAS(338); COL(339)
DAR0033-010-001-1,WR,52.3,2.61,12.06,,18.19,,,0.27,3.24,7.6,3.24,0.22,0.41,,,,,,,,,,,,,,,,,36,7,,50,,,,17,,,16,,5,38,,78,,,,,305,,,185,,,,,,,,-19.142,-176.527,-2260,BACK-ARC_BASIN;LAU BASIN,DAR0033-010,CD33,dredge,"basalt; basalt; fe-ti-basalt, vesicular plag-ol-cpx-phyric",fresh,"Pearce,1995(646)",AAS(338); COL(339)
DAR0033-010-001-3,WR,51.5,2.53,12.27,,18.39,,,0.27,3.3,7.92,3.34,0.17,0.43,,,,,,,,,,,,,,,,,38,7,,50,,,,18,,,15,,4,35,,80,,,,,288,,,187,,,,,,,,-19.142,-176.527,-2260,BACK-ARC_BASIN;LAU BASIN,DAR0033-010,CD33,dredge,"basalt; basalt; fe-ti-basalt, vesicular plag-ol-cpx-phyric",fresh,"Pearce,1995(646)",AAS(338); COL(339)
DAR0033-018-001-2,WR,48.4,1.16,17,,9.97,,,0.16,10.23,11.53,2.4,0.02,0.04,,,,,,,,,,,,,,,,,50,440,,109,,,,7,,,212,,,38,,101,,,,,266,,,72,,,,,,,,-19.717,-176.217,-2650,BACK-ARC_BASIN;LAU BASIN,DAR0033-018,CD33,dredge,"basalt; basalt; , glass fragment",fresh,"Pearce,1995(646)",AAS(338); COL(339)
DAR0033-041-002-1,WR,50.5,0.82,16.18,,8.86,,,0.15,8.11,12.82,1.84,0.06,0.06,,,,,,,,,,,,,,,,,43,399,,90,,,,6,,,85,,,33,,88,,,,,305,,,67,,,,,,,,-19.277,-176.173,-2980 to -3120,BACK-ARC_BASIN;LAU BASIN,DAR0033-041,CD33,dredge,"basalt; basalt; , moderately plag-phyric",fresh,"Pearce,1995(646)",AAS(338); COL(339)
DAR0033-041-003-2,WR,50.9,0.79,16.58,,8.79,,,0.15,8.13,12.95,1.84,0.06,0.05,,,,,,,,,,,,,,,,,41,397,,93,,,,6,,,89,,,34,,83,,,,,280,,,68,,,,,,,,-19.277,-176.173,-2980 to -3120,BACK-ARC_BASIN;LAU BASIN,DAR0033-041,CD33,dredge,"basalt; basalt; , moderately plag-phyric",fresh,"Pearce,1995(646)",AAS(338); COL(339)
DAR0033-022-006-1,WR,51.4,1.19,14.53,,11.84,,,0.19,7.06,11.08,2.39,0.06,0.09,,,,,,,,,,,,,,,,,42,80,,100,,,,7,,,50,,3,39,,76,,,,,406,,,94,,,,,,,,-19.688,-175.993,-2730,BACK-ARC_BASIN;LAU BASIN,DAR0033-022,CD33,dredge,"basalt; basalt; , aphyric glass",fresh,"Pearce,1995(646)",AAS(338); COL(339)
DAR0033-023-008-1,WR,51.7,0.96,15.46,,10.48,,,0.17,7.45,11.99,1.93,0.03,0.08,,,,,,,,,,,,,,,,,43,280,,86,,,,7,,,70,,,36,,80,,,,,340,,,83,,,,,,,,-20.567,-176.133,-2585 to -2625,BACK-ARC_BASIN;LAU BASIN,DAR0033-023,CD33,dredge,"basalt; basalt; , highly vesicular (up to 50%), aphyric to sparsely ol-phyric, glassy to fine-grained",fresh,"Pearce,1995(646)",AAS(338); COL(339)
DAR0033-023-008-2,WR,51.8,0.77,15.65,,9.09,,,0.16,7.9,12.24,1.87,0.11,0.06,,,,,,,,,,,,,,,,,35,320,,98,,,,7,,,81,,,36,,156,,,,,336,,,74,,,,,,,,-20.567,-176.133,-2585 to -2625,BACK-ARC_BASIN;LAU BASIN,DAR0033-023,CD33,dredge,"basalt; basalt; , highly vesicular (up to 50%), aphyric to sparsely ol-phyric, glassy to fine-grained",fresh,"Pearce,1995(646)",AAS(338); COL(339)
DAR0033-024-001-1,WR,51.1,1,14.96,,10.68,,,0.17,7.48,12.03,1.92,0.03,0.07,,,,,,,,,,,,,,,,,42,246,,89,,,,7,,,68,,,38,,61,,,,,365,,,87,,,,,,,,-20.917,-176.867,-2700,BACK-ARC_BASIN;LAU BASIN,DAR0033-024,CD33,dredge,"basalt; basalt; , plag-phyric glass",fresh,"Pearce,1995(646)",AAS(338); COL(339)
DAR0033-015-001-2,WR,,,,,,,,,,,,,,1.77,6.36,1.15,7.04,2.67,0.99,3.52,0.67,4.61,1.04,2.91,0.45,3.04,0.46,10.2,,,,,,,1.81,,,,1.06,,0.29,0.77,,,102,0.06,0.07,,0.02,,,28.1,,61.6,,,,,,,-18.883,-176.562,-2280 to -2310,BACK-ARC_BASIN;LAU BASIN,DAR0033-015,CD33,dredge,"basalt; basalt; , plag-phyric glass",fresh,"Pearce,1995(646)",ICPMS(340)
DAR0033-010-001-1,WR,,,,,,,,,,,,,,9.3,29.29,5.09,31.2,10.4,2.87,13.73,2.43,16.29,3.93,10.94,1.7,11.18,1.63,32.2,,,,,,,7.78,,,,6,,1.75,4.7,,,89,0.42,0.57,,0.18,,,118.4,,299,,,,,,,-19.142,-176.527,-2260,BACK-ARC_BASIN;LAU BASIN,DAR0033-010,CD33,dredge,"basalt; basalt; fe-ti-basalt, vesicular plag-ol-cpx-phyric",fresh,"Pearce,1995(646)",ICPMS(340)
DAR0033-010-001-3,WR,,,,,,,,,,,,,,8.67,29.88,5.09,30.15,10.78,3.09,13.96,2.58,17.47,4.04,11.58,1.81,11.7,1.74,29.2,,,,,,,8.12,,,,5.95,,2.04,6.06,,,86,0.47,0.56,,0.19,,,104.7,,297.4,,,,,,,-19.142,-176.527,-2260,BACK-ARC_BASIN;LAU BASIN,DAR0033-010,CD33,dredge,"basalt; basalt; fe-ti-basalt, vesicular plag-ol-cpx-phyric",fresh,"Pearce,1995(646)",ICPMS(340)
DAR0033-018-001-2,WR,,,,,,,,,,,,,,1.57,5.62,1.13,6.77,2.54,0.97,3.14,0.61,4.22,0.94,2.67,0.44,2.77,0.41,1.3,,,,,,,1.31,,,,0.29,,0.35,0.07,,,113,0.03,0.02,,0.01,,,25.4,,660,,,,,,,-19.717,-176.217,-2650,BACK-ARC_BASIN;LAU BASIN,DAR0033-018,CD33,dredge,"basalt; basalt; , glass fragment",fresh,"Pearce,1995(646)",ICPMS(340)
DAR0033-041-002-1,WR,,,,,,,,,,,,,,1.65,5.07,0.8,4.77,1.67,0.67,2.37,0.51,3.25,0.75,2.21,0.36,2.1,0.35,13.1,,,,,,,1.03,,,,1.28,,0.21,1.35,,,88,0.09,0.08,,0.04,,,18.6,,38.6,,,,,,,-19.277,-176.173,-2980 to -3120,BACK-ARC_BASIN;LAU BASIN,DAR0033-041,CD33,dredge,"basalt; basalt; , moderately plag-phyric",fresh,"Pearce,1995(646)",ICPMS(340)
DAR0033-041-003-2,WR,,,,,,,,,,,,,,1.63,5.06,0.87,4.99,1.83,0.71,2.33,0.47,3.21,0.78,1.9,0.34,2.09,0.35,13.8,,,,,,,1.1,,,,1.3,,0.78,1.33,,,87,0.09,0.08,,0.03,,,18.1,,36.7,,,,,,,-19.277,-176.173,-2980 to -3120,BACK-ARC_BASIN;LAU BASIN,DAR0033-041,CD33,dredge,"basalt; basalt; , moderately plag-phyric",fresh,"Pearce,1995(646)",ICPMS(340)
DAR0033-023-008-1,WR,,,,,,,,,,,,,,1.52,5.01,0.91,5.38,2.08,0.81,2.94,0.58,3.87,0.86,2.42,0.39,2.53,0.41,6.9,,,,,,,1.48,,,,0.71,,0.45,0.56,,,66,0.04,0.06,,0.02,,,25.4,,52.3,,,,,,,-20.567,-176.133,-2585 to -2625,BACK-ARC_BASIN;LAU BASIN,DAR0033-023,CD33,dredge,"basalt; basalt; , highly vesicular (up to 50%), aphyric to sparsely ol-phyric, glassy to fine-grained",fresh,"Pearce,1995(646)",ICPMS(340)
DAR0033-023-008-2,WR,,,,,,,,,,,,,,1.27,4.08,0.76,4.46,1.64,0.66,2.18,0.46,2.86,0.65,1.88,0.29,1.95,0.31,13.5,,,,,,,1.05,,,,0.54,,0.46,1.4,,,170,0.04,0.04,,0.03,,,18,,37.9,,,,,,,-20.567,-176.133,-2585 to -2625,BACK-ARC_BASIN;LAU BASIN,DAR0033-023,CD33,dredge,"basalt; basalt; , highly vesicular (up to 50%), aphyric to sparsely ol-phyric, glassy to fine-grained",fresh,"Pearce,1995(646)",ICPMS(340)
DAR0033-024-001-1,WR,,,,,,,,,,,,,,1.51,5.03,0.92,5.09,2.04,0.76,2.88,0.58,4.01,0.9,2.72,0.43,2.79,0.44,9.1,,,,,,,1.33,,,,0.67,,0.55,0.68,,,61,0.04,0.06,,0.02,,,24.6,,47.2,,,,,,,-20.917,-176.867,-2700,BACK-ARC_BASIN;LAU BASIN,DAR0033-024,CD33,dredge,"basalt; basalt; , plag-phyric glass",fresh,"Pearce,1995(646)",ICPMS(340)
KAK820316-005-015,GL,49.16,2.01,15.14,,,10.78,,0.18,7.45,10.68,2.9,0.19,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.658,-178.495,-1900 to -2200,BACK-ARC_BASIN;LAU BASIN,KAK820316-005,KK820316,dredge,"basalt; basalt; , ol-microphyric, skeletal ol-mc in a hyaline to hyalopilitic gm",fresh,"Sinton,1993(387)",EMP(536)
KAK820316-005-014,GL,49.53,2.11,15.48,,,10.29,,0.19,6.46,10.94,3.01,0.2,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.658,-178.495,-1900 to -2200,BACK-ARC_BASIN;LAU BASIN,KAK820316-005,KK820316,dredge,"basalt; basalt; , microphyric with skeletal ol-mc and skeletal plag-laths in hyaline to hyalopilitic gm",fresh,"Sinton,1993(387)",EMP(536)
KAK820316-016-012,GL,49.61,1.26,16.49,,,9.79,,0.16,8.38,12.09,2.65,0.09,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16.612,174.273,-2690 to -3475,BACK-ARC_BASIN;NORTH FIJI BASIN,KAK820316-016,KK820316,dredge,"basalt; basalt; tholeiite(ref-387);; , ol-phyric",fresh,"Sinton,1993(387)",EMP(536)
KAK820316-019-007,GL,49.252,2.04,15.85,,,10.13,,0.16,6.41,10.93,3,0.68,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.543,173.477,-2350,BACK-ARC_BASIN;NORTH FIJI BASIN,KAK820316-019,KK820316,dredge,"basalt; basalt; transitional basalt(ref-387);; , ol- and plag-phyric; ol-pc (<3mm) skeletal with abundant sp-inclusions, some ol-pc partially resorbed; plag-mc are 1-3mm skeletal laths; up to 10% vesicles(ref-387);ol- and plag-phyric; ol-pc (<3mm) slightly to moderately skeltal with abundant sp-inclusio",fresh,"Sinton,1993(387)",EMP(536)
KAK820316-020-003,GL,49.802,2.16,16.23,,,8.79,,0.13,6.29,10.76,3,0.81,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.517,171.973,-4550,BACK-ARC_BASIN;NORTH FIJI BASIN,KAK820316-020,KK820316,dredge,"basalt; basalt; transitional basalt(ref-387);; , ol-phyric with 1mm skeletal plag-mc in a glassy to incipiently crystallized gm; ol-pc typically have sp-inclusions, vesicular",fresh,"Sinton,1993(387)",EMP(536)
KAK820316-020-016,GL,48.872,2.08,16.37,,,8.76,,0.12,6.16,10.79,2.97,0.88,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.517,171.973,-4550,BACK-ARC_BASIN;NORTH FIJI BASIN,KAK820316-020,KK820316,dredge,"basalt; basalt; transitional basalt(ref-387);; , ol-phyric with 1mm skeletal plag-mc in a glassy to incipiently crystallized gm; ol-pc typically have sp-inclusions, vesicular",fresh,"Sinton,1993(387)",EMP(536)
KAK820316-005-014,GL,49.53,2.11,15.48,,,10.29,,0.19,6.46,10.94,3.01,0.2,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.658,-178.495,-1900 to -2200,BACK-ARC_BASIN;LAU BASIN,KAK820316-005,KK820316,dredge,"basalt; basalt; , microphyric with skeletal ol-mc and skeletal plag-laths in hyaline to hyalopilitic gm",fresh,"Sinton,1993(387)",FPHOT(538); TITR(539); XRF(537)
KAK820316-005-014,WR,48.38,2.05,14.95,,,10.79,,0.19,7.87,10.43,2.93,0.43,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.658,-178.495,-1900 to -2200,BACK-ARC_BASIN;LAU BASIN,KAK820316-005,KK820316,dredge,"basalt; basalt; , microphyric with skeletal ol-mc and skeletal plag-laths in hyaline to hyalopilitic gm",fresh,"Sinton,1993(387)",FPHOT(538); TITR(539); XRF(537)
KAK820316-005-015,GL,49.16,2.01,15.14,,,10.78,,0.18,7.45,10.68,2.9,0.19,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.658,-178.495,-1900 to -2200,BACK-ARC_BASIN;LAU BASIN,KAK820316-005,KK820316,dredge,"basalt; basalt; , ol-microphyric, skeletal ol-mc in a hyaline to hyalopilitic gm",fresh,"Sinton,1993(387)",FPHOT(538); TITR(539); XRF(537)
KAK820316-005-015,WR,49,2.01,14.72,,,11.01,,0.21,8.39,10.38,2.94,0.21,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.658,-178.495,-1900 to -2200,BACK-ARC_BASIN;LAU BASIN,KAK820316-005,KK820316,dredge,"basalt; basalt; , ol-microphyric, skeletal ol-mc in a hyaline to hyalopilitic gm",fresh,"Sinton,1993(387)",FPHOT(538); TITR(539); XRF(537)
KAK820316-005-014,WR,,,,,,,,,,,,,,,7,,,,,,,,,,,,,30,,,285,,76,20,,,,,5,146,1.8,7,,,165,,,,,365,,43,100,146,,,,,,,-15.658,-178.495,-1900 to -2200,BACK-ARC_BASIN;LAU BASIN,KAK820316-005,KK820316,dredge,"basalt; basalt; , microphyric with skeletal ol-mc and skeletal plag-laths in hyaline to hyalopilitic gm",fresh,"Sinton,1993(387)",XRF(537)
KAK820316-005-014,GL,,,,,,,,,,,,,,2,7,,,,,,,,,,,,,30,,,278,,75,20,,,,,4,144,,4,,,157,,,,,356,,41,97,140,,,,,,,-15.658,-178.495,-1900 to -2200,BACK-ARC_BASIN;LAU BASIN,KAK820316-005,KK820316,dredge,"basalt; basalt; , microphyric with skeletal ol-mc and skeletal plag-laths in hyaline to hyalopilitic gm",fresh,"Sinton,1993(387)",XRF(537)
KAK820316-005-015,WR,,,,,,,,,,,,,,,9,,,,,,,,,,,,,288,,,291,,78,22,,,,,3,148,,4,,,159,,,,,363,,42,100,142,,,,,,,-15.658,-178.495,-1900 to -2200,BACK-ARC_BASIN;LAU BASIN,KAK820316-005,KK820316,dredge,"basalt; basalt; , ol-microphyric, skeletal ol-mc in a hyaline to hyalopilitic gm",fresh,"Sinton,1993(387)",XRF(537)
KAK820316-005-015,GL,,,,,,,,,,,,,,,5,,,,,,,,,,,,,31,,,278,,74,22,,,,,4,153,,3,,,158,,,,,358,,41,97,139,,,,,,,-15.658,-178.495,-1900 to -2200,BACK-ARC_BASIN;LAU BASIN,KAK820316-005,KK820316,dredge,"basalt; basalt; , ol-microphyric, skeletal ol-mc in a hyaline to hyalopilitic gm",fresh,"Sinton,1993(387)",XRF(537)
KAK820316-016-012,GL,,,,,,,,,,,,,,,5,,,,,,,,,,,,,3,,,383,,172,17,,,,,1,220,,1,,,128,,,,,289,,27,74,73,,,,,,,-16.612,174.273,-2690 to -3475,BACK-ARC_BASIN;NORTH FIJI BASIN,KAK820316-016,KK820316,dredge,"basalt; basalt; tholeiite(ref-387);; , ol-phyric",fresh,"Sinton,1993(387)",XRF(537)
KAK820316-019-007,GL,,,,,,,,,,,,,,19,28,,,,,,,,,,,,,199,,,430,,100,19,,,,,24,159,2,18,,,249,,2,,,286,,32,96,162,,,,,,,-13.543,173.477,-2350,BACK-ARC_BASIN;NORTH FIJI BASIN,KAK820316-019,KK820316,dredge,"basalt; basalt; transitional basalt(ref-387);; , ol- and plag-phyric; ol-pc (<3mm) skeletal with abundant sp-inclusions, some ol-pc partially resorbed; plag-mc are 1-3mm skeletal laths; up to 10% vesicles(ref-387);ol- and plag-phyric; ol-pc (<3mm) slightly to moderately skeltal with abundant sp-inclusio",fresh,"Sinton,1993(387)",XRF(537)
KAK820316-020-003,GL,,,,,,,,,,,,,,19,36,,,,,,,,,,,,,234,,,372,,72,19,,,,,27,188,2,20,,,245,,3,,,280,,28,85,176,,,,,,,-13.517,171.973,-4550,BACK-ARC_BASIN;NORTH FIJI BASIN,KAK820316-020,KK820316,dredge,"basalt; basalt; transitional basalt(ref-387);; , ol-phyric with 1mm skeletal plag-mc in a glassy to incipiently crystallized gm; ol-pc typically have sp-inclusions, vesicular",fresh,"Sinton,1993(387)",XRF(537)
KAK820316-020-016,GL,,,,,,,,,,,,,,18,30,,,,,,,,,,,,,224,,,343,,67,19,,,,,30,176,2,20,,,242,,3,,,270,,28,83,177,,,,,,,-13.517,171.973,-4550,BACK-ARC_BASIN;NORTH FIJI BASIN,KAK820316-020,KK820316,dredge,"basalt; basalt; transitional basalt(ref-387);; , ol-phyric with 1mm skeletal plag-mc in a glassy to incipiently crystallized gm; ol-pc typically have sp-inclusions, vesicular",fresh,"Sinton,1993(387)",XRF(537)
KAK820316-005-014,GL,,,,,,,,,,,,,,,,,11.21,4.76,,,,,,,,,,,,,,,,,,1370,,,,,,3.53,,,140,,,,,,,,,,0.703482,0.513051,,,,,-15.658,-178.495,-1900 to -2200,BACK-ARC_BASIN;LAU BASIN,KAK820316-005,KK820316,dredge,"basalt; basalt; , microphyric with skeletal ol-mc and skeletal plag-laths in hyaline to hyalopilitic gm",fresh,"Sinton,1993(387)",MS(541); MS-ID(542)
KAK820316-005-015,GL,,,,,,,,,,,,,,,,,14.09,4.68,,,,,,,,,,,,,,,,,,1440,,,,,,3.21,,,152,,,,,,,,,,0.703317,0.513118,,,,,-15.658,-178.495,-1900 to -2200,BACK-ARC_BASIN;LAU BASIN,KAK820316-005,KK820316,dredge,"basalt; basalt; , ol-microphyric, skeletal ol-mc in a hyaline to hyalopilitic gm",fresh,"Sinton,1993(387)",MS(541); MS-ID(542)
KAK820316-006-052,GL,,,,,,,,,,,,,,,,,5.79,1.99,,,,,,,,,,,,,,,,,,950,,,,,,1.28,,,155,,,,,,,,,,0.703257,0.512968,,,,,-16.612,174.273,-2690 to -3475,BACK-ARC_BASIN;LAU BASIN,KAK820316-006,KK820316,dredge,"basalt; basalt; tholeiite(ref-387);; , ",fresh,"Sinton,1993(387)",MS(541); MS-ID(542)
KAK820316-006-054,GL,,,,,,,,,,,,,,,,,6.08,2.1,,,,,,,,,,,,,,,,,,755,,,,,,1.37,,,174,,,,,,,,,,0.703434,0.513017,,,,,-16.612,174.273,-2690 to -3475,BACK-ARC_BASIN;LAU BASIN,KAK820316-006,KK820316,dredge,"basalt; basalt; tholeiite(ref-387);; , ",fresh,"Sinton,1993(387)",MS(541); MS-ID(542)
KAK820316-016-012,GL,,,,,,,,,,,,,,,,,7.03,2.54,,,,,,,,,,,,,,,,,,557,,,,,,0.58,,,109,,,,,,,,,,0.703407,0.513061,,,,,-16.612,174.273,-2690 to -3475,BACK-ARC_BASIN;NORTH FIJI BASIN,KAK820316-016,KK820316,dredge,"basalt; basalt; tholeiite(ref-387);; , ol-phyric",fresh,"Sinton,1993(387)",MS(541); MS-ID(542)
KAK820316-019-007,GL,,,,,,,,,,,,,,,,,18.65,4.76,,,,,,,,,,,,,,,,,,3600,,,,,,15.4,,,216,,,,,,,,,,0.703589,0.512849,,,,,-13.543,173.477,-2350,BACK-ARC_BASIN;NORTH FIJI BASIN,KAK820316-019,KK820316,dredge,"basalt; basalt; transitional basalt(ref-387);; , ol- and plag-phyric; ol-pc (<3mm) skeletal with abundant sp-inclusions, some ol-pc partially resorbed; plag-mc are 1-3mm skeletal laths; up to 10% vesicles(ref-387);ol- and plag-phyric; ol-pc (<3mm) slightly to moderately skeltal with abundant sp-inclusio",fresh,"Sinton,1993(387)",MS(541); MS-ID(542)
KAK820316-020-003,GL,,,,,,,,,,,,,,,,,,5.11,,,,,,,,,,,,,,,,,,3400,,,,,,11.3,,,270,,,,,,,,,,0.70372,0.512823,,,,,-13.517,171.973,-4550,BACK-ARC_BASIN;NORTH FIJI BASIN,KAK820316-020,KK820316,dredge,"basalt; basalt; transitional basalt(ref-387);; , ol-phyric with 1mm skeletal plag-mc in a glassy to incipiently crystallized gm; ol-pc typically have sp-inclusions, vesicular",fresh,"Sinton,1993(387)",MS(541); MS-ID(542)
KAK820316-020-016,GL,,,,,,,,,,,,,,,,,21.9,4.93,,,,,,,,,,,,,,,,,,1960,,,,,,9.8,,,256,,,,,,,,,,0.703791,0.512821,,,,,-13.517,171.973,-4550,BACK-ARC_BASIN;NORTH FIJI BASIN,KAK820316-020,KK820316,dredge,"basalt; basalt; transitional basalt(ref-387);; , ol-phyric with 1mm skeletal plag-mc in a glassy to incipiently crystallized gm; ol-pc typically have sp-inclusions, vesicular",fresh,"Sinton,1993(387)",MS(541); MS-ID(542)
KAK84028-3-007-001,WR,49.7,1.13,16.85,,,,10.53,0.17,7.41,11.27,2.62,0.48,0.18,,,,,,,,,,,,,,,39,,,228,,66,,,,,,,92,,,39,,249,,,,,309,,24,,77,,,,,,,30.94,139.775,-1800 to -2000,BACK-ARC_BASIN;SUMISU BASIN,KAK84028-3-007,KK84028,dredge,"basalt; basalt; , ",fresh,"Fryer,1990(255)",DCP(743)
KAK84028-3-008-001,WR,48.47,1,17.3,,,,10.68,0.17,6.46,12.48,2.31,0.23,0.2,,,,,,,,,,,,,,,24,,,0,,92,,,,,,,41,,,44,,257,,,,,335,,22,,56,,,,,,,30.897,139.767,-1980 to -2225,BACK-ARC_BASIN;SUMISU BASIN,KAK84028-3-008,KK84028,dredge,"basalt; basalt; , ",fresh,"Fryer,1990(255)",DCP(743)
KAK84028-3-015-001,WR,49.8,1.17,16.6,,,,11.4,0.19,7.18,10.8,2.7,0.46,0.2,,,,,,,,,,,,,,,41,,,178,,60,,,,,,,73,,,37,,245,,,,,337,,24,,72,,,,,,,31.122,139.915,-1750 to -1940,BACK-ARC_BASIN;SUMISU BASIN,KAK84028-3-015,KK84028,dredge,"basalt; basalt; , ",fresh,"Fryer,1990(255)",DCP(743)
KAK84028-3-016-004,WR,51.1,0.73,16.55,,,,10.9,0.2,6.2,11,2.15,0.29,0.1,,,,,,,,,,,,,,,41,,,58,,58,,,,,,,29,,,,,197,,,,,303,,20,75,54,,,,,,,31.11,139.973,-1410 to -1950,BACK-ARC_BASIN;SUMISU BASIN,KAK84028-3-016,KK84028,dredge,"basalt; basalt; , ",fresh,"Fryer,1990(255)",DCP(743)
KAK84028-3-016-012,WR,53.8,0.9,16.1,,,,11.8,0.2,4.45,8.9,3.05,0.56,0.11,,,,,,,,,,,,,,,81,,,29,,27,,,,,,,13,,,,,205,,,,,310,,19,79,49,,,,,,,31.11,139.973,-1410 to -1950,BACK-ARC_BASIN;SUMISU BASIN,KAK84028-3-016,KK84028,dredge,"basalt; basalt; , ",fresh,"Fryer,1990(255)",DCP(743)
KAK84028-3-015-001,WR,,,,,,,,,,,,,,,10.3,,9,2.7,1.1,3.5,,3.7,,2.2,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.122,139.915,-1750 to -1940,BACK-ARC_BASIN;SUMISU BASIN,KAK84028-3-015,KK84028,dredge,"basalt; basalt; , ",fresh,"Fryer,1990(255)",NN(744)
KAK84028-3-007-001,WR,,,,,,,,,,,,,,,12.5,,10,3,1.1,3.6,,3.9,,2.3,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.94,139.775,-1800 to -2000,BACK-ARC_BASIN;SUMISU BASIN,KAK84028-3-007,KK84028,dredge,"basalt; basalt; , ",fresh,"Fryer,1990(255)",NN(744)
KAK84028-3-008-001,WR,,,,,,,,,,,,,,,10.2,,8.3,2.4,1,3,,3.4,,2.1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.897,139.767,-1980 to -2225,BACK-ARC_BASIN;SUMISU BASIN,KAK84028-3-008,KK84028,dredge,"basalt; basalt; , ",fresh,"Fryer,1990(255)",NN(744)
KAK84028-3-016-004,WR,,,,,,,,,,,,,,,7.2,,5.8,1.8,0.7,2.6,,2.7,,1.6,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.11,139.973,-1410 to -1950,BACK-ARC_BASIN;SUMISU BASIN,KAK84028-3-016,KK84028,dredge,"basalt; basalt; , ",fresh,"Fryer,1990(255)",NN(744)
KAK84028-3-016-012,WR,,,,,,,,,,,,,,,8.8,,7,2.1,0.8,2.9,,3.1,,1.9,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.11,139.973,-1410 to -1950,BACK-ARC_BASIN;SUMISU BASIN,KAK84028-3-016,KK84028,dredge,"basalt; basalt; , ",fresh,"Fryer,1990(255)",NN(744)
THO0192-065-003,GL,54.86,1.22,15.52,,,,10.16,,4.25,8.44,3.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.9,143.1,-2530 to -3150,BACK-ARC_BASIN;MARIANA TROUGH,THO0192-065,TT192,dredge,"basalt; basalt; , sparsely phyric; ca. 2% pc and c of cpx and plag",fresh,"Stern,1990(258)",EMP(756)
THO0192-066-005,GL,50.61,0.91,16.33,,,,8.73,,7.12,12.43,2.36,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.78,143.1,-3575 to -3920,BACK-ARC_BASIN;MARIANA TROUGH,THO0192-066,TT192,dredge,"basalt; basalt; , porphyritic; ca. 15% ol and ca. 10% plag pc and mc, minor cpx megacrysts; occasionally glomerophyric; ca. 10% small vesicles; some glass",fresh,"Stern,1990(258)",EMP(756)
