ANALYSES_NUM,REF_ID,DQ_ID,SAMPLE_NUM,SAMPLE_ID,LATITUDE,LONGITUDE,LAT_LONG_PRECISION,ELEVATION_MIN,ELEVATION_MAX,TECTONIC_SETTING,PRIMARY_LOCATION,MATERIAL,Th
126,"EISSEN,1989(421)",INAA(209),1078,PIS1979-053-002,17.9419,40.084,1.00E-04,-1600,-1600,SPREADING_CENTER,RED SEA,WR,0.57
127,"EISSEN,1989(421)",INAA(209),1079,PIS1979-053-003,17.9419,40.084,1.00E-04,-1600,-1600,SPREADING_CENTER,RED SEA,WR,0.56
128,"EISSEN,1989(421)",INAA(209),1081,PIS1979-057-001,17.9684,40.0675,1.00E-04,-1310,-1310,SPREADING_CENTER,RED SEA,WR,0.18
129,"EISSEN,1989(421)",INAA(209),1082,PIS1979-059-001,17.973,40.0508,1.00E-04,-1460,-1460,SPREADING_CENTER,RED SEA,WR,0.12
130,"EISSEN,1989(421)",INAA(209),1084,PIS1979-059-003,17.973,40.0642,1.00E-04,-1350,-1350,SPREADING_CENTER,RED SEA,WR,0.07
131,"EISSEN,1989(421)",INAA(209),1086,PIS1979-061-001,17.9797,40.0918,1.00E-04,-1510,-1510,SPREADING_CENTER,RED SEA,WR,0.65
132,"EISSEN,1989(421)",INAA(209),1087,PIS1979-062-001,17.9302,40.0892,1.00E-04,-1600,-1600,SPREADING_CENTER,RED SEA,WR,0.32
133,"EISSEN,1989(421)",INAA(209),1089,PIS1979-062-003,17.9302,40.0892,1.00E-04,-1500,-1500,SPREADING_CENTER,RED SEA,WR,0.31
134,"EISSEN,1989(421)",INAA(209),1090,PIS1979-062-004,17.939,40.1045,1.00E-04,-1400,-1400,SPREADING_CENTER,RED SEA,WR,0.54
135,"EISSEN,1989(421)",INAA(209),1092,PIS1979-065-002,17.9594,40.0733,1.00E-04,-1470,-1470,SPREADING_CENTER,RED SEA,WR,0.11
136,"EISSEN,1989(421)",INAA(209),1094,PIS1979-065-004,17.9594,40.0733,1.00E-04,-1470,-1470,SPREADING_CENTER,RED SEA,WR,0.13
137,"EISSEN,1989(421)",INAA(209),1096,PIS1979-066-001,17.9792,40.0667,1.00E-04,-1500,-1500,SPREADING_CENTER,RED SEA,WR,0.57
138,"EISSEN,1989(421)",INAA(209),1099,PIS1979-066-004,17.9817,40.06,1.00E-04,-1410,-1410,SPREADING_CENTER,RED SEA,WR,0.57
