ANALYSES_NUM,REF_ID,DQ_ID,SAMPLE_NUM,SAMPLE_ID,LATITUDE,LONGITUDE,LAT_LONG_PRECISION,ELEVATION_MIN,ELEVATION_MAX,TECTONIC_SETTING,PRIMARY_LOCATION,MATERIAL,Zr
1719,"CLAGUE,1981(6)",XRF(5),576,DST0041-005-D08,2.45,-95.62,0.01,-2750,-2750,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,80
1720,"CLAGUE,1981(6)",XRF(5),577,DST0041-006-996,2.7,-95.24,0.01,-2597,-2597,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,350
1721,"CLAGUE,1981(6)",XRF(5),578,DST0041-006-997,2.7,-95.24,0.01,-2597,-2597,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,345
1722,"CLAGUE,1981(6)",XRF(5),579,DST0041-006-998,2.7,-95.24,0.01,-2597,-2597,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,180
1723,"CLAGUE,1981(6)",XRF(5),580,DST0041-006-999,2.7,-95.24,0.01,-2597,-2597,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,100
1725,"CLAGUE,1981(6)",XRF(5),582,DST0041-006-C32,2.7,-95.24,0.01,-2597,-2597,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,560
1726,"CLAGUE,1981(6)",XRF(5),584,DST0041-006-D64,2.7,-95.24,0.01,-2597,-2597,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,280
1727,"CLAGUE,1981(6)",XRF(5),589,DST0041-008-H27,2.6,-95.33,0.01,-3136,-3136,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,90
1728,"CLAGUE,1981(6)",XRF(5),590,DST0041-008-H30,2.6,-95.33,0.01,-3136,-3136,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,80
1729,"CLAGUE,1981(6)",XRF(5),591,DST0041-008-H32,2.6,-95.33,0.01,-3136,-3136,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,110
1730,"CLAGUE,1981(6)",XRF(5),977,WASSOTW-007-002,3.2,-83.04,0.01,-2600,-2600,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,65
1731,"CLAGUE,1981(6)",XRF(5),980,WASSOTW-007-004,3.2,-83.04,0.01,-2600,-2600,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,90
1732,"CLAGUE,1981(6)",XRF(5),982,WASSOTW-007-005,3.2,-83.04,1.00E-02,-2600,-2600,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,85
1733,"CLAGUE,1981(6)",XRF(5),985,WASSOTW-017-002,0.82,-86.13,1.00E-03,-2500,-2500,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,180
1734,"CLAGUE,1981(6)",XRF(5),988,WASSOTW-017-004,0.82,-86.13,1.00E-03,-2500,-2500,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,145
1735,"CLAGUE,1981(6)",XRF(5),990,WASSOTW-017-005,0.82,-86.13,0.001,-2500,-2500,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,180
1762,"CLAGUE,1981(6)",ES(7),559,DST0041-001-A11,0.71,-85.5,0.01,-2523,-2523,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,190
1763,"CLAGUE,1981(6)",ES(7),560,DST0041-001-A12,0.71,-85.5,0.01,-2523,-2523,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,270
1764,"CLAGUE,1981(6)",ES(7),561,DST0041-001-A17,0.71,-85.5,0.01,-2523,-2523,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,240
1765,"CLAGUE,1981(6)",ES(7),562,DST0041-001-A24,0.71,-85.5,0.01,-2523,-2523,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,230
1766,"CLAGUE,1981(6)",ES(7),563,DST0041-001-A26,0.71,-85.5,0.01,-2523,-2523,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,255
1767,"CLAGUE,1981(6)",ES(7),564,DST0041-001-A35,0.71,-85.5,0.01,-2523,-2523,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,230
1768,"CLAGUE,1981(6)",ES(7),558,DST0041-001-A09,0.71,-85.5,0.01,-2523,-2523,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,245
1769,"CLAGUE,1981(6)",ES(7),574,DST0041-005-C95,2.45,-95.62,0.01,-2750,-2750,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,55
1770,"CLAGUE,1981(6)",ES(7),575,DST0041-005-C98,2.45,-95.62,0.01,-2750,-2750,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,30
1771,"CLAGUE,1981(6)",ES(7),576,DST0041-005-D08,2.45,-95.62,0.01,-2750,-2750,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,70
1772,"CLAGUE,1981(6)",ES(7),577,DST0041-006-996,2.7,-95.24,0.01,-2597,-2597,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,445
1773,"CLAGUE,1981(6)",ES(7),578,DST0041-006-997,2.7,-95.24,0.01,-2597,-2597,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,365
1774,"CLAGUE,1981(6)",ES(7),579,DST0041-006-998,2.7,-95.24,0.01,-2597,-2597,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,240
1775,"CLAGUE,1981(6)",ES(7),580,DST0041-006-999,2.7,-95.24,0.01,-2597,-2597,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,140
1776,"CLAGUE,1981(6)",ES(7),581,DST0041-006-C26,2.7,-95.24,0.01,-2597,-2597,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,540
1777,"CLAGUE,1981(6)",ES(7),582,DST0041-006-C32,2.7,-95.24,0.01,-2597,-2597,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,167
1778,"CLAGUE,1981(6)",ES(7),584,DST0041-006-D64,2.7,-95.24,0.01,-2597,-2597,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,330
1779,"CLAGUE,1981(6)",ES(7),589,DST0041-008-H27,2.6,-95.33,0.01,-3136,-3136,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,130
1780,"CLAGUE,1981(6)",ES(7),590,DST0041-008-H30,2.6,-95.33,0.01,-3136,-3136,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,135
1781,"CLAGUE,1981(6)",ES(7),591,DST0041-008-H32,2.6,-95.33,0.01,-3136,-3136,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,135
1782,"CLAGUE,1981(6)",ES(7),977,WASSOTW-007-002,3.2,-83.04,0.01,-2600,-2600,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,62
1783,"CLAGUE,1981(6)",ES(7),980,WASSOTW-007-004,3.2,-83.04,0.01,-2600,-2600,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,90
1784,"CLAGUE,1981(6)",ES(7),982,WASSOTW-007-005,3.2,-83.04,1.00E-02,-2600,-2600,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,105
1785,"CLAGUE,1981(6)",ES(7),985,WASSOTW-017-002,0.82,-86.13,1.00E-03,-2500,-2500,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,195
1786,"CLAGUE,1981(6)",ES(7),988,WASSOTW-017-004,0.82,-86.13,1.00E-03,-2500,-2500,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,180
1787,"CLAGUE,1981(6)",ES(7),990,WASSOTW-017-005,0.82,-86.13,1.00E-03,-2500,-2500,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,WR,205
2173,"BRYAN,1979(19)",DROES(101),156,ALV0518-003,36.818,-33.255,1.00E-03,-2640,-2640,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,75
2174,"BRYAN,1979(19)",DROES(101),161,ALV0519-002-001,36.818,-33.262,1.00E-03,-2735,-2735,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,30
2175,"BRYAN,1979(19)",DROES(101),177,ALV0520-002,36.817,-33.263,1.00E-03,-2728,-2728,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,35
2176,"BRYAN,1979(19)",DROES(101),180,ALV0521-001,36.82,-33.272,1.00E-03,-2603,-2603,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,60
2177,"BRYAN,1979(19)",DROES(101),185,ALV0521-004-003,36.82,-33.28,1.00E-03,-2450,-2450,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,89
2178,"BRYAN,1979(19)",DROES(101),187,ALV0522-001,36.812,-33.265,1.00E-03,-2669,-2669,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,34
2179,"BRYAN,1979(19)",DROES(101),191,ALV0523-001,36.827,-33.252,1.00E-03,-2726,-2726,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,77
2180,"BRYAN,1979(19)",DROES(101),197,ALV0523-003,36.827,-33.252,1.00E-03,-2540,-2540,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,90
2181,"BRYAN,1979(19)",DROES(101),209,ALV0525-005-001,36.812,-33.273,1.00E-03,-2625,-2625,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,45
2182,"BRYAN,1979(19)",DROES(101),212,ALV0526-001,36.818,-33.253,1.00E-03,-2694,-2694,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,51
2183,"BRYAN,1979(19)",DROES(101),214,ALV0526-002,36.818,-33.253,1.00E-03,-2692,-2692,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,62
2184,"BRYAN,1979(19)",DROES(101),220,ALV0526-004,36.818,-33.253,1.00E-03,-2585,-2585,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,73
2185,"BRYAN,1979(19)",DROES(101),229,ALV0527-001-001,36.808,-33.26,1.00E-03,-2707,-2707,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,24
2186,"BRYAN,1979(19)",DROES(101),231,ALV0527-002,36.808,-33.26,1.00E-03,-2707,-2707,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,63
2187,"BRYAN,1979(19)",DROES(101),233,ALV0527-004,36.808,-33.26,1.00E-03,-2584,-2584,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,97
2188,"BRYAN,1979(19)",DROES(101),235,ALV0527-005,36.808,-33.26,1.00E-03,-2512,-2512,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,105
2189,"BRYAN,1979(19)",DROES(101),239,ALV0527-006-003,36.808,-33.25,1.00E-03,-2565,-2565,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,100
2190,"BRYAN,1979(19)",DROES(101),242,ALV0528-001-002,36.812,-33.265,1.00E-03,-2680,-2680,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,47
2191,"BRYAN,1979(19)",DROES(101),248,ALV0528-004-001,36.812,-33.265,1.00E-03,-2526,-2526,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,36
2192,"BRYAN,1979(19)",DROES(101),253,ALV0529-004,36.818,-33.265,1.00E-03,-2649,-2649,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,61
2193,"BRYAN,1979(19)",DROES(101),256,ALV0530-002-001,36.805,-33.268,1.00E-03,-2663,-2663,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,72
2194,"BRYAN,1979(19)",DROES(101),258,ALV0530-003,36.805,-33.268,1.00E-03,-2646,-2646,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,40
2195,"BRYAN,1979(19)",DROES(101),263,ALV0534-002-001,36.797,-33.265,1.00E-03,-2679,-2679,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,50
2196,"BRYAN,1979(19)",DROES(101),357,ARP1973-010-002,36.8362,-33.2482,0.0001,-2710,-2725,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,110
2197,"BRYAN,1979(19)",DROES(101),369,ARP1974-010-014,36.83,-33.27,1.00E-02,,,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,67
2198,"BRYAN,1979(19)",DROES(101),374,ARP1974-012-019,36.858,-33.258,1.00E-03,,,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,57
2199,"BRYAN,1979(19)",DROES(101),375,ARP1974-014-031,36.95,-33.167,1.00E-03,,,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,16
2200,"BRYAN,1979(19)",DROES(101),376,ARP1974-014-033,36.95,-33.167,0.001,,,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,25
2201,"BOUGAULT,1980(20)",XRF(113),449,CHR0097-003-101,39.1,-29.9,0.1,,,SPREADING_CENTER,MID-ATLANTIC RIDGE,ROCK,160
2202,"BOUGAULT,1980(20)",XRF(113),450,CHR0097-005-001,38.7,-29.95,0.01,-920,-920,SPREADING_CENTER,MID-ATLANTIC RIDGE,ROCK,155
2203,"BOUGAULT,1980(20)",XRF(113),451,CHR0097-005-002,38.7,-29.95,0.01,-920,-920,SPREADING_CENTER,MID-ATLANTIC RIDGE,ROCK,104
2204,"BOUGAULT,1980(20)",XRF(113),452,CHR0097-005-003,38.7,-29.95,0.01,-920,-920,SPREADING_CENTER,MID-ATLANTIC RIDGE,ROCK,86
2205,"BOUGAULT,1980(20)",XRF(113),453,CHR0097-006-001,38.517,-30.3,1.00E-02,-2200,-2200,SPREADING_CENTER,MID-ATLANTIC RIDGE,ROCK,135
2206,"BOUGAULT,1980(20)",XRF(113),454,CHR0098-002-001,35.183,-36.233,1.00E-03,-2940,-3320,SPREADING_CENTER,MID-ATLANTIC RIDGE,ROCK,75
2207,"BOUGAULT,1980(20)",XRF(113),5712,CHR0098-002-201,35.183,-36.233,1.00E-03,-2940,-3320,SPREADING_CENTER,MID-ATLANTIC RIDGE,ROCK,74
2208,"BOUGAULT,1980(20)",XRF(113),456,CHR0098-003-001,33.733,-37.667,1.00E-03,-3340,-3580,SPREADING_CENTER,MID-ATLANTIC RIDGE,ROCK,46
2209,"BOUGAULT,1980(20)",XRF(113),5715,CHR0098-003-201,33.733,-37.667,1.00E-03,-3340,-3580,SPREADING_CENTER,MID-ATLANTIC RIDGE,ROCK,57
